auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.797793961,0.441216523,0.504411002,0.470702179,0.655705759,0.368448365,0.339356852,1231,955,636551,1365970
0.799486005,0.468168462,0.490507953,0.479077925,0.652477785,0.350436121,0.352179135,1086,993,500306,1145967
0.797458961,0.463271303,0.483640082,0.473236618,0.647470027,0.354805726,0.34478419,1096,1010,620182,1235991
0.795724209,0.455641273,0.484366991,0.469565217,0.64636173,0.351101999,0.339006253,1129,1006,561215,1256883
0.794232631,0.434241989,0.479661912,0.455823293,0.641207498,0.34812467,0.32437937,1183,985,638974,1246460
0.804120733,0.450371058,0.502848265,0.475165158,0.656336966,0.378560331,0.344974171,1185,960,779609,1437826
0.802563574,0.461204819,0.494829369,0.477425792,0.654235065,0.36918304,0.350376934,1118,977,638104,1311509
0.809345901,0.457046332,0.503991485,0.479372311,0.659991463,0.383182544,0.354854257,1125,932,730312,1395141
0.801219224,0.465903672,0.493434343,0.479273976,0.653103505,0.354545455,0.350235782,1120,1003,536434,1197094
0.808008591,0.476711027,0.511734694,0.493602362,0.665550788,0.376020408,0.367437577,1101,957,601712,1314595
0.799769521,0.437905468,0.494505495,0.464487589,0.650353957,0.368393511,0.334155898,1213,966,711580,1330688
0.802589654,0.470068695,0.497403946,0.483350151,0.657396868,0.371754933,0.358496446,1080,968,708664,1349759
0.798511041,0.456859972,0.492878942,0.474186445,0.650703627,0.349440488,0.342099573,1152,997,519030,1159558
0.792267049,0.443032015,0.487817522,0.464347397,0.646149761,0.357179886,0.331494751,1183,988,690699,1358486
0.803145083,0.460955987,0.502061856,0.480631631,0.658019522,0.359278351,0.352952485,1139,966,543895,1184235
0.796953707,0.448142788,0.478865979,0.462995265,0.642979828,0.351030928,0.333705745,1144,1011,644624,1253428
0.79480723,0.445991359,0.483854167,0.464151886,0.644897783,0.350520833,0.333006905,1154,991,586746,1179593
0.804118621,0.454950495,0.486500794,0.470196981,0.649172689,0.349391212,0.343855968,1101,970,502853,1167760
0.796449548,0.446478873,0.503440974,0.473252053,0.657238572,0.377977766,0.345448419,1179,938,713946,1366854
0.80179015,0.456934307,0.487285937,0.4716223,0.649270895,0.353918007,0.343909052,1116,988,540712,1225947
0.804303177,0.461684912,0.499227998,0.479723046,0.656708588,0.365928976,0.352542976,1131,973,647625,1301033
0.798375888,0.45259481,0.479386892,0.465605749,0.644870974,0.344608879,0.339338132,1097,985,537938,1170695
0.798728093,0.45196926,0.490615224,0.4705,0.650277022,0.360271116,0.341753422,1141,977,547060,1205546
0.797961666,0.453288847,0.492746114,0.472194638,0.650983638,0.372020725,0.341885803,1147,979,719416,1350126
0.79696182,0.438520653,0.487713675,0.461810824,0.647535847,0.372863248,0.333687768,1169,959,805204,1414683
0.795031301,0.44038817,0.490984029,0.464311815,0.648131061,0.351365276,0.332671148,1211,988,580390,1224634
0.799038938,0.449951409,0.480041472,0.464509656,0.643681062,0.354069466,0.334838145,1132,1003,656204,1261832
0.800583206,0.456994329,0.499741602,0.477412984,0.655338314,0.36124031,0.34728761,1149,968,497569,1195777
0.799813209,0.45398482,0.497918835,0.474937965,0.654849959,0.363683663,0.346860269,1151,965,604017,1268573
0.798844881,0.449156627,0.485416667,0.466583229,0.646624783,0.351041667,0.33676402,1143,988,565261,1221737
0.809990511,0.468810916,0.490316004,0.479322372,0.652288162,0.351681957,0.352069143,1090,1000,562709,1186434
0.794584634,0.441454202,0.493924987,0.466217901,0.650598927,0.357105124,0.336340107,1183,958,657437,1293002
0.804109798,0.469159786,0.5,0.484089201,0.658363837,0.372153209,0.358171697,1093,966,650646,1292236
0.803237474,0.468897267,0.507653061,0.487506124,0.661982187,0.371938776,0.359999474,1127,965,573882,1287532
0.803692032,0.449197861,0.491750931,0.469512195,0.651909461,0.366152209,0.343918048,1133,955,622120,1271896
0.795540569,0.445116279,0.500523013,0.471196455,0.655404537,0.3708159,0.343186267,1193,955,622191,1288995
0.798300193,0.449152542,0.492768595,0.469950739,0.650516619,0.36053719,0.339488971,1170,982,599395,1262423
0.799944788,0.457329317,0.487948581,0.472143042,0.651322572,0.366363149,0.348594436,1081,956,514797,1133534
0.792434609,0.439160839,0.486570248,0.461651556,0.645220345,0.349173554,0.329228785,1203,994,635918,1315910
0.793420047,0.44894027,0.475752935,0.461957869,0.639991708,0.34762634,0.329407706,1144,1027,630883,1304005
0.802101214,0.451565558,0.487843552,0.469004065,0.648955803,0.36205074,0.340987601,1121,969,690366,1261203
0.800025471,0.447718631,0.493710692,0.469591226,0.651715026,0.352201258,0.341149166,1162,966,530234,1172797
0.80314041,0.459252157,0.506342495,0.48164907,0.661346475,0.360993658,0.356714361,1128,934,512666,1114636
0.803733949,0.460077897,0.499207607,0.478844692,0.657541851,0.380348653,0.354152972,1109,948,654214,1275399
0.801455676,0.448723898,0.506017792,0.475651746,0.658442501,0.373626374,0.346781605,1188,944,621452,1271486
0.805479832,0.45952381,0.5,0.478908189,0.656781453,0.357512953,0.351363264,1135,965,539709,1208424
0.804787681,0.45902439,0.491383812,0.474653216,0.652611215,0.360313316,0.34897203,1109,974,605148,1221399
0.80088435,0.456173421,0.499226405,0.476729869,0.655224357,0.379061372,0.347234324,1154,971,758765,1450885
0.804189058,0.447732697,0.506479482,0.475297694,0.660504802,0.368790497,0.351006972,1157,914,598128,1220481
0.804334648,0.470887246,0.521227621,0.494780286,0.669595088,0.375959079,0.367252622,1145,936,541793,1209930
0.805435174,0.47322298,0.487462387,0.480237154,0.651287443,0.358074223,0.353645925,1082,1022,501659,1207745
0.804291526,0.464252117,0.515135699,0.488372093,0.666870066,0.367954071,0.363872479,1139,929,639173,1274610
0.801979578,0.472972973,0.501022495,0.486593843,0.659181261,0.356850716,0.360380783,1092,976,462286,1126652
0.8007234,0.453583454,0.49191445,0.471971972,0.651647219,0.363588941,0.344419116,1136,974,585705,1169295
0.811008494,0.466507177,0.507020281,0.485920758,0.662637593,0.362974519,0.361469386,1115,948,614282,1238959
0.799574064,0.4495542,0.502623295,0.474609859,0.656830973,0.383525708,0.346120236,1173,948,795103,1380116
0.80327459,0.452061361,0.503201708,0.476262626,0.658778237,0.377801494,0.351085313,1143,931,758426,1409204
0.81231843,0.463289963,0.522810697,0.491254003,0.670369098,0.393287887,0.365444775,1155,910,704899,1383566
0.803108436,0.456193353,0.479111581,0.467371679,0.645319379,0.346906399,0.341837585,1080,985,536415,1144110
0.797813089,0.458632233,0.488289206,0.472996301,0.648968272,0.361507128,0.342642794,1132,1005,636323,1245614
0.804268576,0.446644133,0.49811524,0.470977597,0.655479039,0.364028002,0.345998781,1146,932,640236,1246755
0.801065599,0.463623395,0.500770416,0.481481481,0.657659901,0.372367745,0.354046704,1128,972,678125,1328996
0.802588661,0.469844358,0.498709344,0.483846732,0.657865715,0.358802272,0.358354001,1090,971,527166,1214306
0.799950178,0.46298984,0.489013797,0.475646123,0.650288003,0.365866122,0.34655185,1110,1000,601499,1288231
0.797888222,0.459266317,0.489340102,0.473826493,0.649465882,0.374619289,0.3430635,1135,1006,739432,1401523
0.800915978,0.454459651,0.497931748,0.475203553,0.654763075,0.352119959,0.34677584,1156,971,514604,1175617
0.798851594,0.444498539,0.48002103,0.461577351,0.643422739,0.364879075,0.332614652,1141,989,679030,1342513
0.802188847,0.449657869,0.480167015,0.464411913,0.644521988,0.35125261,0.336782848,1126,996,622388,1295841
0.795569779,0.452676864,0.4858902,0.468695867,0.646505057,0.342739867,0.337019055,1145,1002,504577,1172947
0.798540958,0.454755309,0.494726268,0.473899447,0.651277245,0.366649925,0.341195244,1181,1006,709110,1403672
0.802215273,0.451798561,0.490880667,0.470529471,0.650562967,0.35383012,0.342165085,1143,977,545938,1175772
0.801763699,0.439539347,0.481092437,0.459378134,0.642891945,0.346638655,0.328764942,1168,988,608435,1235822
0.796392309,0.437732342,0.497097625,0.465530022,0.652166389,0.363588391,0.336171097,1210,953,670612,1304448
0.799732653,0.451417945,0.499485597,0.474236874,0.654111386,0.368312757,0.342862712,1180,973,670191,1311916
0.807651842,0.454589372,0.499469214,0.475973698,0.656915177,0.377919321,0.350699092,1129,943,729489,1423659
0.795742599,0.445714286,0.489795918,0.46671653,0.64915569,0.343799058,0.337884268,1164,975,525333,1101650
0.808454483,0.475426279,0.490937338,0.483057325,0.654711488,0.371310202,0.359636663,1046,983,654018,1319228
