auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.850619032,0.618164968,0.40473301,0.489182252,0.618568041,0.768203883,0.417238132,412,981,55968,145822
0.848963422,0.610567515,0.38305709,0.470765749,0.602247779,0.767341928,0.400610212,398,1005,62221,140248
0.847733196,0.63803681,0.360485269,0.4606866,0.585829362,0.760831889,0.396066763,354,1107,54969,130251
0.849708026,0.627201566,0.392769608,0.483044461,0.610565535,0.793504902,0.415464954,381,991,48289,109922
0.855449685,0.641851107,0.384569017,0.480964945,0.605195097,0.762507535,0.417169309,356,1021,52885,141423
0.84786304,0.632692308,0.40617284,0.494736842,0.62093643,0.768518519,0.427441388,382,962,55099,140813
0.849930698,0.600938967,0.397515528,0.478504673,0.612444551,0.770186335,0.404993659,425,970,50120,136842
0.852974761,0.61,0.37195122,0.462121212,0.59377471,0.796341463,0.393130464,390,1030,54882,123446
0.852048946,0.616570328,0.382546324,0.472150498,0.60188437,0.768081291,0.401708275,398,1033,53911,146263
0.846946869,0.602822581,0.360458107,0.451150509,0.584285747,0.75708258,0.381039463,394,1061,51223,135059
0.850559369,0.608530806,0.384431138,0.471192661,0.602821393,0.78502994,0.39888673,413,1028,55364,131017
0.852552098,0.614661654,0.40621118,0.489154824,0.619657422,0.791925466,0.417400743,410,956,37908,115380
0.855201707,0.600566572,0.388990826,0.472160356,0.605758181,0.773700306,0.397842882,423,999,51118,131533
0.851319179,0.620253165,0.380525687,0.471677157,0.600455287,0.778375149,0.401661026,390,1037,53709,130418
0.846892035,0.609307359,0.344342508,0.440015631,0.572600536,0.781039755,0.377059952,361,1072,41726,115186
0.844900521,0.600786627,0.373929009,0.460958129,0.594935349,0.764381885,0.390688988,406,1023,60368,131610
0.852270335,0.626836435,0.382546324,0.475129918,0.602438813,0.794979079,0.406593668,381,1033,46526,123867
0.84699419,0.621463415,0.383273165,0.474134723,0.602722582,0.779181709,0.404629791,388,1025,46750,126204
0.850013808,0.589483395,0.391784181,0.470718232,0.607111785,0.782955242,0.393856088,445,992,50386,126017
0.853545816,0.636363636,0.375,0.471910112,0.597413998,0.791666667,0.407224079,360,1050,41401,111441
0.85234578,0.606090373,0.372584541,0.461480927,0.593939484,0.774154589,0.391139513,401,1039,56311,133642
0.854105457,0.616795367,0.393230769,0.480270575,0.610295064,0.775384615,0.410550082,397,986,51599,127522
0.850806357,0.612903226,0.3884546,0.475524476,0.605992108,0.784726398,0.403175199,408,1017,50258,141140
0.843351055,0.599423631,0.383292383,0.467590858,0.601491583,0.788083538,0.393922243,417,1004,49546,128332
0.844542984,0.615841584,0.382769231,0.472106262,0.602507024,0.764307692,0.403858595,388,1003,58248,144583
0.852706242,0.615,0.363905325,0.457249071,0.587726133,0.784615385,0.389697272,385,1075,61925,135118
0.851942883,0.631527094,0.381547619,0.475695733,0.602010405,0.776785714,0.408543633,374,1039,41811,123419
0.843436609,0.604606526,0.381355932,0.467706013,0.600150742,0.771791768,0.394372701,412,1022,50845,127923
0.848737775,0.611594203,0.384101942,0.471859858,0.602932661,0.758495146,0.401033073,402,1015,56245,140676
0.847034259,0.599243856,0.38447544,0.46841522,0.602098967,0.775015161,0.393359383,424,1015,48975,141209
0.850568372,0.646578141,0.371478873,0.471859858,0.595130118,0.785798122,0.409157166,346,1071,38526,113634
0.846272872,0.596958175,0.387654321,0.47005988,0.604724795,0.761111111,0.395997826,424,992,55338,144344
0.847053809,0.604288499,0.373719108,0.461824953,0.594404803,0.775768535,0.38956099,406,1039,48242,128921
0.843758382,0.612052731,0.387828162,0.474799123,0.605329316,0.784606205,0.401681435,412,1026,40900,121637
0.848054022,0.595454545,0.402581438,0.480381371,0.61546183,0.776889982,0.403856598,445,972,61177,145248
0.846070003,0.60056391,0.393715342,0.475623372,0.609701535,0.77202711,0.402788663,425,984,59661,134784
0.842613004,0.590952839,0.369212267,0.454478164,0.590283236,0.769092002,0.380499532,425,1049,53344,138456
0.849575941,0.589566929,0.375784191,0.459003831,0.595738625,0.775407779,0.386488422,417,995,61618,135181
0.845680653,0.601173021,0.370481928,0.458442042,0.59207786,0.769277108,0.387483937,408,1045,47944,138905
0.841321742,0.610655738,0.363414634,0.455657492,0.587376745,0.778658537,0.388613212,380,1044,46100,121351
0.848192747,0.619335347,0.364336493,0.458784036,0.587939475,0.770734597,0.390268027,378,1073,42791,125192
0.843882344,0.616080402,0.360164512,0.454579162,0.584605597,0.784958872,0.386377917,382,1089,53535,120849
0.852739975,0.632008155,0.377588307,0.472741136,0.599482889,0.776492083,0.408465627,361,1022,56836,137203
0.847797795,0.618145563,0.376899696,0.468277946,0.598001991,0.779331307,0.400301949,383,1025,61571,127188
0.850404032,0.615014437,0.386803874,0.474916388,0.605148367,0.777845036,0.404408576,400,1013,47854,142458
0.841862114,0.609990394,0.379104478,0.467599411,0.598792239,0.745074627,0.395707476,406,1040,60664,141567
0.854899887,0.635270541,0.381927711,0.477050414,0.602856423,0.780722892,0.412356549,364,1026,49688,125527
0.848895589,0.609803922,0.374247894,0.46383296,0.595255725,0.76534296,0.39325037,398,1040,60195,129021
0.847644278,0.597169811,0.377910448,0.462888483,0.596966411,0.792835821,0.387795334,427,1042,48890,129386
0.855076029,0.630243902,0.387987988,0.480297398,0.606794536,0.766366366,0.412112957,379,1019,50350,134564
0.849027072,0.630905512,0.37529274,0.470631424,0.59723062,0.789227166,0.404218021,375,1067,38869,116773
0.853355282,0.617821782,0.380024361,0.470588235,0.600457217,0.767965895,0.40265224,386,1018,53155,130103
0.860593002,0.649950836,0.407019704,0.500567967,0.622680254,0.794950739,0.437133002,356,963,45622,121808
0.848169191,0.596758818,0.381707317,0.465600595,0.600196868,0.771341463,0.391832035,423,1014,55325,135198
0.84617131,0.576779026,0.385240775,0.461942257,0.601872442,0.767354597,0.385087742,452,983,74816,146245
0.849732248,0.635735439,0.389123867,0.482758621,0.608221107,0.774622356,0.416820028,369,1011,48879,126019
0.847266474,0.637007078,0.369501466,0.467706013,0.593015373,0.775366569,0.402838271,359,1075,53540,114794
0.84218201,0.588003933,0.362864078,0.448780488,0.585220791,0.785800971,0.37488424,419,1050,50379,130843
0.844177367,0.614519427,0.367584098,0.460007654,0.590743487,0.76941896,0.392867511,377,1034,45804,120909
0.853412545,0.631739573,0.37727825,0.472422975,0.599214961,0.787363305,0.40804839,362,1025,47682,123556
0.848606864,0.598808342,0.371992597,0.45890411,0.593380545,0.796421962,0.388636551,404,1018,47042,116708
0.855510669,0.620458891,0.400617284,0.486871718,0.616061818,0.772222222,0.417471997,397,971,63065,141815
0.847018,0.617647059,0.373222749,0.465288035,0.594638831,0.776066351,0.395063658,390,1058,51228,140558
0.848660279,0.602478551,0.381182147,0.466937569,0.599852685,0.788299156,0.393012736,417,1026,44146,121691
0.849518512,0.622200584,0.382634731,0.473859844,0.602284776,0.768263473,0.404586318,388,1031,63422,155557
0.848466569,0.602179837,0.406001225,0.485003658,0.618390775,0.768524189,0.409475741,438,970,63188,140324
0.849027773,0.601123596,0.381688466,0.466909091,0.599956404,0.780023781,0.391755781,426,1040,58952,144046
0.843639285,0.589335828,0.389129092,0.46875,0.605554327,0.780728845,0.393956607,439,989,57196,124755
0.845513662,0.583639706,0.387431361,0.465713238,0.603255867,0.782794387,0.387000425,453,1004,51885,131932
0.84942896,0.595397891,0.38121547,0.464820359,0.600005099,0.78330264,0.392026496,422,1008,51978,131742
0.845009944,0.599069767,0.392443632,0.474226804,0.608287614,0.782449726,0.399534491,431,997,50738,134647
0.841152615,0.578651685,0.374545455,0.454746137,0.593347062,0.788484848,0.37658101,450,1032,52920,128662
0.853419896,0.628180039,0.377869335,0.471885336,0.598990899,0.777516186,0.404311499,380,1057,55762,123990
