auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.835635515,0.6,0.372080955,0.459320948,0.592243948,0.310845874,0.383235518,478,1210,246090,834099
0.839494486,0.613264427,0.365315546,0.457877814,0.587680391,0.298101591,0.384571707,449,1237,209898,742221
0.833047636,0.598667777,0.367586912,0.455495724,0.588263124,0.304192229,0.377413052,482,1237,307271,835604
0.833635191,0.601165695,0.370066632,0.458121827,0.590324947,0.305996925,0.380347082,479,1229,263100,865802
0.834543004,0.5898654,0.393555203,0.472116603,0.607404464,0.323824617,0.390656155,518,1148,286101,831290
0.841550735,0.591370558,0.361988607,0.449084484,0.583816716,0.311237701,0.371544914,483,1232,369176,938237
0.844215562,0.624778761,0.365046536,0.460835509,0.588519829,0.314374354,0.391997358,424,1228,235919,788300
0.843968176,0.613518198,0.376796168,0.466864491,0.597094783,0.323044172,0.395222577,446,1171,199732,740468
0.840011009,0.633451957,0.35959596,0.458762887,0.584520349,0.295454545,0.391312977,412,1268,241613,797116
0.842570776,0.621448213,0.345918367,0.444444444,0.57313077,0.29744898,0.376604013,413,1282,181322,720179
0.841797757,0.601296596,0.388278388,0.471860095,0.604560144,0.323914181,0.394540134,492,1169,238403,777968
0.838603906,0.630942092,0.379023884,0.47356471,0.599475432,0.326064382,0.403693439,427,1196,303351,870125
0.835396909,0.607142857,0.380467955,0.46779237,0.598280565,0.311291963,0.388744823,484,1218,224807,791789
0.833378713,0.606138107,0.368584759,0.458413926,0.589778259,0.303784344,0.383225458,462,1218,246319,819843
0.837869663,0.602040816,0.364948454,0.454428755,0.586786538,0.297938144,0.379028838,468,1232,250611,810761
0.831775478,0.593564776,0.361340206,0.449214995,0.583627161,0.303608247,0.373079946,480,1239,246527,776532
0.82976823,0.587681779,0.3578125,0.444804144,0.580362874,0.292708333,0.366972812,482,1233,271136,765456
0.840065566,0.59982862,0.370566437,0.458115183,0.591220526,0.312334569,0.38283939,467,1189,186056,712902
0.831991649,0.603901612,0.376919005,0.464146023,0.59642422,0.326098465,0.389598488,467,1177,230709,792764
0.837650077,0.610871441,0.367410483,0.458846403,0.589390546,0.307732226,0.385942091,451,1219,219093,774170
0.844140639,0.620719178,0.373134328,0.466088075,0.594338307,0.313432836,0.394496934,443,1218,225615,801079
0.833617067,0.613852814,0.374735729,0.465375779,0.595437496,0.307082452,0.393515883,446,1183,190024,742720
