auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.788735608,0.583892617,0.209134615,0.307964602,0.452176671,0.201923077,0.293577982,62,329,54331,197008
0.79561452,0.569230769,0.193717277,0.2890625,0.435651776,0.191099476,0.330882353,56,308,42958,163356
0.771118875,0.5,0.194070081,0.27961165,0.434885755,0.285714286,0.268199234,72,299,76799,155886
0.807837157,0.653543307,0.203931204,0.310861423,0.447952196,0.282555283,0.305970149,44,324,35998,151519
0.804975979,0.548611111,0.202046036,0.295327103,0.444226499,0.199488491,0.345323741,65,312,72628,190957
0.776058888,0.533333333,0.202531646,0.293577982,0.444368005,0.420253165,0.317757009,70,315,55317,124815
0.816140328,0.592105263,0.229591837,0.330882353,0.473799679,0.227040816,0.328,62,302,47475,160946
0.797657626,0.518518519,0.180878553,0.268199234,0.420221456,0.361757106,0.302919708,65,317,50695,126538
0.78799145,0.546666667,0.212435233,0.305970149,0.455267736,0.334196891,0.338983051,68,304,54065,149888
0.80234575,0.657534247,0.234146341,0.345323741,0.479563884,0.32195122,0.311030741,50,314,37103,164821
0.797042783,0.598591549,0.216284987,0.317757009,0.460289324,0.432569975,0.307984791,57,308,39636,142259
0.793297015,0.546666667,0.234285714,0.328,0.478157158,0.234285714,0.282982792,68,268,73323,173559
0.79489273,0.633587786,0.199040767,0.302919708,0.442240521,0.362110312,0.294326241,48,334,44719,142667
0.793720032,0.59602649,0.236842105,0.338983051,0.481373806,0.384210526,0.270072993,61,290,39562,149161
0.795888038,0.547770701,0.217171717,0.311030741,0.46007477,0.348484848,0.296577947,71,310,59244,152799
0.808715844,0.586956522,0.208762887,0.307984791,0.452276088,0.206185567,0.285178236,57,307,50026,174037
0.791617528,0.587301587,0.186397985,0.282982792,0.42770765,0.463476071,0.311688312,52,323,37926,113178
0.790989562,0.546052632,0.201456311,0.294326241,0.443184604,0.322815534,0.278719397,69,329,42113,151909
0.795025777,0.621848739,0.172494172,0.270072993,0.41189955,0.37995338,0.297551789,45,355,43337,140197
0.790963151,0.619047619,0.195,0.296577947,0.437789366,0.405,0.315589354,48,322,56128,127054
0.810688024,0.644067797,0.18313253,0.285178236,0.424708925,0.385542169,0.277039848,42,339,24280,126602
0.809010027,0.567567568,0.21483376,0.311688312,0.458082351,0.335038363,0.287822878,64,307,43101,144774
0.796698736,0.560606061,0.185463659,0.278719397,0.426155068,0.34085213,0.319859402,58,325,56329,133292
0.784142663,0.593984962,0.198492462,0.297551789,0.441135414,0.304020101,0.272,54,319,40535,152637
0.812797452,0.553333333,0.220744681,0.315589354,0.464203745,0.276595745,0.319688109,67,293,68625,164169
0.786689532,0.54887218,0.185279188,0.277039848,0.425761848,0.335025381,0.284172662,60,321,55402,153345
0.786384456,0.582089552,0.191176471,0.287822878,0.432874183,0.401960784,0.317518248,56,330,49674,138159
0.812503829,0.65942029,0.211136891,0.319859402,0.455574303,0.343387471,0.305206463,47,340,32147,146110
0.786108492,0.535433071,0.18230563,0.272,0.422395994,0.343163539,0.29787234,59,305,69482,140470
0.793976854,0.585714286,0.219839142,0.319688109,0.464000741,0.305630027,0.336996337,58,291,52810,156865
0.798945922,0.632,0.183294664,0.284172662,0.424534755,0.382830626,0.282442748,46,352,39656,134959
0.796798735,0.58,0.218592965,0.317518248,0.462226626,0.326633166,0.312741313,63,311,50360,154483
0.790519722,0.602836879,0.204326923,0.305206463,0.447382273,0.367788462,0.282907662,56,331,31328,139379
0.81243382,0.666666667,0.191780822,0.29787234,0.434551107,0.299086758,0.279151943,42,354,34889,151268
0.794967676,0.575,0.238341969,0.336996337,0.482276515,0.238341969,0.279693487,68,294,50166,153747
0.789535269,0.560606061,0.18877551,0.282442748,0.429891906,0.221938776,0.29296875,58,318,48762,162783
0.799099705,0.543624161,0.219512195,0.312741313,0.462707293,0.216802168,0.322003578,68,288,72780,158537
0.783832592,0.549618321,0.19047619,0.282907662,0.431859148,0.365079365,0.303370787,59,306,58722,136798
0.786230587,0.509677419,0.192214112,0.279151943,0.432374805,0.248175182,0.300699301,76,332,74679,158914
0.786509036,0.540740741,0.188630491,0.279693487,0.42939588,0.248062016,0.27027027,62,314,55044,143225
0.797017015,0.630252101,0.190839695,0.29296875,0.433336702,0.37913486,0.305970149,44,318,36058,132907
0.781506489,0.555555556,0.226700252,0.322003578,0.470006379,0.327455919,0.329246935,72,307,58467,167718
0.794395642,0.586956522,0.204545455,0.303370787,0.447569082,0.411616162,0.336448598,57,315,52711,125863
0.794166452,0.5375,0.208737864,0.300699301,0.450682575,0.325242718,0.309160305,74,326,64841,159754
0.787177387,0.598290598,0.174563591,0.27027027,0.414252201,0.389027431,0.28962818,47,331,38127,116689
0.781681056,0.630769231,0.201970443,0.305970149,0.445572761,0.401477833,0.325047801,48,324,37213,128738
0.796704477,0.519337017,0.241025641,0.329246935,0.483239638,0.233333333,0.30418251,87,296,64305,179802
0.809724001,0.656934307,0.226130653,0.336448598,0.471456772,0.351758794,0.283662478,47,308,41928,143452
0.808452654,0.6,0.208226221,0.309160305,0.451913868,0.208226221,0.321428571,54,308,71363,180626
0.798554694,0.560606061,0.19525066,0.28962818,0.43720256,0.19525066,0.326454034,58,305,62188,159420
0.802363045,0.570469799,0.227272727,0.325047801,0.471261267,0.342245989,0.311926606,64,289,55211,155433
0.788205309,0.559440559,0.208877285,0.30418251,0.451920668,0.464751958,0.325047801,63,303,47747,128073
0.790272415,0.526666667,0.194103194,0.283662478,0.434892602,0.189189189,0.295620438,71,328,52877,180215
0.782637404,0.604477612,0.218918919,0.321428571,0.463388287,0.394594595,0.286764706,53,289,41760,130050
0.792287176,0.547169811,0.232620321,0.326454034,0.476061319,0.267379679,0.34469697,72,287,53452,161957
0.79089406,0.574324324,0.214105793,0.311926606,0.457396439,0.211586902,0.330019881,63,312,59985,170028
0.782886979,0.620437956,0.220207254,0.325047801,0.464812749,0.344559585,0.299638989,52,301,51039,136093
0.79090019,0.570422535,0.199507389,0.295620438,0.441822423,0.334975369,0.327338129,61,325,62699,156631
0.8128841,0.569343066,0.191646192,0.286764706,0.433102086,0.476658477,0.339285714,59,329,29118,110776
0.797925558,0.636363636,0.236363636,0.34469697,0.481694662,0.309090909,0.324626866,52,294,52435,157876
0.783574389,0.52866242,0.239884393,0.330019881,0.483226816,0.395953757,0.288930582,74,263,54962,130214
0.788067165,0.553333333,0.205445545,0.299638989,0.447707453,0.254950495,0.275590551,67,321,54055,161673
0.784653294,0.602649007,0.224691358,0.327338129,0.468755036,0.377777778,0.285178236,60,314,44157,142095
0.791579983,0.659722222,0.228365385,0.339285714,0.473656362,0.319711538,0.322123894,49,321,43517,145095
0.787014657,0.587837838,0.224226804,0.324626866,0.468335746,0.224226804,0.327067669,61,301,65989,183046
0.787756384,0.557971014,0.194936709,0.288930582,0.436716713,0.440506329,0.303605313,61,318,37095,118545
0.798932124,0.564516129,0.182291667,0.275590551,0.422807247,0.359375,0.283609576,54,314,39489,132005
0.790630856,0.584615385,0.188585608,0.285178236,0.430021484,0.260545906,0.320557491,54,327,46026,154807
0.794237433,0.54491018,0.228643216,0.322123894,0.471561208,0.228643216,0.286231884,76,307,69529,172429
0.812782661,0.57615894,0.228346457,0.327067669,0.472431525,0.223097113,0.282003711,64,294,60867,178935
0.800298897,0.601503759,0.203045685,0.303605313,0.446377022,0.439086294,0.308270677,53,314,35901,131289
