auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.783609228,0.526315789,0.238095238,0.327868852,0.480708826,0.388095238,0.299139409,90,320,59286,166243
0.805255303,0.609022556,0.199507389,0.300556586,0.442802931,0.374384236,0.305030988,52,325,34949,145276
0.791614289,0.539473684,0.211886305,0.304267161,0.455097891,0.366925065,0.291341884,70,305,47362,141436
0.803005311,0.663934426,0.180400891,0.283712785,0.421830714,0.474387528,0.30383289,41,368,20299,121119
0.813852924,0.516339869,0.198992443,0.287272727,0.440697809,0.309823678,0.271330277,74,318,62824,151274
0.805041372,0.58974359,0.227722772,0.328571429,0.472228833,0.371287129,0.320464717,64,312,62491,163702
0.805083525,0.576923077,0.213776722,0.311958406,0.457330006,0.211401425,0.302760185,66,331,63565,179062
0.795499072,0.625899281,0.208633094,0.31294964,0.452779791,0.354916067,0.316895037,52,330,45590,161955
0.797341208,0.52,0.181395349,0.268965517,0.420824765,0.302325581,0.255451613,72,352,52506,155046
0.790465621,0.611111111,0.224489796,0.328358209,0.468913637,0.219954649,0.322178451,63,342,53414,184940
0.788934554,0.572327044,0.222493888,0.320422535,0.466425566,0.276283619,0.308866996,68,318,58577,178742
0.79009416,0.573529412,0.180555556,0.274647887,0.420847966,0.395833333,0.27475918,58,354,42496,123761
0.806864437,0.605633803,0.190687361,0.29005059,0.432610029,0.396895787,0.292202117,56,365,53034,154625
0.787724922,0.570552147,0.218309859,0.315789474,0.461818541,0.35915493,0.302809082,70,333,46855,142745
0.812944118,0.5703125,0.18622449,0.280769231,0.427715599,0.420918367,0.283288,55,319,37685,119313
0.800932428,0.525925926,0.16359447,0.249560633,0.400245185,0.341013825,0.244489702,64,363,51265,143305
0.779356401,0.570552147,0.228501229,0.326315789,0.472563684,0.42014742,0.31307056,70,314,52833,144826
0.802807951,0.555555556,0.216836735,0.311926606,0.46046962,0.400510204,0.300146744,68,307,45518,136392
0.777811482,0.586956522,0.194711538,0.292418773,0.437114498,0.34375,0.292530785,57,335,38087,146447
0.789144594,0.579268293,0.224056604,0.323129252,0.468019271,0.221698113,0.311410591,69,329,61744,163070
0.796917097,0.588235294,0.215311005,0.315236427,0.459225705,0.447368421,0.308864749,63,328,43254,141425
0.801073106,0.597222222,0.209756098,0.310469314,0.453589697,0.395121951,0.308413894,58,324,35175,144821
0.799683406,0.589403974,0.200902935,0.2996633,0.443606374,0.322799097,0.295107,62,354,58286,165171
0.802027616,0.632,0.18501171,0.286231884,0.426831615,0.461358314,0.299070408,46,348,26934,98858
0.806874876,0.55704698,0.202439024,0.296958855,0.445077512,0.375609756,0.288222832,66,327,55869,141413
0.805213203,0.580246914,0.232098765,0.331569665,0.476379724,0.22962963,0.319374185,68,311,74420,174832
0.786289421,0.6,0.186206897,0.284210526,0.427749411,0.383908046,0.289389726,54,354,48017,144272
0.777971788,0.571428571,0.203389831,0.3,0.446330133,0.455205811,0.293985309,63,329,52086,136359
0.80458528,0.578616352,0.218009479,0.316695353,0.461673286,0.388625592,0.305682085,67,330,51892,143795
0.812639491,0.558282209,0.238845144,0.334558824,0.482984898,0.236220472,0.318450495,72,290,62809,177150
0.778940797,0.598639456,0.200455581,0.300341297,0.44334802,0.469248292,0.298759112,59,351,34965,123640
0.811178223,0.609271523,0.212471132,0.315068493,0.456468759,0.415704388,0.312922036,59,341,32058,141221
0.806357134,0.518072289,0.212345679,0.301225919,0.454722225,0.212345679,0.279914272,80,319,77098,186879
0.810526766,0.647482014,0.213270142,0.320855615,0.458087148,0.409952607,0.328698755,49,332,31686,126759
0.790411729,0.544217687,0.195121951,0.287253142,0.436896776,0.353658537,0.277929321,67,330,50738,149377
0.801203677,0.607407407,0.192941176,0.292857143,0.435388278,0.381176471,0.297351475,53,343,36450,146277
0.800596077,0.638461538,0.210659898,0.316793893,0.45539626,0.365482234,0.325760035,47,311,40826,150105
0.81589099,0.610687023,0.196560197,0.29739777,0.439694976,0.459459459,0.304276254,51,327,28813,114615
0.827369125,0.635658915,0.192488263,0.295495495,0.435346879,0.483568075,0.307249406,47,344,29537,107139
0.814678741,0.529411765,0.186046512,0.275334608,0.426754506,0.245478036,0.267384842,64,315,64763,174370
0.808096074,0.630252101,0.175644028,0.274725275,0.416003966,0.379391101,0.290257315,44,352,29679,142096
0.797462684,0.573333333,0.193258427,0.28907563,0.435012802,0.280898876,0.283722414,64,359,61248,149250
0.824767568,0.581818182,0.236453202,0.336252189,0.480690428,0.233990148,0.322556734,69,310,48818,177308
0.799697212,0.587412587,0.215384615,0.315196998,0.459620156,0.397435897,0.311717873,59,306,46418,146310
0.797120033,0.577639752,0.223557692,0.322357019,0.467520148,0.21875,0.310800906,68,323,59057,180747
0.807415003,0.551948052,0.199530516,0.293103448,0.441679455,0.323943662,0.282607076,69,341,63693,165072
0.807675117,0.541436464,0.23902439,0.331641286,0.482191986,0.234146341,0.307372066,83,312,95370,224235
0.789692367,0.612244898,0.207373272,0.309810671,0.451048739,0.205069124,0.309352743,57,344,49665,176969
0.817378667,0.589403974,0.208430913,0.307958478,0.451907278,0.224824356,0.303188089,62,338,70065,176746
