auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.78220958,0.666666667,0.330708661,0.442105263,0.562782196,0.878740157,0.385421054,105,425,14500,56110
0.785008501,0.642172524,0.301349325,0.410204082,0.536029155,0.862068966,0.347317231,112,466,15592,61783
0.791739958,0.646302251,0.30408472,0.413580247,0.538948319,0.854765507,0.353661226,110,460,17808,75693
0.785387283,0.640410959,0.280780781,0.39039666,0.518166596,0.842342342,0.332968254,105,479,22302,61830
0.782401671,0.694630872,0.306666667,0.425488181,0.543328651,0.856296296,0.377149794,91,468,23003,62613
0.786050884,0.685810811,0.298969072,0.416410256,0.536285271,0.854197349,0.367497548,93,476,23376,61036
0.795419454,0.630769231,0.319314642,0.423991727,0.551204555,0.833333333,0.358352776,120,437,25772,68214
0.783866122,0.66894198,0.306729264,0.420600858,0.542566683,0.879499218,0.367969734,97,443,13867,51111
0.779195831,0.673716012,0.33037037,0.44333996,0.561881992,0.859259259,0.382293151,108,452,27396,58208
0.796714444,0.696551724,0.300595238,0.41995842,0.538426492,0.854166667,0.375485989,88,470,15807,61066
0.781902929,0.626139818,0.324921136,0.427829699,0.555691541,0.864353312,0.360597093,123,428,23974,65456
0.77858122,0.610271903,0.308868502,0.410152284,0.540887263,0.824159021,0.338267301,129,452,30705,72752
0.796924309,0.680701754,0.294385432,0.411016949,0.532359187,0.834597876,0.364031462,91,465,21871,67006
0.791773579,0.678343949,0.323708207,0.438271605,0.55723331,0.88449848,0.38378969,101,445,15259,44183
0.778708307,0.647975078,0.327044025,0.434691745,0.558766613,0.863207547,0.373638701,113,428,22309,65445
0.782023262,0.601265823,0.293209877,0.394190871,0.527632966,0.850308642,0.326479209,126,458,24423,58443
0.782502841,0.66163142,0.334351145,0.444219067,0.564936603,0.870229008,0.382052504,112,436,28480,67835
0.792098513,0.660550459,0.331288344,0.441266599,0.562348599,0.849693252,0.379201862,111,436,18898,64964
0.78622118,0.682142857,0.28422619,0.401260504,0.523278647,0.876488095,0.355976159,89,481,19994,52315
0.790696074,0.658385093,0.301564723,0.413658537,0.536560128,0.86628734,0.351993914,110,491,22137,58935
0.769625294,0.646666667,0.3104,0.419459459,0.545230032,0.84,0.364113284,106,431,27705,67338
0.777975782,0.646496815,0.309923664,0.418988648,0.543752626,0.86259542,0.356803813,111,452,27183,59492
0.791100853,0.653594771,0.296296296,0.407747197,0.532371234,0.82962963,0.349975139,106,475,34675,86658
0.772295613,0.622418879,0.316341829,0.419483101,0.547328157,0.856071964,0.346559811,128,456,39270,72979
0.780175794,0.627218935,0.324655436,0.427850656,0.55501374,0.84992343,0.357911767,126,441,33289,73078
0.780460018,0.647416413,0.335433071,0.441908714,0.565362863,0.85511811,0.377797051,116,422,28057,67791
0.779079851,0.654320988,0.324655436,0.433981576,0.556870768,0.857580398,0.373450837,112,441,24330,53545
