auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.841927854,0.582608696,0.184065934,0.279749478,0.425662974,0.909340659,0.288208749,48,297,4490,14056
0.853196547,0.586538462,0.154822335,0.24497992,0.39064272,0.88071066,0.261092332,43,333,2696,16805
0.846364739,0.643478261,0.192207792,0.296,0.435470023,0.885714286,0.313647921,41,311,2619,13988
0.844481359,0.605042017,0.189973615,0.289156627,0.432464862,0.881266491,0.298780384,47,307,5486,23401
0.850716382,0.625,0.167525773,0.264227642,0.406676463,0.878865979,0.285903339,39,323,5466,9322
0.837008328,0.565217391,0.168831169,0.26,0.407526549,0.896103896,0.267541171,50,320,3700,14398
0.848344371,0.587155963,0.154589372,0.244741874,0.390238245,0.8647343,0.259451314,45,350,3316,18948
0.846341856,0.56302521,0.18767507,0.281512605,0.429460209,0.896358543,0.284160305,52,290,3132,16484
0.837934754,0.530973451,0.152284264,0.236686391,0.386813824,0.868020305,0.240846083,53,334,4465,22196
0.855014879,0.604166667,0.151832461,0.242677824,0.387250365,0.871727749,0.266245902,38,324,4355,13451
0.83470536,0.561904762,0.154450262,0.242299795,0.390024768,0.895287958,0.254496512,46,323,4245,16257
0.837595965,0.578947368,0.191542289,0.287850467,0.433588197,0.885572139,0.288304652,56,325,8300,15418
0.847138901,0.577981651,0.165354331,0.257142857,0.403558725,0.887139108,0.269189635,46,318,4476,15290
0.848446637,0.588235294,0.15503876,0.245398773,0.391020174,0.878552972,0.263027832,42,327,3703,11676
0.839923519,0.616666667,0.194736842,0.296,0.437985462,0.868421053,0.307290286,46,306,6636,22189
0.831517009,0.6,0.170542636,0.265593561,0.410012513,0.888888889,0.280796364,44,321,5118,10745
0.851213796,0.640350877,0.188630491,0.291417166,0.431401451,0.88372093,0.309415607,41,314,2530,21613
0.845606569,0.545454545,0.162601626,0.250521921,0.399923299,0.888888889,0.257131099,50,309,5919,16864
0.851658267,0.563380282,0.210526316,0.30651341,0.454126936,0.881578947,0.299511623,62,300,6638,23046
0.848706533,0.572815534,0.154855643,0.243801653,0.390696989,0.855643045,0.258935426,44,322,5672,18664
0.85006422,0.576576577,0.165374677,0.257028112,0.40352976,0.878552972,0.268298181,47,323,4785,18276
0.851943454,0.61682243,0.173684211,0.271047228,0.413920456,0.868421053,0.289008962,41,314,4963,17156
0.850775843,0.633027523,0.171641791,0.270058708,0.411551207,0.890547264,0.29052633,40,333,2681,9631
0.838760988,0.618181818,0.180851064,0.279835391,0.422301329,0.882978723,0.295931271,42,308,5164,14104
0.834544281,0.53271028,0.153225806,0.237995825,0.38823892,0.897849462,0.244966141,50,315,5225,15874
0.845946763,0.645454545,0.186842105,0.289795918,0.429475324,0.886842105,0.310014493,39,309,4501,22027
0.849740246,0.544715447,0.174934726,0.264822134,0.414471712,0.877284595,0.266045626,56,316,5310,22547
0.852896343,0.551724138,0.168865435,0.258585859,0.407428154,0.899736148,0.263455184,52,315,4720,17599
0.846541627,0.564814815,0.150246305,0.237354086,0.384543189,0.862068966,0.248541957,47,345,3358,19782
0.838591084,0.545454545,0.159151194,0.246406571,0.395661638,0.877984085,0.25351603,50,317,6331,13056
0.839694602,0.540322581,0.181571816,0.271805274,0.42213163,0.872628726,0.270535282,57,302,5342,21487
0.852326254,0.613207547,0.169712794,0.265848671,0.409190216,0.866840731,0.284493927,41,318,2876,13484
0.838799509,0.583333333,0.144702842,0.231884058,0.377874031,0.875968992,0.252123461,40,331,2872,20085
0.850982229,0.561797753,0.127226463,0.20746888,0.354386759,0.900763359,0.229108351,39,343,2173,13426
0.846239934,0.566176471,0.196428571,0.291666667,0.438907718,0.900510204,0.288895774,59,315,3186,13728
0.841601956,0.523809524,0.180327869,0.268292683,0.420438778,0.882513661,0.263497449,60,300,4371,16538
0.832830499,0.539215686,0.146666667,0.230607966,0.379958054,0.848,0.240464577,47,320,5479,16839
0.842073113,0.5,0.166666667,0.25,0.403981699,0.875,0.242767118,64,320,8732,24503
0.843553826,0.616666667,0.190721649,0.291338583,0.433408934,0.891752577,0.302777523,46,314,6429,18524
0.848038929,0.588235294,0.154639175,0.244897959,0.390472071,0.878865979,0.261988844,42,328,5541,23600
0.836444994,0.580152672,0.182254197,0.277372263,0.422919423,0.892086331,0.278767612,55,341,7430,20252
