auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.775169437,0.606177606,0.159067882,0.252006421,0.394173619,0.132725431,0.245595771,102,830,160149,431860
0.769672307,0.566964286,0.131469979,0.213445378,0.358522454,0.113871636,0.209542821,97,839,155131,371105
0.760908295,0.603960396,0.127481714,0.210526316,0.353774597,0.106583072,0.219624042,80,835,139320,392210
0.769857499,0.633165829,0.129496403,0.215017065,0.356830116,0.103802672,0.229748184,73,847,146521,416797
0.77127599,0.603448276,0.149253731,0.239316239,0.382311107,0.122601279,0.240077342,92,798,144371,391630
0.764028341,0.603686636,0.133673469,0.218880535,0.362007499,0.113265306,0.223660296,86,849,159926,378598
0.786197466,0.609865471,0.141225337,0.229342327,0.372086114,0.115264798,0.23381125,87,827,151385,408988
0.770890758,0.641148325,0.136317396,0.224832215,0.365995852,0.10681587,0.237625238,75,849,120125,384223
0.776153009,0.660194175,0.135458167,0.224793388,0.365082012,0.11752988,0.242390031,70,868,113396,371472
0.782974845,0.648514851,0.130218688,0.216887417,0.357914127,0.104373757,0.23373587,71,875,117407,387350
0.792650568,0.641414141,0.123661149,0.207346939,0.348763226,0.105160662,0.223864018,71,900,136697,385064
0.773721536,0.614285714,0.135932561,0.222605695,0.365287933,0.116965227,0.231279792,81,820,126928,364010
0.760489893,0.587982833,0.139938713,0.226072607,0.369943509,0.119509704,0.223373118,96,842,141858,355843
0.763672759,0.635135135,0.142137097,0.232289951,0.373481699,0.117943548,0.240627869,81,851,120264,371677
0.772851504,0.604081633,0.153050672,0.244224422,0.386910131,0.133402275,0.241616928,97,819,163312,392280
0.759088303,0.623376623,0.147389969,0.238410596,0.380140917,0.118730809,0.243280664,87,833,159031,417495
0.767636448,0.605128205,0.124079916,0.205933682,0.349186865,0.106203996,0.217975654,77,833,134808,371236
0.771762378,0.607476636,0.134158927,0.21978022,0.3627193,0.108359133,0.225531082,84,839,138793,401900
0.780138538,0.620853081,0.133130081,0.219246862,0.361523985,0.111788618,0.228716933,80,853,120186,370075
0.783333929,0.619791667,0.115310078,0.194444444,0.336739504,0.099806202,0.209630781,73,913,114111,349224
0.775680907,0.653061224,0.156555773,0.252565114,0.391809664,0.124266145,0.258100393,85,862,115666,416077
0.75954768,0.598039216,0.122244489,0.202995008,0.346314504,0.104208417,0.210149097,82,876,111150,351052
0.774206742,0.62605042,0.148258706,0.239742558,0.381109915,0.117412935,0.242499823,89,856,133378,417816
0.777887983,0.625615764,0.131062951,0.216723549,0.358864314,0.1124871,0.229083724,76,842,124041,354534
0.764976081,0.602870813,0.129098361,0.212658228,0.355865411,0.110655738,0.219318233,83,850,143963,393551
0.783058366,0.622137405,0.169968717,0.266994267,0.407632565,0.136600626,0.262437858,99,796,178248,496538
0.780975552,0.624087591,0.171514544,0.269079465,0.409349282,0.135406219,0.262827408,103,826,154537,470489
0.775561743,0.603448276,0.140562249,0.228013029,0.370982329,0.120481928,0.228936283,92,856,161791,405894
0.767798304,0.6069869,0.145549738,0.234797297,0.37757887,0.123560209,0.236553712,90,816,137847,373526
0.78750083,0.637931034,0.105714286,0.181372549,0.322747841,0.09047619,0.203915026,63,939,101192,341771
0.774059985,0.666666667,0.142570281,0.23490488,0.374496387,0.118473896,0.251413598,71,854,114396,396402
0.784457196,0.618644068,0.149131767,0.240329218,0.382195891,0.124616956,0.242272115,90,833,161299,420782
0.773122459,0.592391304,0.113778706,0.19089317,0.334429089,0.097077244,0.203638825,75,849,120281,354033
0.766642205,0.610441767,0.156701031,0.249384742,0.391464083,0.132989691,0.246314577,97,818,161565,413238
0.779683571,0.579487179,0.113682093,0.190075694,0.334002512,0.097585513,0.197265318,82,881,165328,397383
0.780730055,0.599078341,0.134436401,0.219594595,0.363018525,0.111685626,0.223821149,87,837,161399,407969
0.767911284,0.621359223,0.136025505,0.223190933,0.365519135,0.115834219,0.233830157,78,813,139607,355770
0.778858537,0.582278481,0.141975309,0.228287841,0.372548572,0.114197531,0.224182707,99,834,157342,435986
0.775605596,0.580508475,0.133009709,0.2164297,0.36053002,0.106796117,0.211792864,99,893,186044,455798
0.774810708,0.628712871,0.126873127,0.21113882,0.353079092,0.106893107,0.223815488,75,874,138660,381970
0.772209077,0.612903226,0.156701031,0.249589491,0.391433771,0.128865979,0.24620787,96,818,145961,413201
0.776653915,0.603092784,0.118541033,0.198137172,0.341288469,0.103343465,0.210068288,77,870,151721,370335
0.768635331,0.584541063,0.124742268,0.205607477,0.349692918,0.104123711,0.209797331,86,849,143984,370161
0.779124961,0.659685864,0.125373134,0.210702341,0.351438714,0.108457711,0.23274225,65,879,122677,382710
0.763939542,0.619909502,0.144973545,0.234991424,0.377097759,0.121693122,0.241155701,84,808,144697,364589
0.785636991,0.637254902,0.130522088,0.216666667,0.358233758,0.111445783,0.231391659,74,866,127431,359976
0.772316698,0.626728111,0.140495868,0.229535865,0.371336126,0.113636364,0.237927792,81,832,118916,367326
0.77621194,0.655339806,0.141065831,0.232158212,0.372511696,0.119122257,0.248324836,71,822,127349,394234
0.773001124,0.625615764,0.12815338,0.212730318,0.354862189,0.112008073,0.225317948,76,864,135573,360633
0.77343063,0.591603053,0.153617443,0.243902439,0.387043736,0.125867195,0.233317481,107,854,163556,422837
0.772711693,0.637755102,0.120192308,0.202265372,0.343856496,0.100961538,0.219144271,71,915,142399,390014
0.781533239,0.658415842,0.132602193,0.220746888,0.361281938,0.108673978,0.239679656,69,870,114895,362538
0.781145627,0.656084656,0.121212121,0.204620462,0.345554564,0.101661779,0.226674024,65,899,110546,378183
0.78203323,0.622119816,0.142857143,0.232358003,0.374419492,0.115343915,0.240025717,82,810,140506,404032
0.768397084,0.614349776,0.139369278,0.227197347,0.369596866,0.121057986,0.231435488,86,846,173646,432886
0.774328775,0.614285714,0.133126935,0.218829517,0.361476916,0.110423117,0.227345274,81,840,151046,426495
0.777686756,0.61722488,0.133678756,0.219761499,0.362257405,0.113989637,0.228874068,80,836,148295,376676
0.778563404,0.604060914,0.120080727,0.2003367,0.343461731,0.107971746,0.211636843,78,872,157677,358702
