auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.824151671,0.263759086,0.697802198,0.382818387,0.732598803,0.697802198,0.319968762,709,110,117573,158706
0.837084283,0.3125,0.672588832,0.426731079,0.736067393,0.672588832,0.353793359,583,129,96728,145207
0.821837862,0.276260504,0.683116883,0.3934181,0.727601835,0.683116883,0.322730511,689,122,111626,145129
0.814815621,0.28835691,0.699208443,0.408320493,0.74043255,0.686015831,0.342382753,654,114,111391,166019
0.83098887,0.310038119,0.628865979,0.415319149,0.719039103,0.762886598,0.339645461,543,144,92189,124781
0.826175227,0.293144208,0.644155844,0.402924452,0.720082038,0.794805195,0.328687698,598,137,95371,122239
0.836822152,0.339240506,0.647342995,0.445182724,0.731745351,0.644927536,0.367105844,522,146,98711,156309
0.827825455,0.275618375,0.655462185,0.388059701,0.722268782,0.652661064,0.319965876,615,123,95867,129119
0.817636458,0.312093628,0.609137056,0.412725709,0.709199949,0.609137056,0.332468253,529,154,90674,140642
0.834766366,0.298837209,0.672774869,0.413848631,0.735741544,0.672774869,0.346088742,603,125,99722,153574
0.823462042,0.285380117,0.638743455,0.394502829,0.714633737,0.636125654,0.31873022,611,138,110970,150058
0.81988061,0.307692308,0.646766169,0.417000802,0.722337675,0.644278607,0.338553416,585,142,114209,156223
0.814888751,0.29675252,0.695538058,0.416012559,0.743154534,0.695538058,0.350565398,628,116,94638,133092
0.824113882,0.294915254,0.674418605,0.410377358,0.732110178,0.674418605,0.339273257,624,126,84461,129255
0.818790652,0.282996433,0.626315789,0.38984439,0.709799613,0.623684211,0.313954269,603,142,107230,151099
0.816192379,0.281531532,0.645994832,0.392156863,0.715820155,0.643410853,0.31679659,638,137,107471,141547
0.830066475,0.29689298,0.666666667,0.410828025,0.73059452,0.666666667,0.339713066,611,129,82591,131527
0.829234562,0.289663462,0.653116531,0.401332223,0.725731478,0.650406504,0.33226531,591,128,95128,138745
0.823396287,0.300245098,0.644736842,0.409698997,0.723599856,0.644736842,0.336856472,571,135,104495,146014
0.82230903,0.284916201,0.669291339,0.39968652,0.728191563,0.656167979,0.329927287,640,126,113028,176911
0.818989801,0.288863109,0.643410853,0.398718975,0.717358073,0.643410853,0.323087818,613,138,109335,145308
0.838144411,0.309252218,0.642105263,0.417450813,0.725548195,0.639473684,0.344732844,545,136,99542,147007
0.822425192,0.300322928,0.694029851,0.419233659,0.738273134,0.694029851,0.346971758,650,123,91263,135795
0.822316144,0.294187426,0.659574468,0.406890894,0.727842122,0.805851064,0.336097534,595,128,86232,126960
0.825199182,0.29620563,0.650537634,0.40706476,0.727086353,0.650537634,0.338007974,575,130,100722,145481
0.829469363,0.291139241,0.665789474,0.405124099,0.728766786,0.663157895,0.334530782,616,127,128537,183122
0.835999953,0.283898305,0.699738903,0.403918613,0.740093957,0.697127937,0.339460308,676,115,114892,173949
0.841125534,0.293991416,0.722955145,0.418001526,0.753390804,0.722955145,0.357916244,658,105,102136,141034
0.839089564,0.328994083,0.684729064,0.444444444,0.744494198,0.68226601,0.371020506,567,128,83791,133258
0.817482857,0.272245763,0.681697613,0.389099167,0.726979794,0.679045093,0.319976456,687,120,109832,151425
0.819715558,0.278869779,0.615176152,0.383770076,0.70523711,0.615176152,0.308519085,587,142,97039,137336
0.826427554,0.291897891,0.686684073,0.409657321,0.737137834,0.686684073,0.34195233,638,120,111767,155809
0.821183333,0.285714286,0.635658915,0.394230769,0.711605961,0.633074935,0.315606384,615,141,110251,157269
0.822365506,0.292576419,0.681933842,0.40947288,0.732250453,0.679389313,0.337137267,648,125,119626,159533
0.828964464,0.290502793,0.663265306,0.404040404,0.724970291,0.663265306,0.329914856,635,132,98435,141139
0.829807485,0.275229358,0.655737705,0.387722132,0.720703328,0.836065574,0.317790965,632,126,89651,126321
0.817957986,0.282782212,0.661333333,0.396166134,0.722929832,0.658666667,0.323627644,629,127,98643,143366
