auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.745810084,0.463605823,0.419452888,0.440425532,0.611306901,0.32218845,0.322855097,479,573,235844,596474
0.741756503,0.476683938,0.380952381,0.423475259,0.587853703,0.307453416,0.315294726,404,598,207630,505570
0.738513966,0.496402878,0.360501567,0.417675545,0.575963343,0.272727273,0.31997102,350,612,212632,570846
0.747138559,0.520648968,0.362795478,0.427619624,0.579435961,0.283658787,0.334173254,325,620,204415,567588
0.757821934,0.502777778,0.385927505,0.436670688,0.595665119,0.291044776,0.340233747,358,576,207321,552206
0.739809195,0.479082321,0.362244898,0.412550843,0.574741959,0.275510204,0.306999368,386,625,231657,525121
0.757354508,0.502013423,0.388369678,0.43793911,0.59649032,0.300103842,0.337979232,371,589,198337,548357
0.746142799,0.51193634,0.392675483,0.444444444,0.599379924,0.297049847,0.342237666,368,597,211642,566243
0.761315956,0.525280899,0.37250996,0.435897436,0.586218177,0.275896414,0.339188413,338,630,169943,553860
0.757190207,0.526946108,0.349900596,0.420549582,0.569730698,0.267395626,0.328175866,316,654,193601,557012
0.765913642,0.538147139,0.384615385,0.448608745,0.5954311,0.2969815,0.35078794,339,632,218956,590038
0.742746241,0.459641256,0.43203372,0.445410103,0.620324913,0.319283456,0.330732078,482,539,228952,595210
0.736425261,0.493489583,0.387129724,0.433886663,0.593799511,0.292134831,0.328522337,389,600,208255,524336
0.732889803,0.494609164,0.369959677,0.423298731,0.581416023,0.293346774,0.318977838,375,625,170096,473660
0.74835602,0.494871795,0.399172699,0.441900401,0.603051124,0.324715615,0.338358242,394,581,221281,526080
0.734116238,0.480631277,0.342886387,0.400238949,0.561231338,0.255885363,0.300295431,362,642,238640,583293
0.753604611,0.519642857,0.305993691,0.385175381,0.536175406,0.240799159,0.306728773,269,660,195915,512337
0.748261706,0.504685408,0.389060888,0.439393939,0.59659892,0.297213622,0.337613329,370,592,237624,606610
0.764181723,0.528358209,0.359756098,0.428053204,0.577765469,0.269308943,0.336733217,316,630,203967,570708
0.772160292,0.540197461,0.371124031,0.439977025,0.586154441,0.282945736,0.345712086,326,649,216653,598101
0.734121494,0.472061657,0.479452055,0.475728155,0.647619475,0.363992172,0.352127219,548,532,210871,611658
0.727347503,0.466327827,0.367735471,0.411204482,0.576308737,0.289579158,0.297920524,420,631,188126,517675
0.74790722,0.503067485,0.407960199,0.450549451,0.608457574,0.310447761,0.342935642,405,595,194844,574880
0.750114889,0.501302083,0.397316821,0.443293034,0.60207539,0.30753354,0.340111135,383,584,190434,533400
0.752120871,0.511396011,0.367827869,0.427890346,0.58213771,0.277663934,0.33069449,343,617,238374,614575
0.759270021,0.517680339,0.38164755,0.43937575,0.593484348,0.29822732,0.345006007,341,593,227769,634020
0.757536744,0.505249344,0.386158475,0.437748721,0.594664815,0.295887663,0.336618121,377,612,198347,574988
0.759218859,0.506038647,0.420682731,0.459429825,0.617770565,0.323293173,0.352939189,409,577,246098,603432
0.743607199,0.490066225,0.387434555,0.432748538,0.594522337,0.291099476,0.329679491,385,585,218448,561382
0.755386642,0.509638554,0.402857143,0.45,0.603940372,0.31047619,0.338164948,407,627,183501,540730
0.753130696,0.507228916,0.422690763,0.461117196,0.618886961,0.324297189,0.353555885,409,575,182512,564728
0.748854446,0.46353167,0.493360572,0.477981197,0.656143478,0.392236977,0.357333883,559,496,237922,596128
0.748837045,0.50931677,0.342379958,0.40948814,0.563768994,0.258872651,0.318987182,316,630,205428,539462
0.733131071,0.458471761,0.426804124,0.442071543,0.615904459,0.340206186,0.324626542,489,556,220909,548717
0.752830566,0.517833554,0.394366197,0.447744146,0.601300477,0.319919517,0.347329011,365,602,227252,569945
0.753449023,0.518218623,0.397104447,0.449648712,0.60409934,0.308169597,0.352180111,357,583,222383,572774
0.736184546,0.469387755,0.391073326,0.426666667,0.594934653,0.300743889,0.318778647,416,573,198070,497375
0.751371742,0.485861183,0.388888889,0.432,0.594696096,0.300411523,0.326342788,400,594,240780,618636
0.751667943,0.516853933,0.357281553,0.42250287,0.57360358,0.280582524,0.322986868,344,662,248558,606157
0.749275324,0.516528926,0.374625375,0.434279097,0.586608353,0.280719281,0.333757609,351,626,212799,592207
