auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.85445733,0.616438356,0.247252747,0.352941176,0.492690641,0.909340659,0.349422752,56,274,8159,21711
0.869371036,0.71875,0.291878173,0.415162455,0.536187541,0.890862944,0.418447793,45,279,4194,24205
0.858913197,0.652439024,0.277922078,0.389799636,0.522253271,0.885714286,0.383697958,57,278,10217,22879
0.856510199,0.619883041,0.279683377,0.385454545,0.523145857,0.897097625,0.371874752,65,273,6417,29971
0.870196967,0.655172414,0.244845361,0.356472795,0.490749882,0.884020619,0.359688948,50,293,3689,10154
0.85415703,0.644295302,0.249350649,0.359550562,0.495015437,0.896103896,0.359453796,53,289,5421,13223
0.861908133,0.666666667,0.22705314,0.338738739,0.472778523,0.862318841,0.347047182,47,320,6958,28115
0.863324288,0.618421053,0.263305322,0.36935167,0.508169968,0.899159664,0.361915589,58,263,8187,23158
0.851496918,0.62804878,0.26142132,0.369175627,0.506129482,0.873096447,0.360629881,61,291,9811,33787
0.861809625,0.666666667,0.251308901,0.365019011,0.497393218,0.876963351,0.369980134,48,286,4503,22951
0.850473575,0.565217391,0.238219895,0.335174954,0.482440635,0.895287958,0.320162179,70,291,11314,25802
0.850872003,0.689655172,0.248756219,0.365630713,0.495033492,0.885572139,0.373891286,45,302,8059,23543
0.848780505,0.662068966,0.251968504,0.365019011,0.49791481,0.88976378,0.368394508,49,285,6388,18833
0.860936438,0.68627451,0.271317829,0.388888889,0.516753194,0.878552972,0.391603281,48,282,7826,26027
0.854413848,0.671232877,0.257894737,0.372623574,0.503864574,0.876315789,0.376902041,48,282,4203,21098
0.850299231,0.656050955,0.266149871,0.378676471,0.511362073,0.891472868,0.37659334,54,284,3546,17085
0.868103663,0.636942675,0.258397933,0.367647059,0.503579676,0.88372093,0.363114791,57,287,2812,16210
0.868418553,0.578313253,0.260162602,0.358878505,0.504180051,0.891598916,0.342497879,70,273,8390,28321
0.863057446,0.593220339,0.276315789,0.377019749,0.519393218,0.878947368,0.358375448,72,275,8812,25297
0.863632065,0.622754491,0.272965879,0.379562044,0.517092157,0.860892388,0.368820189,63,277,5501,30632
0.853533014,0.610738255,0.235142119,0.339552239,0.480299998,0.881136951,0.335632621,58,296,3173,13794
0.870591997,0.714285714,0.276315789,0.398481973,0.521995535,0.878947368,0.406570843,42,275,4127,22281
0.856666552,0.681818182,0.26119403,0.377697842,0.506919432,0.895522388,0.380579625,49,297,4120,20859
0.852666789,0.637583893,0.252659574,0.361904762,0.498142855,0.888297872,0.359724357,54,281,4356,14387
0.85161667,0.637681159,0.23655914,0.345098039,0.482395201,0.900537634,0.348598803,50,284,5110,26463
0.867000691,0.659722222,0.25,0.36259542,0.495960696,0.881578947,0.366054918,49,285,4653,22345
0.869210485,0.591160221,0.279373368,0.379432624,0.522235743,0.882506527,0.360292364,74,276,9667,40187
0.862903684,0.603773585,0.253298153,0.356877323,0.498082922,0.899736148,0.347051828,63,283,7851,25109
0.870527438,0.708955224,0.233990148,0.351851852,0.480545258,0.866995074,0.368032272,39,311,4301,26112
0.860166995,0.578947368,0.262599469,0.361313869,0.506373967,0.872679045,0.343554024,72,278,8124,21594
