auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.826903469,0.67844523,0.389057751,0.494526722,0.610681523,0.356636272,0.381609745,182,603,132141,420702
0.819928012,0.655391121,0.320910973,0.43085476,0.555775164,0.298136646,0.376651426,163,656,99420,334148
0.822466254,0.662721893,0.351097179,0.459016393,0.580868928,0.323928945,0.358212995,171,621,85150,354680
0.816469664,0.655241935,0.334018499,0.442477876,0.566493802,0.304213772,0.365606222,171,648,107208,383002
0.829073702,0.672413793,0.374200426,0.480821918,0.599826557,0.341151386,0.327604463,171,587,84055,371031
0.824530323,0.689587426,0.358163265,0.471457354,0.587576522,0.334693878,0.387973008,158,629,90965,321989
0.82386736,0.691532258,0.356178609,0.470185058,0.586396194,0.323987539,0.359215064,153,620,104352,397103
0.820179287,0.70464135,0.339776195,0.458476321,0.573389149,0.307222787,0.353290619,140,649,87075,347390
0.830695097,0.681050657,0.361553785,0.472348731,0.589462635,0.326693227,0.367649749,170,641,85070,381034
0.831005157,0.69140625,0.351888668,0.466403162,0.582377032,0.313121272,0.35404232,158,652,93398,389628
0.838959175,0.71042471,0.358325219,0.476375405,0.588155101,0.328140214,0.351356451,150,659,95385,366996
0.825651072,0.679927667,0.396206533,0.500665779,0.6166853,0.356164384,0.323678207,177,573,116683,417898
0.813451198,0.668639053,0.346271706,0.456258412,0.577002761,0.322778345,0.395766237,168,640,105148,341250
0.819809685,0.666007905,0.339717742,0.449933244,0.571410889,0.313508065,0.392640239,169,655,98115,340640
0.830034012,0.702868852,0.354705274,0.471477663,0.585743358,0.335056877,0.376109516,145,624,92502,329291
0.821004622,0.667946257,0.356192426,0.464619493,0.585097187,0.321392016,0.318112497,173,629,87125,378824
0.827941757,0.662288931,0.371188223,0.47574124,0.596794553,0.347003155,0.368105817,180,598,95836,351962
0.828013172,0.663461538,0.356037152,0.463398254,0.584548831,0.325077399,0.342221877,175,624,94760,373793
0.831715828,0.674603175,0.345528455,0.456989247,0.57671203,0.31504065,0.400339064,164,644,100458,377675
0.822438569,0.724470135,0.364341085,0.484848485,0.59369894,0.330426357,0.370967713,143,656,83662,387725
0.834805888,0.675485009,0.374755382,0.482064191,0.599164287,0.329745597,0.355048139,184,639,114038,447541
0.819760891,0.692307692,0.351703407,0.466445183,0.5822849,0.323647295,0.332065098,156,647,85389,352239
0.822332945,0.672268908,0.31840796,0.432140446,0.554131954,0.286567164,0.355325799,156,685,84706,374289
0.823797919,0.672032193,0.344685243,0.455661664,0.576045625,0.309597523,0.419126532,163,635,91026,356234
0.821424794,0.666019417,0.351434426,0.460093897,0.581005438,0.31557377,0.335470443,172,633,95761,396174
0.822231265,0.657743786,0.358706986,0.464237517,0.586677099,0.321167883,0.355488267,179,615,83869,421213
0.820852165,0.661048689,0.354062187,0.461136512,0.58287345,0.322968907,0.35840388,181,644,102362,397613
0.824647922,0.688845401,0.353413655,0.467153285,0.583663307,0.323293173,0.34844302,159,644,126041,406023
0.822781071,0.658627087,0.371727749,0.47523427,0.596780831,0.341361257,0.387585974,184,600,76492,331076
0.833822475,0.702205882,0.363809524,0.479297365,0.591700586,0.328571429,0.378464658,162,668,117052,422982
0.825251787,0.701465201,0.384538153,0.496757458,0.608404037,0.347389558,0.367543976,163,613,79885,384053
0.820235076,0.636524823,0.366700715,0.465327285,0.591246967,0.331971399,0.326884154,205,620,120986,387093
0.806442263,0.665306122,0.340292276,0.450276243,0.572391189,0.308977035,0.367300428,164,632,91558,366425
0.818923047,0.668627451,0.351546392,0.460810811,0.581407432,0.322680412,0.357624991,169,629,122155,370051
0.828896006,0.67806841,0.339034205,0.452045607,0.571552249,0.311871227,0.370350846,160,657,159182,435553
0.826832207,0.702495202,0.378490176,0.491935484,0.604299741,0.34229576,0.368822912,155,601,107665,389051
0.81448477,0.674468085,0.336875664,0.449326719,0.570187215,0.313496281,0.360193304,153,624,82472,314859
0.820817235,0.644981413,0.356995885,0.459602649,0.584427212,0.3281893,0.325117703,191,625,117136,374594
0.825231891,0.690871369,0.323300971,0.44047619,0.558770469,0.301941748,0.387652189,149,697,75480,340319
0.826247783,0.695918367,0.340659341,0.457411133,0.573480386,0.312687313,0.342009098,149,660,84649,366314
0.821568861,0.669980119,0.34742268,0.457569586,0.577995519,0.319587629,0.324428863,166,633,111515,379990
0.832476008,0.683809524,0.36372847,0.474867725,0.591675951,0.335359676,0.370974715,166,628,70537,324780
0.835389443,0.685950413,0.342268041,0.456671252,0.574762698,0.316494845,0.359806976,152,638,106399,350967
0.821230877,0.725206612,0.349253731,0.471457354,0.581918493,0.319402985,0.381313881,133,654,93161,400861
0.814801572,0.668615984,0.362962963,0.470507545,0.590697418,0.328042328,0.372857057,170,602,105667,365530
0.834312756,0.735294118,0.351405622,0.475543478,0.584262941,0.336345382,0.328890665,126,646,65116,297272
0.815213669,0.678294574,0.361570248,0.471698113,0.58977051,0.323347107,0.345892987,166,618,84663,357629
0.842946564,0.70242915,0.362591432,0.478290834,0.591900994,0.326018809,0.36254953,147,610,73469,362311
0.831652184,0.698189135,0.350151362,0.466397849,0.581503373,0.31987891,0.32164535,150,644,87198,359097
0.831463107,0.677902622,0.35877106,0.469215813,0.586898792,0.32111001,0.397699391,172,647,115255,391607
0.820251234,0.663636364,0.350961538,0.459119497,0.579730006,0.3125,0.347626767,185,675,115661,422345
0.822171655,0.68490566,0.361914257,0.473581213,0.590076641,0.327018943,0.351848072,167,640,82667,367734
0.828471378,0.68952381,0.353861193,0.467700258,0.583655021,0.321603128,0.377579786,163,661,86304,389908
0.831122002,0.668,0.353439153,0.462283737,0.583164273,0.317460317,0.34222244,166,611,75276,368674
0.814240613,0.644688645,0.358087487,0.460431655,0.584848313,0.325534079,0.332359047,194,631,143380,427930
0.831905482,0.686888454,0.362229102,0.474324324,0.590762227,0.321981424,0.36686413,160,618,128150,463976
0.828391718,0.670520231,0.360621762,0.469002695,0.588645916,0.332642487,0.342309829,171,617,105954,342200
0.82865136,0.70242915,0.350151362,0.467340067,0.581833069,0.323915237,0.366950062,147,644,85265,333720
0.822995483,0.677358491,0.350243902,0.461736334,0.579982828,0.315121951,0.365021083,171,666,93029,378928
0.83520533,0.693284936,0.385469223,0.495460441,0.608802192,0.347124117,0.377689092,169,609,126052,427591
0.821639504,0.667311412,0.356773526,0.464959569,0.585268314,0.327817994,0.318425066,172,622,86264,331834
0.823776962,0.686626747,0.347124117,0.461126005,0.578293583,0.322906155,0.370437726,157,647,104285,351450
0.823908128,0.69279661,0.323762376,0.441295547,0.559325315,0.295049505,0.354466859,145,683,90645,348834
