auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.753005688,0.185088293,0.476430976,0.266603862,0.633261621,0.476430976,0.21123992,1246,311,315786,401247
0.768817818,0.183606557,0.397868561,0.251261918,0.589335699,0.770870337,0.192198095,996,339,227068,280744
0.751789903,0.163532298,0.366300366,0.22611645,0.564463753,0.705128205,0.165043068,1023,346,260775,314411
0.764790382,0.180473373,0.428822496,0.254034357,0.60660541,0.725834798,0.196232276,1108,325,262272,327568
0.762943093,0.178014184,0.436521739,0.252896725,0.609963769,0.700869565,0.195123908,1159,324,277052,345369
0.748074884,0.161347518,0.319859402,0.21449617,0.530459049,0.710017575,0.147071134,946,387,215227,261484
0.748987291,0.176678445,0.340715503,0.232693426,0.547887814,0.752981261,0.165543149,932,387,188324,247701
0.762300353,0.17911354,0.520282187,0.266485998,0.656344692,0.520282187,0.220018767,1352,272,331061,420313
0.758055036,0.176763485,0.373684211,0.24,0.571525792,0.754385965,0.177738663,992,357,206394,262055
0.779884404,0.195708155,0.395833333,0.261918438,0.590211445,0.720486111,0.201736324,937,348,245025,299121
0.769078775,0.191709845,0.292259084,0.231539424,0.513077862,0.753554502,0.159721389,780,448,187066,224378
0.7716586,0.183110368,0.38556338,0.24829932,0.580849765,0.735915493,0.187276313,977,349,204674,265147
0.772702903,0.191850594,0.39100346,0.257403189,0.58593316,0.769896194,0.196148479,952,352,211561,270954
0.765911463,0.186170213,0.420962199,0.258166491,0.602671285,0.687285223,0.198267693,1071,337,238756,324372
0.75123852,0.159013605,0.333333333,0.215313759,0.540047092,0.714795009,0.149801302,989,374,205423,257859
0.749115001,0.183041723,0.457142857,0.261412782,0.6219574,0.690756303,0.203789865,1214,323,303160,386616
0.753551102,0.175018155,0.411262799,0.245542537,0.592651022,0.680887372,0.182598783,1136,345,276167,356063
0.742595775,0.182211242,0.482815057,0.264573991,0.632768018,0.618657938,0.20555789,1324,316,289619,366074
0.746425261,0.164116829,0.432234432,0.237903226,0.605263607,0.613553114,0.183072429,1202,310,305493,373296
0.762062691,0.168260038,0.308231173,0.217687075,0.523450811,0.716287215,0.150310873,870,395,219253,265109
0.761011212,0.191153239,0.40266223,0.259239422,0.591819324,0.728785358,0.196228518,1024,359,243126,303896
0.754525675,0.181895816,0.378330373,0.24567474,0.576444831,0.731793961,0.185243614,958,350,214644,271754
0.766419514,0.174496644,0.312178388,0.223862239,0.527157008,0.775300172,0.155933748,861,401,190952,233047
0.76168255,0.171407732,0.42039356,0.243523316,0.599357775,0.758497317,0.185442679,1136,324,261857,318020
0.755577052,0.171969046,0.371057514,0.235017626,0.570691021,0.753246753,0.176504887,963,339,215688,263225
0.757118556,0.162645914,0.386321627,0.228915663,0.578178021,0.750462107,0.171453994,1076,332,243067,289969
0.763367362,0.177447552,0.359929078,0.237704918,0.562815639,0.664893617,0.175107936,941,361,244206,312855
0.779902854,0.188948307,0.386156648,0.253740275,0.584116008,0.785063752,0.195987476,910,337,211083,245877
0.742373749,0.177370031,0.389261745,0.243697479,0.579420663,0.77852349,0.178231083,1076,364,215764,282652
0.763346577,0.184075342,0.349025974,0.24103139,0.553279415,0.771103896,0.170369105,953,401,196858,237684
0.759341427,0.186836518,0.447457627,0.263604593,0.617842265,0.655932203,0.205320899,1149,326,296472,376313
0.766207483,0.195208518,0.363636364,0.25404157,0.566696543,0.750413223,0.187219934,907,385,202202,267061
0.746120277,0.182036889,0.393414211,0.248903509,0.584819516,0.688041594,0.186939839,1020,350,276540,331141
0.767000769,0.172064777,0.285234899,0.214646465,0.505331678,0.733221477,0.14384596,818,426,197899,244847
0.756657873,0.179065744,0.36,0.239168111,0.562376459,0.707826087,0.174848597,949,368,246957,320545
0.760853683,0.174391202,0.381443299,0.2393531,0.575140527,0.771477663,0.17597812,1051,360,238553,280813
0.74882888,0.167048055,0.375643225,0.2312566,0.568905141,0.734133791,0.166051394,1092,364,233025,279170
0.757622135,0.170598911,0.329824561,0.224880383,0.539533545,0.733333333,0.158264048,914,382,206967,264874
0.765442745,0.17442845,0.360770578,0.235159817,0.562600714,0.737302977,0.172311865,975,365,228829,280135
0.760075072,0.171561051,0.401446655,0.240389821,0.588860989,0.721518987,0.182167489,1072,331,271393,318543
0.770414924,0.198859006,0.410774411,0.267984624,0.598976596,0.750841751,0.206314911,983,350,221972,284014
0.761086496,0.175275191,0.357512953,0.235227273,0.559697354,0.725388601,0.170303014,974,372,234248,299104
0.764572919,0.189168574,0.423208191,0.261465472,0.604531614,0.725255973,0.201309998,1063,338,240713,297188
