auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.878060655,0.628865979,0.102693603,0.176555716,0.319724831,0.794612795,0.235490052,36,533,12227,26719
0.866384903,0.648351648,0.104795737,0.180428135,0.323060281,0.81705151,0.243290551,32,504,3107,20057
0.850208057,0.65625,0.115384615,0.196261682,0.338969194,0.824175824,0.257880524,33,483,17002,30567
0.845641096,0.594059406,0.105448155,0.179104478,0.323874117,0.834797891,0.230999154,41,509,9663,27843
0.868466638,0.635294118,0.093913043,0.163636364,0.305846501,0.817391304,0.227005774,31,521,16891,24191
0.858852699,0.6,0.121265378,0.201754386,0.347211943,0.806678383,0.249625873,46,500,9941,33064
0.86195788,0.739583333,0.120954003,0.207906296,0.34722905,0.812606474,0.282482252,25,516,4516,17800
0.847187337,0.651162791,0.098765432,0.17151608,0.313669356,0.828924162,0.236664575,30,511,10849,18462
0.864907092,0.632075472,0.11754386,0.198224852,0.341997233,0.815789474,0.253733669,39,503,18014,28715
0.860050728,0.659793814,0.111111111,0.190193165,0.332628453,0.8125,0.252827012,33,512,5915,21338
0.873905587,0.676190476,0.112164297,0.192411924,0.334184058,0.830963665,0.256304118,34,562,6856,20771
0.864783835,0.669902913,0.121478873,0.205663189,0.347779581,0.788732394,0.267227458,34,499,10539,24854
0.853145241,0.629213483,0.096885813,0.167916042,0.310606224,0.828719723,0.229065299,33,522,13789,32201
0.852689007,0.666666667,0.10652921,0.183703704,0.325739472,0.797250859,0.248885178,31,520,4014,24864
0.862000999,0.632478632,0.131907308,0.218289086,0.362201807,0.807486631,0.26947418,43,487,5669,30763
0.849765377,0.651376147,0.119327731,0.201704545,0.344605921,0.816806723,0.259672684,38,524,8117,39773
0.865057482,0.712871287,0.122866894,0.209606987,0.349870095,0.795221843,0.278433832,29,514,6380,16520
0.85950899,0.712643678,0.101472995,0.17765043,0.318034457,0.798690671,0.251997292,25,549,14573,26410
0.864311411,0.537037037,0.106227106,0.177370031,0.324889987,0.798534799,0.218599799,50,488,14540,43585
0.864471917,0.673267327,0.119089317,0.202380952,0.344365597,0.817863398,0.265300595,33,503,18226,30166
0.861407803,0.646464646,0.106489185,0.182857143,0.325600089,0.793677205,0.243757967,35,537,17318,36177
0.853538104,0.58974359,0.122557726,0.202941176,0.3490135,0.804618117,0.248525957,48,494,7753,21534
0.861155279,0.638888889,0.118353345,0.199710564,0.343168468,0.838765009,0.25578871,39,514,8849,22656
0.859023315,0.577981651,0.112701252,0.188622754,0.334719711,0.81216458,0.235199535,46,496,13114,23406
0.858151615,0.709090909,0.14471243,0.2403698,0.379637284,0.823747681,0.30319297,32,461,7585,21959
0.86171218,0.721518987,0.105360444,0.183870968,0.324145497,0.826247689,0.261067485,22,484,3567,19194
0.858988026,0.663043478,0.108156028,0.18597561,0.328220502,0.806737589,0.250581363,31,503,4681,14523
0.857416847,0.616161616,0.111111111,0.188271605,0.332521938,0.836065574,0.243296089,38,488,6099,15676
0.858403917,0.568627451,0.097315436,0.166189112,0.311075813,0.848993289,0.214960221,44,538,15622,39817
0.867615727,0.675675676,0.121753247,0.206327373,0.348120423,0.829545455,0.267310447,36,541,4288,15778
0.859577249,0.564814815,0.103389831,0.1747851,0.320575409,0.823728814,0.220904318,47,529,13642,19780
0.854522903,0.701923077,0.120661157,0.205923836,0.346668802,0.811570248,0.272727079,31,532,17482,45750
0.843360691,0.593406593,0.093587522,0.161676647,0.305194985,0.821490468,0.217071111,37,523,15021,30640
0.851435609,0.650485437,0.112416107,0.191702432,0.334511477,0.820469799,0.251511586,36,529,13490,31685
0.862225656,0.666666667,0.125217391,0.210834553,0.353044406,0.815652174,0.270330025,36,503,4664,20010
0.859864172,0.67826087,0.134020619,0.223816356,0.365231485,0.855670103,0.282757105,37,504,7221,29500
