auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.853655008,0.676923077,0.220735786,0.332912989,0.46825123,0.665551839,0.267658758,63,466,62833,131351
0.85415703,0.666666667,0.234527687,0.346987952,0.482407758,0.716612378,0.158081172,72,470,29614,105294
0.861908133,0.623809524,0.223549488,0.329145729,0.470810675,0.658703072,0.20573841,79,455,60567,122295
0.863324288,0.720207254,0.227868852,0.346201743,0.475971794,0.718032787,0.235830874,54,471,41662,113005
0.851496918,0.663366337,0.219312602,0.329643296,0.466597789,0.713584288,0.194739295,68,477,52796,120951
0.861809625,0.663157895,0.201923077,0.30958231,0.447815816,0.657051282,0.287750555,64,498,36287,98895
0.850473575,0.666666667,0.231884058,0.344086022,0.479684563,0.684380032,0.207362046,72,477,48182,117274
0.850872003,0.620512821,0.198686371,0.300995025,0.443970342,0.663382594,0.267654828,74,488,73378,145231
0.848780505,0.713483146,0.197819315,0.309756098,0.443555727,0.674454829,0.209351744,51,515,26517,90655
0.860936438,0.689320388,0.2272,0.341756919,0.47500995,0.7152,0.194228341,64,483,39002,116178
0.854413848,0.666666667,0.200988468,0.308860759,0.446865773,0.649093904,0.243121481,61,485,53490,126655
0.850299231,0.678571429,0.20846395,0.318944844,0.4550244,0.681818182,0.256011824,63,505,36016,94329
0.868103663,0.655660377,0.234006734,0.344913151,0.481841969,0.67003367,0.28066889,73,455,40928,131650
0.868418553,0.660377358,0.232945092,0.344403444,0.48077233,0.688851913,0.173183865,72,461,31814,114607
0.863057446,0.659192825,0.236714976,0.348341232,0.484552667,0.692431562,0.222034246,76,474,56791,140355
0.863632065,0.616935484,0.247172859,0.352941176,0.494661657,0.663974152,0.203975605,95,466,89034,181237
0.853533014,0.7,0.196567863,0.306942753,0.44206414,0.700468019,0.226252351,54,515,55012,132202
0.870591997,0.690217391,0.202875399,0.313580247,0.449028505,0.666134185,0.258324368,57,499,36720,98852
0.856666552,0.643192488,0.226072607,0.334554335,0.473531893,0.676567657,0.197405228,76,469,49229,145690
0.852666789,0.642857143,0.236065574,0.345323741,0.483784547,0.695081967,0.219591679,80,466,56906,143497
0.85161667,0.638190955,0.208538588,0.314356436,0.454906111,0.666666667,0.257866958,72,482,45351,134091
0.867000691,0.657276995,0.229885057,0.340632603,0.477582288,0.694581281,0.211388529,73,469,35048,100924
0.869210485,0.668269231,0.229372937,0.341523342,0.477156986,0.671617162,0.224782514,69,467,61564,150210
0.862903684,0.659793814,0.211570248,0.320400501,0.458328549,0.676033058,0.219502443,66,477,65816,159197
0.870527438,0.625615764,0.209917355,0.314356436,0.45630531,0.684297521,0.186539408,76,478,48834,108241
0.860166995,0.652380952,0.220257235,0.329326923,0.467501417,0.70096463,0.161820125,73,485,62586,131098
0.865356747,0.612903226,0.186885246,0.286432161,0.43063653,0.62295082,0.22505391,72,496,74485,141934
0.853146184,0.668316832,0.225375626,0.337078652,0.473018336,0.649415693,0.316567044,67,464,61737,123061
0.857530369,0.666666667,0.21474359,0.324848485,0.461739967,0.681089744,0.239116194,67,490,55978,151336
0.863739283,0.630705394,0.238244514,0.345847554,0.485757009,0.675548589,0.251620723,89,486,68266,147020
0.860321,0.656410256,0.207119741,0.314883149,0.453469179,0.660194175,0.142987145,67,490,54246,128935
0.859944367,0.721698113,0.244408946,0.365155131,0.492806312,0.68370607,0.226048237,59,473,35846,135638
0.839469156,0.668316832,0.217741935,0.328467153,0.46494218,0.679032258,0.247041091,67,485,53227,130024
0.843014353,0.631818182,0.212863706,0.318442153,0.45935904,0.678407351,0.230775349,81,514,57048,135736
0.869691043,0.693333333,0.246056782,0.363213038,0.494205244,0.73659306,0.253222773,69,478,40776,123166
0.868182852,0.668449198,0.201288245,0.309405941,0.447178177,0.68115942,0.2208564,62,496,61225,141415
0.857183042,0.670157068,0.210526316,0.320400501,0.45728736,0.652960526,0.21715631,63,480,51008,118618
0.855052245,0.709821429,0.25,0.369767442,0.498241479,0.698113208,0.218537815,65,477,37419,113236
0.866955652,0.668292683,0.217115689,0.327751196,0.464268492,0.686212361,0.217380884,68,494,50850,128191
0.866290072,0.660869565,0.24437299,0.356807512,0.492270029,0.673633441,0.229321987,78,470,57579,162786
0.863229682,0.654639175,0.202551834,0.309378806,0.44842221,0.688995215,0.228200014,67,500,48990,99976
0.850481312,0.700507614,0.218009479,0.33253012,0.465439208,0.66192733,0.236367121,59,495,43381,151744
0.866614342,0.694736842,0.19760479,0.307692308,0.443135677,0.652694611,0.226346185,58,536,49429,133575
0.849509036,0.622009569,0.220338983,0.325406758,0.46741363,0.674576271,0.228419257,79,460,69295,148974
0.857175821,0.666666667,0.245183888,0.358514725,0.493314126,0.674255692,0.241017141,70,431,64405,142420
0.85818988,0.658415842,0.221297837,0.331257783,0.468683481,0.65890183,0.193404833,69,468,40309,110687
0.866264224,0.719387755,0.223101266,0.34057971,0.470948262,0.675632911,0.227520864,55,491,43073,137321
0.85950844,0.650717703,0.208588957,0.315911731,0.454919384,0.680981595,0.216175294,73,516,31679,115049
0.858479214,0.633507853,0.189655172,0.291917973,0.433856001,0.670846395,0.191513117,70,517,41707,130269
0.861721437,0.709497207,0.214165261,0.329015544,0.461486688,0.677908938,0.23073201,52,466,34955,88154
0.862649896,0.660633484,0.229559748,0.340723454,0.477220682,0.676100629,0.17094337,75,490,54572,139394
0.857878446,0.662037037,0.239530988,0.351783518,0.487516141,0.698492462,0.226514344,73,454,41434,129494
0.853982939,0.654867257,0.237942122,0.349056604,0.48574851,0.676848875,0.190309551,78,474,54897,142570
0.853507458,0.703349282,0.23902439,0.356796117,0.487278251,0.686178862,0.191752155,62,468,48988,127084
0.86025872,0.631313131,0.205592105,0.310173697,0.451655958,0.695723684,0.191615497,73,483,46779,113036
0.874411707,0.671428571,0.226324238,0.338535414,0.47397419,0.695024077,0.256860911,69,482,41503,118722
0.861860751,0.694835681,0.250847458,0.368617684,0.499103167,0.703389831,0.202360207,65,442,55361,136010
0.867159918,0.685714286,0.23723229,0.35250918,0.485331549,0.686985173,0.251432898,66,463,53599,126113
0.847619592,0.651960784,0.219834711,0.328800989,0.46707158,0.679338843,0.165510513,71,472,74477,155395
0.851169091,0.683168317,0.242530756,0.357976654,0.490794388,0.690685413,0.185850566,64,431,47216,160677
0.877682933,0.627192982,0.224137931,0.330254042,0.471270101,0.659874608,0.237226462,85,495,72115,150873
0.856742741,0.611398964,0.185243328,0.284337349,0.428668617,0.678178964,0.20006449,75,519,51436,107598
0.847152808,0.704663212,0.222585925,0.338308458,0.470348926,0.693944354,0.201020225,57,475,24675,119823
0.858478608,0.625,0.260067114,0.367298578,0.507421668,0.651006711,0.22747206,93,441,63488,170369
0.864745794,0.673913043,0.253682488,0.368608799,0.501642289,0.703764321,0.200169977,75,456,65173,156767
0.870911618,0.671875,0.217537943,0.32866242,0.4648442,0.688026981,0.245985538,63,464,38728,103965
0.875411251,0.62,0.197452229,0.299516908,0.442541291,0.670382166,0.22355806,76,504,63075,133359
0.861738089,0.671361502,0.221362229,0.332945285,0.468733937,0.664086687,0.231427999,70,503,44165,132628
0.854354407,0.641509434,0.232876712,0.341708543,0.480598228,0.674657534,0.206457685,76,448,43395,120322
0.859734376,0.65,0.22555205,0.334894614,0.472972793,0.664037855,0.179332768,77,491,58120,118825
0.867071669,0.653658537,0.219312602,0.328431373,0.466532675,0.674304419,0.243552814,71,477,56798,129687
0.854367135,0.662337662,0.242857143,0.355400697,0.490740655,0.695238095,0.187909162,78,477,72157,151282
0.859075977,0.722772277,0.237398374,0.357405141,0.485783634,0.697560976,0.224244408,56,469,28254,114336
0.860795552,0.683035714,0.2448,0.360424028,0.492882648,0.6992,0.202369511,71,472,38438,120980
0.854819223,0.604444444,0.224793388,0.327710843,0.47186092,0.697520661,0.19235412,89,469,47398,121037
0.862386597,0.668269231,0.22133758,0.332535885,0.468732807,0.659235669,0.211886718,69,489,43641,122985
0.856760085,0.666666667,0.224025974,0.335358445,0.471561507,0.720779221,0.251870784,69,478,33964,111762
0.857507337,0.650717703,0.219709208,0.328502415,0.466889013,0.670436187,0.24489833,73,483,57837,133031
0.855406282,0.686567164,0.226973684,0.341161928,0.47480253,0.680921053,0.193357735,63,470,30170,121629
0.866025817,0.62755102,0.200652529,0.30407911,0.44618972,0.673735726,0.21539504,73,490,61755,138291
0.860731831,0.674418605,0.242881072,0.357142857,0.49097979,0.681742044,0.243858758,70,452,61849,139910
0.860173209,0.67357513,0.212071778,0.322580645,0.458958768,0.686786297,0.199220724,63,483,40136,109577
0.856611584,0.660194175,0.216216216,0.325748503,0.463240867,0.669316375,0.204980915,70,493,38877,134936
0.858307828,0.662162162,0.250425894,0.363411619,0.49841763,0.674616695,0.23259697,75,440,41542,142027
0.859999826,0.674757282,0.222044728,0.334134615,0.469515579,0.67571885,0.232790586,67,487,52519,136979
0.849659067,0.658031088,0.203852327,0.31127451,0.449898931,0.685393258,0.227719657,66,496,51448,128212
0.852650759,0.669950739,0.215873016,0.326530612,0.462955296,0.66984127,0.229220352,67,494,22482,106363
0.872309374,0.668224299,0.240740741,0.353960396,0.48879191,0.698653199,0.213529391,71,451,34997,119322
0.867694569,0.657458564,0.196046129,0.302030457,0.441308192,0.705107084,0.225334954,62,488,35944,84414
0.855086768,0.666666667,0.226006192,0.337572254,0.47352024,0.691950464,0.203884914,73,500,39314,116984
0.869217545,0.657142857,0.218700475,0.328180737,0.465844723,0.656101426,0.2155197,72,493,58033,128173
