"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.753592934564432,0.555555555555556,0.0638297872340425,0.114503816793893,0.251871379679504,0.34468085106383,0.161888354448202,12,220,22869,62542
0.728943056610942,0.56,0.0546875,0.099644128113879,0.233201108685612,0.41015625,0.148707858357809,11,242,17692,54204
0.746118804942334,0.5,0.0692640692640693,0.121673003802281,0.2621199958727,0.311688311688312,0.156825551652597,16,215,16950,65607
0.759803424437571,0.588235294117647,0.040650406504065,0.0760456273764259,0.201252354060034,0.491869918699187,0.133096905729139,7,236,7979,38313
0.730234776147542,0.666666666666667,0.0600858369098712,0.110236220472441,0.244680346830685,0.394849785407725,0.178565365186428,7,219,26592,54451
0.738920984581314,0.483870967741935,0.0643776824034335,0.113636363636364,0.252660927990938,0.0643776824034335,0.145957213088793,16,218,34442,78625
0.752499154234466,0.777777777777778,0.0300429184549356,0.0578512396694215,0.17323960958978,0.523605150214592,0.139773873966147,2,226,523,22688
0.758445227861201,0.636363636363636,0.0882352941176471,0.154981549815498,0.29613214938995,0.226890756302521,0.209778286845573,12,217,25107,82463
0.753122630336801,0.56,0.0576131687242798,0.104477611940299,0.239343149967807,0.316872427983539,0.153443569310869,11,229,27647,63593
0.731179347565259,0.56,0.0598290598290598,0.108108108108108,0.243912101159184,0.542735042735043,0.15766545736433,11,220,9505,39265
0.738529079820665,0.413793103448276,0.0489795918367347,0.0875912408759124,0.220356846389844,0.404081632653061,0.111351286841811,17,233,19938,45854
0.752976088569309,0.481481481481481,0.0577777777777778,0.103174603174603,0.239504329403461,0.368888888888889,0.139129616677019,14,212,24965,56946
0.75036845872355,0.3125,0.0193050193050193,0.0363636363636364,0.138542877314943,0.532818532818533,0.0513968946669554,11,254,13278,22828
0.763938568493653,0.416666666666667,0.0446428571428571,0.0806451612903226,0.210527552747659,0.321428571428571,0.108959204352161,14,214,28839,54347
0.734237426741175,0.48,0.0521739130434783,0.0941176470588235,0.227639066886745,0.495652173913044,0.130822258169556,13,218,9273,42249
0.758756172839506,0.866666666666667,0.052,0.0981132075471698,0.227917752835564,0.516,0.196548028555894,2,237,2142,36406
0.733581241098511,0.740740740740741,0.0790513833992095,0.142857142857143,0.280649377471835,0.363636363636364,0.218400741318998,7,233,15225,66992
0.730115108446221,0.5,0.0482456140350877,0.088,0.219010748700806,0.535087719298246,0.129770042002371,11,217,8845,30787
0.758364970353624,0.538461538461538,0.0294117647058824,0.0557768924302789,0.171237220624147,0.508403361344538,0.106875512227161,6,231,17768,29168
0.724930464060899,0.5,0.0671936758893281,0.118466898954704,0.258065497169375,0.122529644268775,0.150726926550524,17,236,34591,74082
0.739815986074622,0.8,0.0502092050209205,0.0944881889763779,0.223900337856391,0.489539748953975,0.183877687939714,3,227,3408,30837
0.737090173050403,0.571428571428571,0.0338983050847458,0.064,0.183824750154919,0.584745762711864,0.119476494266538,6,228,657,9964
0.709047461002323,0.5,0.0608695652173913,0.108527131782946,0.245837118689929,0.352173913043478,0.146680995272086,14,216,23304,66019
0.739646629684825,0.5,0.0567685589519651,0.101960784313725,0.237458160690779,0.131004366812227,0.141257055277164,13,216,33865,72538
0.73543929987929,0.482758620689655,0.0583333333333333,0.104089219330855,0.240584016677908,0.429166666666667,0.138144021040851,15,226,15576,53647
0.737532868650612,0.576923076923077,0.0607287449392713,0.10989010989011,0.245732388371517,0.433198380566802,0.160790645402934,11,232,17124,60290
0.744021235569579,0.5,0.0493827160493827,0.0898876404494382,0.221545057959511,0.473251028806584,0.130705191454818,12,231,11053,39045
0.744967548512503,0.705882352941177,0.0502092050209205,0.09375,0.223779852378575,0.472803347280335,0.16885115948852,5,227,7368,41451
0.729321253610353,0.521739130434783,0.0454545454545455,0.0836236933797909,0.212582334597017,0.53030303030303,0.126580994656601,11,252,15365,34855
0.747464265051564,0.666666666666667,0.0306513409961686,0.0586080586080586,0.174890272558135,0.513409961685824,0.125127711430263,4,253,7318,27187
0.744422495447787,0.5,0.0362903225806452,0.0676691729323308,0.190055730603869,0.42741935483871,0.110980330067566,9,239,21481,49597
0.794116218721429,0.727272727272727,0.0329218106995885,0.062992125984252,0.181303987195287,0.415637860082305,0.139435463950474,3,235,11071,42239
0.749888429986774,0.545454545454545,0.047808764940239,0.0879120879120879,0.21809479465782,0.438247011952191,0.136545962353746,10,239,21872,42387
0.736080108293216,0.538461538461538,0.0614035087719298,0.110236220472441,0.247036419626897,0.469298245614035,0.155830499204026,12,214,14503,45014
0.751923377028714,0.652173913043478,0.0561797752808989,0.103448275862069,0.236528418765896,0.434456928838951,0.166926969654339,8,252,15941,62555
0.765500410445278,0.578947368421053,0.0468085106382979,0.0866141732283465,0.21590106948211,0.425531914893617,0.142159520021043,8,224,17561,38791
0.75647512200686,0.666666666666667,0.0557768924302789,0.102941176470588,0.235748344372865,0.414342629482072,0.170703237059868,7,237,15514,50996
0.757888973465273,0.434782608695652,0.0436681222707424,0.0793650793650794,0.208275735531166,0.445414847161572,0.111191301460947,13,219,27501,52385
0.733728513913031,0.583333333333333,0.0576131687242798,0.104868913857678,0.239407686737223,0.374485596707819,0.158217604281773,10,229,17803,57883
0.741644555566895,0.482758620689655,0.0569105691056911,0.101818181818182,0.2376217476909,0.32520325203252,0.135425311069003,15,232,17621,61314
0.744158787395,0.516129032258065,0.0707964601769911,0.124513618677043,0.265039512864304,0.380530973451327,0.162159896089697,15,210,15939,46540
0.740438476645888,0.424242424242424,0.0585774058577406,0.102941176470588,0.240851746221818,0.255230125523013,0.125142070118887,19,225,28826,69714
0.766787587513575,0.583333333333333,0.0619469026548673,0.112,0.248240649641585,0.367256637168142,0.165556729252019,10,212,8880,52164
0.753380736910149,0.611111111111111,0.046218487394958,0.0859375,0.214598636706071,0.516806722689076,0.146940732227544,7,227,10584,37971
0.736194907790791,0.434782608695652,0.0421940928270042,0.0769230769230769,0.204717594881916,0.464135021097046,0.107939041181642,13,227,21408,49142
0.753551776325574,0.7,0.0598290598290598,0.110236220472441,0.244223969463474,0.44017094017094,0.184313008202756,6,220,12664,47882
0.740019021024302,0.6,0.0470588235294118,0.0872727272727273,0.216482253914589,0.435294117647059,0.144767698188617,8,243,12645,49869
0.774324752296068,0.62962962962963,0.0739130434782609,0.132295719844358,0.271161354725913,0.443478260869565,0.190721665085793,10,213,16301,49574
0.737958227776307,0.521739130434783,0.0566037735849057,0.102127659574468,0.237258991275148,0.509433962264151,0.148257902646685,11,200,16276,38068
0.741051299746952,0.521739130434783,0.0444444444444444,0.0819112627986348,0.210217497761983,0.503703703703704,0.125018500367937,11,258,10966,38668
0.744401687807448,0.625,0.0641025641025641,0.116279069767442,0.252608474872856,0.418803418803419,0.176815033394134,9,219,13049,55880
0.734843505836934,0.578947368421053,0.05,0.0920502092050209,0.223154151946226,0.540909090909091,0.148989843649327,8,209,2448,25096
0.751029862312001,0.409090909090909,0.037037037037037,0.0679245283018868,0.191807186438552,0.506172839506173,0.0956464863988836,13,234,14229,38313
0.746847957770855,0.714285714285714,0.0625,0.114942528735632,0.249610288149659,0.291666666666667,0.190232752105274,6,225,16860,64205
0.743204370346772,0.476190476190476,0.045662100456621,0.0833333333333333,0.213078677076257,0.406392694063927,0.122962143501074,11,209,20631,40930
0.741901175598435,0.6875,0.0452674897119342,0.0849420849420849,0.212489192269635,0.497942386831276,0.157540889999424,5,232,14488,41315
0.742806934172879,0.4375,0.053639846743295,0.0955631399317406,0.230523038815544,0.0957854406130268,0.119737043285176,18,247,43909,79020
0.735448588838182,0.48,0.0491803278688525,0.0892193308550186,0.22101784923864,0.463114754098361,0.125649382758984,13,232,22721,52941
0.757436796851606,0.52,0.0539419087136929,0.0977443609022556,0.231534549090801,0.439834024896266,0.140652046196692,12,228,16472,47903
0.725113023821944,0.56,0.0614035087719298,0.110671936758893,0.247085344168187,0.403508771929825,0.159854804681528,11,214,12790,48536
0.733619432017117,0.5,0.0566037735849057,0.101694915254237,0.23717851325607,0.334905660377358,0.14307532994128,12,200,13967,54694
0.764640911797674,0.428571428571429,0.0128205128205128,0.024896265560166,0.113111631929912,0.517094017094017,0.058944003811927,4,231,13613,18032
0.747048117154812,0.53125,0.068,0.120567375886525,0.259743194707104,0.212,0.159301376765801,15,233,30058,76751
0.730023756632685,0.705882352941177,0.0497925311203319,0.0930232558139535,0.222854214895724,0.443983402489627,0.168293254543559,5,229,9818,53059
0.754834275717722,0.684210526315789,0.0483271375464684,0.0902777777777778,0.219487690193863,0.423791821561338,0.159814637762442,6,256,17772,48377
0.775978595466746,0.733333333333333,0.045643153526971,0.0859375,0.213421878392008,0.460580912863071,0.165298068237904,4,230,16038,52503
0.741169347595148,0.407407407407407,0.0480349344978166,0.0859375,0.218276441498559,0.336244541484716,0.11068772413292,16,218,30913,57537
0.723831761344434,0.428571428571429,0.0371900826446281,0.0684410646387833,0.1922318322712,0.524793388429752,0.0989679416279343,12,233,6260,31565
0.733040072187359,0.619047619047619,0.0515873015873016,0.0952380952380952,0.226658378962406,0.511904761904762,0.155369210000016,8,239,6790,47120
0.725417322697657,0.527777777777778,0.0794979079497908,0.138181818181818,0.280705332345503,0.276150627615063,0.1731622941264,17,220,26651,69538
0.757742149311357,0.533333333333333,0.0297397769516729,0.0563380281690141,0.172137263890572,0.364312267657993,0.103824857293548,7,261,23013,54240
0.751313230916681,0.777777777777778,0.0316742081447964,0.0608695652173913,0.177881852223187,0.547511312217195,0.144321136538553,2,214,4274,23484
0.744851727512771,0.565217391304348,0.0572687224669604,0.104,0.238699758944374,0.466960352422908,0.156050664230447,10,214,13966,40807
0.760126901997586,0.681818181818182,0.0617283950617284,0.113207547169811,0.248004968739836,0.37037037037037,0.183091746515732,7,228,12215,55275
0.751588568009232,0.571428571428571,0.0540540540540541,0.0987654320987654,0.23194310425857,0.436936936936937,0.15245101061998,9,210,18510,42196
0.762867743343518,0.684210526315789,0.0560344827586207,0.103585657370518,0.236356196065588,0.439655172413793,0.175943950130947,6,219,11687,48117
0.732358212737606,0.653846153846154,0.0688259109311741,0.124542124542125,0.261750308126425,0.481781376518219,0.187927283801372,9,230,8075,50453
0.746251645819618,0.588235294117647,0.0403225806451613,0.0754716981132075,0.200445931434318,0.471774193548387,0.132763650237225,7,238,15270,42931
0.750368098675686,0.619047619047619,0.0524193548387097,0.0966542750929368,0.228474504166881,0.30241935483871,0.156775314206402,8,235,21843,67015
0.74293494692287,0.645161290322581,0.0819672131147541,0.145454545454545,0.285491344374887,0.348360655737705,0.203344053985215,11,224,16279,61202
0.738603576451678,0.565217391304348,0.0515873015873016,0.0945454545454545,0.226552643022052,0.321428571428571,0.145777753025424,10,239,21530,63691
0.756513886137718,0.5,0.0464135021097046,0.084942084942085,0.214838961743788,0.49789029535865,0.127378240817347,11,226,9924,36435
0.726131376062335,0.607142857142857,0.0669291338582677,0.120567375886525,0.257962953110428,0.421259842519685,0.174297904561531,11,237,24050,65101
0.738970225771468,0.625,0.0793650793650794,0.140845070422535,0.280841821247423,0.198412698412698,0.194511457713229,12,232,23537,83079
0.745626461827352,0.666666666666667,0.0557768924302789,0.102941176470588,0.235739956582329,0.358565737051793,0.170293962876447,7,237,12077,56718
0.744791632951189,0.909090909090909,0.0429184549356223,0.0819672131147541,0.20711561271346,0.510729613733906,0.185153178412638,1,223,3339,34686
0.739248892297205,0.636363636363636,0.0583333333333333,0.106870229007634,0.241028527757423,0.279166666666667,0.169939943389692,8,226,26905,69360
0.768328893007452,0.818181818181818,0.0337078651685393,0.0647482014388489,0.183502356366552,0.423220973782772,0.151316166584041,2,258,4274,37154
0.74361642172801,0.666666666666667,0.0515021459227468,0.0956175298804781,0.226596731692869,0.416309012875536,0.165632887352838,6,221,13557,45146
0.754807137979051,0.695652173913043,0.0677966101694915,0.123552123552124,0.259900501996632,0.436440677966102,0.194863650249403,7,220,11028,54621
0.766591637047685,0.65,0.0588235294117647,0.107883817427386,0.242101695135987,0.452488687782805,0.174896565817111,7,208,11107,43067
0.752347934551324,0.5,0.0317460317460317,0.0597014925373134,0.177807735876775,0.424603174603175,0.103583262163025,8,244,20201,43500
0.734373902661704,0.473684210526316,0.0775862068965517,0.133333333333333,0.277121134746643,0.245689655172414,0.158882420126783,20,214,27170,68184
0.737199427305767,0.478260869565217,0.0526315789473684,0.0948275862068965,0.228710560889237,0.425837320574163,0.133926416091412,12,198,17216,44790
0.725513024986709,0.5,0.036,0.0671641791044776,0.189282199892574,0.54,0.109760497611703,9,241,11445,30690
0.745412160622579,0.5,0.038135593220339,0.0708661417322835,0.194828454426359,0.51271186440678,0.114931367181006,9,227,8660,30885
0.767101145765205,0.714285714285714,0.0436681222707424,0.0823045267489712,0.208758322717882,0.475982532751092,0.160002373297175,4,219,1708,38493
0.769023890467098,0.55,0.0504587155963303,0.092436974789916,0.224116473168267,0.399082568807339,0.144423064813479,9,207,18961,46960
0.739171935797665,0.8125,0.0505836575875486,0.0952380952380952,0.224732331057567,0.431906614785992,0.185188222727042,3,244,12090,45571
0.745719628057409,0.4375,0.0686274509803922,0.11864406779661,0.260750266414463,0.284313725490196,0.143617758245803,18,190,32395,67477
0.754800274647603,0.666666666666667,0.0396825396825397,0.0749063670411985,0.198951165613885,0.551587301587302,0.143795698458999,5,242,5698,35019
0.735908206475757,0.452380952380952,0.0788381742738589,0.134275618374558,0.279117995330581,0.468879668049793,0.152928929582791,23,222,22090,60434
0.728288967340383,0.586206896551724,0.0685483870967742,0.122743682310469,0.261001412610265,0.375,0.172711751205281,12,231,17537,61699
0.747904233171409,0.478260869565217,0.05,0.0905349794238683,0.222922983311613,0.363636363636364,0.129418810535344,12,209,22664,59616
0.75533905078741,0.777777777777778,0.0588235294117647,0.109375,0.242286102722293,0.453781512605042,0.195649536798996,4,224,10424,48698
0.742706892387414,0.588235294117647,0.0425531914893617,0.0793650793650794,0.205911365862376,0.493617021276596,0.137268704944141,7,225,5666,31151
0.745518795337166,0.48,0.051948051948052,0.09375,0.227151046757108,0.38961038961039,0.130598227217568,13,219,18334,54881
0.73752417794971,0.64,0.0680851063829787,0.123076923076923,0.260317031674695,0.370212765957447,0.184471732095566,9,219,16151,62737
0.776528260869565,0.352941176470588,0.0260869565217391,0.048582995951417,0.161069793135987,0.326086956521739,0.0719873017498077,11,224,28976,54069
0.748761167615514,0.483870967741935,0.0617283950617284,0.109489051094891,0.247420001357165,0.444444444444444,0.142017987532241,16,228,13099,49725
0.763190117548818,0.6875,0.04296875,0.0808823529411765,0.207022576669239,0.40625,0.152468805400814,5,245,16146,57820
0.760133281394638,0.5625,0.0365853658536585,0.0687022900763359,0.190927799998992,0.439024390243902,0.12227216531532,7,237,17977,53578
0.742252333608673,0.526315789473684,0.0413223140495868,0.0766283524904215,0.202804632863704,0.504132231404959,0.123882395847305,9,232,16703,38660
0.724341266905085,0.608695652173913,0.0549019607843137,0.100719424460432,0.233758399359638,0.454901960784314,0.157783731660172,9,241,10651,53288
0.745177302856463,0.454545454545455,0.0420168067226891,0.0769230769230769,0.204357605032151,0.449579831932773,0.112284439933141,12,228,20530,41680
0.742885073238415,0.478260869565217,0.0421455938697318,0.0774647887323944,0.20465931662859,0.448275862068966,0.114380182460224,12,250,14849,42504
0.734290724992555,0.7,0.0595744680851064,0.109803921568627,0.243698925877083,0.442553191489362,0.183588159587786,6,221,13107,45409
0.7190897896636,0.590909090909091,0.0522088353413655,0.0959409594095941,0.227956648997846,0.405622489959839,0.151197918526112,9,236,24305,56442
0.769579079923908,0.684210526315789,0.0555555555555556,0.102766798418972,0.235332531131984,0.525641025641026,0.174428550436086,6,221,8586,34782
0.734106161296323,0.407407407407407,0.0438247011952191,0.079136690647482,0.208482443877193,0.370517928286853,0.102841502046482,16,240,30757,55929
0.750563881996998,0.541666666666667,0.0485074626865672,0.089041095890411,0.219611954431964,0.485074626865672,0.13463692209096,11,255,26098,52814
0.761199333657877,0.666666666666667,0.048582995951417,0.0905660377358491,0.220079763968981,0.453441295546559,0.159671097851464,6,235,2759,39260
0.759695833648108,0.65,0.0599078341013825,0.109704641350211,0.24432151088251,0.474654377880184,0.176812453828436,7,204,8995,39783
0.72396694214876,0.580645161290323,0.073469387755102,0.130434782608696,0.270140796482319,0.36734693877551,0.178080458591782,13,227,18950,57218
0.756251241968603,0.545454545454545,0.0483870967741935,0.0888888888888889,0.219405339619588,0.415322580645161,0.137468037474624,10,236,11924,49915
0.741355548319848,0.428571428571429,0.0364372469635627,0.0671641791044776,0.19030522867861,0.449392712550607,0.0986604649846333,12,238,19359,45424
0.744040379339267,0.444444444444444,0.0337552742616034,0.0627450980392157,0.183258468726325,0.40506329113924,0.0986878692852571,10,229,27005,41427
0.734405948799549,0.515151515151515,0.0691056910569106,0.121863799283154,0.261805534740518,0.394308943089431,0.158055454506513,16,229,14894,56600
0.733515450067174,0.611111111111111,0.0474137931034483,0.088,0.217350820818199,0.474137931034483,0.149096679509682,7,221,5418,40992
0.733889280400908,0.545454545454545,0.0444444444444444,0.0821917808219178,0.21026064118801,0.444444444444444,0.128990037994227,10,258,23809,55161
0.734896733299148,0.611111111111111,0.0460251046025105,0.0856031128404669,0.214147625873555,0.414225941422594,0.14646558260139,7,228,6223,47086
0.746237414575617,0.541666666666667,0.0560344827586207,0.1015625,0.236058575429462,0.439655172413793,0.149334778027742,11,219,16663,52153
0.753491313417961,0.571428571428571,0.0491803278688525,0.090566037735849,0.221251642376534,0.352459016393443,0.143798435270715,9,232,17483,55604
0.755984831819202,0.619047619047619,0.0543933054393305,0.1,0.232737587523473,0.401673640167364,0.160583331345322,8,226,20919,59532
0.741124679868937,0.517241379310345,0.0641025641025641,0.114068441064639,0.252278526465317,0.427350427350427,0.153935031313557,14,219,20734,52891
0.745976019560925,0.5625,0.0769230769230769,0.135338345864662,0.276358293819067,0.337606837606838,0.179679478641374,14,216,21255,64822
0.746987753218283,0.6,0.0357142857142857,0.0674157303370786,0.188687642036334,0.503968253968254,0.126083738956771,6,243,7115,33780
0.734215843408327,0.424242424242424,0.0606060606060606,0.106060606060606,0.244992322908935,0.38961038961039,0.128511486507383,19,217,24208,56675
0.739534414588881,0.423076923076923,0.0431372549019608,0.0782918149466192,0.206892256290327,0.188235294117647,0.104921628131231,15,244,41340,75791
0.749019363879848,0.571428571428571,0.0506329113924051,0.0930232558139535,0.224493130884381,0.421940928270042,0.146488075217709,9,225,8305,38357
0.762636063219908,0.6,0.036734693877551,0.0692307692307692,0.191365278971611,0.469387755102041,0.128487571759096,6,236,13455,41742
0.741059247810407,0.565217391304348,0.052,0.0952380952380952,0.227446909975251,0.416,0.146143809211898,10,237,25941,51162
0.76352060070893,0.631578947368421,0.0506329113924051,0.09375,0.224613546753884,0.430379746835443,0.157583149319538,7,225,10373,47427
0.744800108492846,0.564102564102564,0.0928270042194093,0.159420289855072,0.303329743284383,0.0886075949367089,0.19723167586957,17,215,23807,88249
0.755195277755317,0.56,0.0562248995983936,0.102189781021898,0.236443661083458,0.477911646586345,0.1510267983108,11,235,10466,47024
0.746386596649162,0.476190476190476,0.0403225806451613,0.0743494423791822,0.200233255660745,0.44758064516129,0.112610648816822,11,238,27240,43748
0.749220808094367,0.774193548387097,0.0983606557377049,0.174545454545455,0.313062755702169,0.336065573770492,0.252496652416284,7,220,13229,76032
0.749110971369225,0.464285714285714,0.0567685589519651,0.101167315175097,0.237363222406553,0.327510917030568,0.134218276804933,15,216,21420,65784
0.762433940527,0.476190476190476,0.040650406504065,0.0749063670411985,0.201059475205353,0.33739837398374,0.113858937456351,11,236,27702,51236
0.732654853772866,0.5,0.038961038961039,0.072289156626506,0.19692522296021,0.406926406926407,0.116623849181718,9,222,13604,42470
0.738841013795642,0.542857142857143,0.0769230769230769,0.134751773049645,0.276188417203335,0.0769230769230769,0.172821405251943,16,228,29512,81286
0.742786569311365,0.75,0.0364372469635627,0.0694980694980695,0.19073770378698,0.550607287449393,0.149492249085038,3,238,223,27890
