"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.78828644708473,0.537313432835821,0.138996138996139,0.220858895705521,0.370055882030641,0.498069498069498,0.233752494889055,31,223,25911,55402
0.789175687071444,0.633333333333333,0.138686131386861,0.227544910179641,0.370461177702759,0.306569343065693,0.261195109020059,22,236,23253,82952
0.761284355656615,0.511111111111111,0.175572519083969,0.261363636363636,0.414632302869581,0.362595419847328,0.253942114686906,44,216,31499,65938
0.788380607295854,0.527027027027027,0.152941176470588,0.237082066869301,0.387769480657838,0.152941176470588,0.242309708435634,35,216,33400,80349
0.761911660101441,0.582089552238806,0.149425287356322,0.23780487804878,0.383923452699591,0.421455938697318,0.256351194149282,28,222,21861,62530
0.76236641406291,0.454545454545455,0.165289256198347,0.242424242424242,0.401762861333275,0.5,0.226837529163734,48,202,22308,54401
0.791558489923602,0.626666666666667,0.171532846715328,0.269340974212034,0.411338141299721,0.317518248175182,0.288243188605882,28,227,19586,74656
0.79474139543584,0.611111111111111,0.181069958847737,0.279365079365079,0.422693044833827,0.275720164609054,0.296520616630413,28,199,28248,75719
0.810270682204044,0.575757575757576,0.153225806451613,0.24203821656051,0.388809748499005,0.419354838709677,0.259967526215151,28,210,23466,60314
0.800323097157889,0.693333333333333,0.194029850746269,0.303206997084548,0.438055417442246,0.522388059701492,0.330997664194088,23,216,10958,56086
0.787984006734007,0.516666666666667,0.118773946360153,0.193146417445483,0.342261674898404,0.118773946360153,0.209348769843358,29,230,46960,81233
0.780562031377985,0.626666666666667,0.174721189591078,0.273255813953488,0.415153090696994,0.171003717472119,0.291816411258884,28,222,27707,91902
0.785503439649781,0.629032258064516,0.142857142857143,0.232835820895522,0.375838203753553,0.362637362637363,0.263022066129962,23,234,36073,73006
0.82002933680786,0.556818181818182,0.209401709401709,0.304347826086956,0.453306431222183,0.230769230769231,0.300635448393859,39,185,30746,80040
0.778727535202569,0.515789473684211,0.193675889328063,0.281609195402299,0.435115786064593,0.193675889328063,0.269216930333083,46,204,36472,91076
0.803835829275984,0.690140845070423,0.199186991869919,0.309148264984227,0.443975326280866,0.199186991869919,0.337694797911442,22,197,19788,88896
0.773551801151036,0.531645569620253,0.157303370786517,0.242774566473988,0.393038662024059,0.404494382022472,0.245242760008799,37,225,21278,72053
0.789311010688589,0.545454545454545,0.221311475409836,0.314868804664723,0.465235339334125,0.25,0.302380670379119,45,190,28629,77962
0.817770386534265,0.59375,0.155102040816327,0.245954692556634,0.391410952781767,0.457142857142857,0.26830139459923,26,207,15091,54298
0.772227650684176,0.565789473684211,0.169291338582677,0.260606060606061,0.408159030670004,0.291338582677165,0.269035139905281,33,211,30082,79084
0.795850089876002,0.627118644067797,0.146825396825397,0.237942122186495,0.381150123479691,0.452380952380952,0.269425041365331,22,215,8700,60175
0.780884625979432,0.545454545454545,0.140625,0.22360248447205,0.37223515520938,0.17578125,0.237230287339677,30,220,29919,80171
0.767777589963188,0.571428571428571,0.188235294117647,0.283185840707965,0.430104473369169,0.384313725490196,0.286429822748001,36,207,17079,76529
0.811532892950864,0.657142857142857,0.178988326848249,0.281345565749235,0.420603218287419,0.326848249027237,0.307070005929725,24,211,28427,76576
0.775051800446398,0.478260869565217,0.175298804780877,0.256559766763848,0.413855835373054,0.290836653386454,0.242599904171083,48,207,39621,75420
0.785282478464297,0.681159420289855,0.178030303030303,0.282282282282282,0.419697968162484,0.174242424242424,0.313177213567466,22,217,20019,87565
0.80590309646877,0.571428571428571,0.188976377952756,0.284023668639053,0.431005604036095,0.397637795275591,0.28775044540712,36,206,23487,80455
0.776053308632332,0.609756097560976,0.202429149797571,0.303951367781155,0.446418180710925,0.202429149797571,0.312164947918337,32,197,30609,91980
0.798350665851019,0.62962962962963,0.12639405204461,0.210526315789474,0.353784313854737,0.513011152416357,0.247726726098565,20,235,8560,52323
0.816399283501768,0.585714285714286,0.165322580645161,0.257861635220126,0.403729465490619,0.318548387096774,0.273160008760322,29,207,29293,71846
0.780601805188211,0.542168674698795,0.177165354330709,0.267062314540059,0.417043839908358,0.177165354330709,0.267159791902651,38,209,36766,82850
0.776517411855758,0.6375,0.191729323308271,0.294797687861272,0.434804425348925,0.18796992481203,0.310579383753797,29,215,16574,87624
0.787304500996616,0.561224489795918,0.215686274509804,0.311614730878187,0.459675062942728,0.207843137254902,0.30404179266351,43,200,34047,88246
0.780391629699332,0.58974358974359,0.178294573643411,0.273809523809524,0.418982451961422,0.178294573643411,0.284168071746623,32,212,31245,89358
0.803034911255458,0.578947368421053,0.182572614107884,0.277602523659306,0.424018725277117,0.182572614107884,0.286938722979606,32,197,36964,76597
