auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.823035626,0.619047619,0.256578947,0.362790698,0.499316812,0.802631579,0.337319868,24,113,6339,17982
0.819220435,0.5,0.204968944,0.290748899,0.443891105,0.708074534,0.2463522,33,128,16709,27734
0.817649636,0.716981132,0.212290503,0.327586207,0.456746819,0.810055866,0.334837933,15,141,11583,17888
0.829621413,0.660714286,0.23566879,0.34741784,0.480247497,0.821656051,0.340077307,19,120,11063,22029
0.821575028,0.630434783,0.185897436,0.287128713,0.426905351,0.833333333,0.288418659,17,127,3960,13740
0.808721613,0.622641509,0.210191083,0.314285714,0.453122401,0.821656051,0.304076653,20,124,5935,10374
0.843366179,0.554054054,0.278911565,0.371040724,0.51805461,0.870748299,0.32652635,33,106,5988,14574
0.829686823,0.689655172,0.243902439,0.36036036,0.488576385,0.87195122,0.352835666,18,124,3695,9472
0.812408181,0.506849315,0.245033113,0.330357143,0.484549095,0.721854305,0.27987556,36,114,20772,30737
0.824496371,0.644067797,0.263888889,0.374384236,0.507590655,0.833333333,0.358551098,21,106,2927,12215
0.830285502,0.555555556,0.258064516,0.352422907,0.498570444,0.825806452,0.310213465,32,115,11876,21283
0.818484695,0.535714286,0.222222222,0.314136126,0.464356098,0.837037037,0.28631783,26,105,6507,11798
0.838769728,0.764705882,0.245283019,0.371428571,0.491743869,0.86163522,0.384363972,12,120,1415,11090
0.822183552,0.623188406,0.265432099,0.372294372,0.507371684,0.777777778,0.342492355,26,119,16859,28540
0.816427738,0.552238806,0.264285714,0.357487923,0.505009081,0.771428571,0.318157012,30,103,12246,23713
0.81960452,0.744680851,0.21875,0.338164251,0.464525455,0.89375,0.35651274,12,125,5567,11565
0.807270668,0.538461538,0.186666667,0.277227723,0.426137365,0.786666667,0.256988685,24,122,15809,25688
0.826086359,0.606557377,0.221556886,0.324561404,0.464175603,0.820359281,0.303151596,24,130,13359,22169
0.830427923,0.611940299,0.278911565,0.38317757,0.520178668,0.795918367,0.353057544,26,106,17023,27402
0.817812442,0.543859649,0.196202532,0.288372093,0.436436943,0.784810127,0.263540511,26,127,3914,16795
0.825496702,0.625,0.206896552,0.310880829,0.450145136,0.75862069,0.307146939,18,115,17343,26876
0.831776618,0.563636364,0.203947368,0.299516908,0.445347211,0.809210526,0.278224604,24,121,7577,13653
0.847296755,0.759259259,0.234285714,0.358078603,0.480332493,0.84,0.369078088,13,134,4068,18746
0.825735481,0.618181818,0.222222222,0.326923077,0.46570676,0.725490196,0.313457834,21,119,17771,31992
0.810217261,0.629032258,0.240740741,0.348214286,0.48409393,0.845679012,0.327804348,23,123,6309,14701
0.821276826,0.59375,0.219653179,0.320675105,0.461473733,0.815028902,0.292872166,26,135,7848,21298
0.804145362,0.608695652,0.283783784,0.387096774,0.524194685,0.777027027,0.353124097,27,106,18366,31398
0.806186482,0.611111111,0.27672956,0.380952381,0.51773807,0.773584906,0.348076392,28,115,5621,18256
0.81753227,0.590909091,0.26,0.361111111,0.502000554,0.7,0.330171431,27,111,16857,23188
0.826864767,0.632352941,0.281045752,0.389140271,0.522491605,0.764705882,0.361426702,25,110,13435,27734
0.823096103,0.707317073,0.198630137,0.310160428,0.442701564,0.856164384,0.330940955,12,117,2149,4682
0.838573598,0.755102041,0.217647059,0.337899543,0.463229541,0.823529412,0.354803328,12,133,4743,14358
