auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.796598363,0.568965517,0.212903226,0.309859155,0.455328454,0.187096774,0.267658758,25,122,44267,97940
0.785695802,0.647058824,0.118918919,0.200913242,0.342638009,0.108108108,0.158081172,12,163,27557,74595
0.793299514,0.630434783,0.151832461,0.244725738,0.386209389,0.130890052,0.20573841,17,162,30882,101513
0.783984656,0.592592593,0.186046512,0.283185841,0.426411656,0.180232558,0.235830874,22,140,36122,83326
0.785546764,0.574468085,0.167701863,0.259615385,0.405243842,0.149068323,0.194739295,20,134,36531,83618
0.796746447,0.666666667,0.214285714,0.324324324,0.458526794,0.18452381,0.287750555,18,132,29317,90841
0.739347718,0.549295775,0.232142857,0.326359833,0.473713797,0.208333333,0.207362046,32,129,47214,103341
0.804324462,0.568965517,0.2,0.295964126,0.441308747,0.157575758,0.267654828,25,132,23779,88373
0.804526473,0.571428571,0.164383562,0.255319149,0.401666885,0.136986301,0.209351744,18,122,32801,84556
0.813042248,0.717948718,0.159090909,0.260465116,0.396579823,0.142045455,0.194228341,11,148,21437,79247
0.786128228,0.566666667,0.183783784,0.27755102,0.422748831,0.151351351,0.243121481,26,151,42357,107272
0.789982144,0.551020408,0.171974522,0.262135922,0.409898707,0.165605096,0.256011824,22,130,32569,71548
0.757910183,0.571428571,0.209302326,0.306382979,0.450898632,0.168604651,0.28066889,27,136,47513,112622
0.751674752,0.517857143,0.169590643,0.255506608,0.405993624,0.14619883,0.173183865,27,142,40380,86815
0.777306469,0.571428571,0.198757764,0.294930876,0.44011276,0.186335404,0.222034246,24,129,32825,80331
0.775294694,0.644444444,0.153439153,0.247863248,0.388438535,0.137566138,0.203975605,16,160,38093,95881
0.801519746,0.568627451,0.168604651,0.260089686,0.405951146,0.151162791,0.226252351,22,143,39385,99919
0.81409461,0.690909091,0.197916667,0.307692308,0.440909181,0.161458333,0.258324368,17,154,28613,127219
0.752671324,0.571428571,0.189349112,0.284444444,0.429686085,0.153846154,0.197405228,24,137,48309,110854
0.801631483,0.7,0.166666667,0.269230769,0.405761476,0.160714286,0.219591679,12,140,14270,60441
0.773384162,0.645833333,0.186746988,0.289719626,0.428298973,0.168674699,0.257866958,17,135,17222,69577
0.794030209,0.625,0.12195122,0.204081633,0.347034803,0.109756098,0.211388529,12,144,20582,70864
0.78341394,0.571428571,0.194594595,0.290322581,0.434814916,0.156756757,0.224782514,27,149,32383,105462
0.766278411,0.612903226,0.208791209,0.31147541,0.45113416,0.164835165,0.219502443,24,144,38816,118677
0.783794053,0.547169811,0.164772727,0.253275109,0.40079982,0.147727273,0.186539408,24,147,41610,84634
0.777206219,0.5,0.154320988,0.235849057,0.387752275,0.135802469,0.161820125,25,137,48745,94990
0.769147789,0.571428571,0.2,0.296296296,0.440652649,0.166666667,0.22505391,27,144,40231,114556
0.77006574,0.765957447,0.203389831,0.321428571,0.448444216,0.18079096,0.316567044,11,141,15703,79414
0.784682308,0.473684211,0.173076923,0.253521127,0.409588062,0.134615385,0.243637292,30,129,32273,91896
0.786102664,0.653061224,0.182857143,0.285714286,0.423770592,0.165714286,0.303251425,17,143,31787,89933
0.771479669,0.743589744,0.163841808,0.268518519,0.402688372,0.152542373,0.286093982,10,148,7731,65476
0.766558871,0.537037037,0.162921348,0.25,0.398300077,0.146067416,0.205956007,25,149,43819,88184
0.76616567,0.566037736,0.175438596,0.267857143,0.413894331,0.14619883,0.191583942,23,141,27881,90926
0.764289008,0.596491228,0.189944134,0.288135593,0.43055676,0.156424581,0.225585014,23,145,52283,131591
0.750919586,0.557692308,0.180124224,0.272300469,0.419379891,0.155279503,0.195898193,23,132,31009,82584
0.748158371,0.52238806,0.207100592,0.296610169,0.447261501,0.189349112,0.200494604,32,134,58084,115695
0.783862191,0.652173913,0.172413793,0.272727273,0.411678382,0.143678161,0.233918843,16,144,25196,87925
0.743101959,0.575757576,0.217142857,0.315352697,0.459362411,0.188571429,0.23503345,28,137,46984,109743
0.792872488,0.541666667,0.237804878,0.330508475,0.479241787,0.18902439,0.233157652,33,125,52860,129335
0.778063927,0.6,0.132911392,0.21761658,0.361890855,0.120253165,0.17068244,14,137,30248,70635
0.774347945,0.564516129,0.201149425,0.296610169,0.442184618,0.16091954,0.225081965,27,139,41281,108111
0.796452642,0.710526316,0.156069364,0.255924171,0.392795735,0.132947977,0.208036636,11,146,20297,81168
0.78143688,0.476190476,0.118343195,0.18957346,0.339956631,0.094674556,0.117645624,22,149,36196,82157
0.789424334,0.58,0.169590643,0.262443439,0.407227072,0.152046784,0.246330025,21,142,37526,94055
0.780741157,0.609375,0.214285714,0.317073171,0.456836446,0.175824176,0.256066843,25,143,48531,136462
0.781381579,0.681818182,0.170454545,0.272727273,0.409807984,0.147727273,0.229897419,14,146,19790,79739
0.785320677,0.583333333,0.161849711,0.253393665,0.398110328,0.144508671,0.224032867,20,145,28954,83231
0.775334393,0.578947368,0.191860465,0.288209607,0.432497329,0.156976744,0.19441977,24,139,35864,100936
0.80576725,0.553191489,0.144444444,0.22907489,0.375926212,0.122222222,0.192749817,21,154,30927,96105
0.779971214,0.58490566,0.183431953,0.279279279,0.423165744,0.153846154,0.225918757,22,138,33326,93446
0.77564343,0.604166667,0.160220994,0.253275109,0.396344677,0.149171271,0.214135307,19,152,39049,94689
0.773621256,0.616666667,0.209039548,0.312236287,0.451675053,0.175141243,0.250117223,23,140,39300,113163
0.785702851,0.607843137,0.17032967,0.266094421,0.408392982,0.148351648,0.195334185,20,151,29861,94943
0.781757675,0.571428571,0.198757764,0.294930876,0.440318377,0.167701863,0.258669622,24,129,38856,92542
0.781561451,0.553191489,0.158536585,0.246445498,0.393850791,0.140243902,0.217771394,21,138,37920,97101
0.782546839,0.557692308,0.173652695,0.264840183,0.411625015,0.143712575,0.234716703,23,138,36867,93588
0.800919745,0.551020408,0.167701863,0.257142857,0.404809422,0.136645963,0.217823385,22,134,37130,92887
0.796588359,0.637931034,0.220238095,0.327433628,0.464219092,0.18452381,0.271759548,21,131,31841,108136
0.803267936,0.641509434,0.186813187,0.289361702,0.42789775,0.159340659,0.239114352,19,148,28133,111445
0.781027648,0.58,0.174698795,0.268518519,0.413239238,0.156626506,0.164009963,21,137,31758,86865
0.785033484,0.685185185,0.226993865,0.341013825,0.47220585,0.18404908,0.26706489,17,126,35536,131733
0.794732569,0.633333333,0.22754491,0.334801762,0.471425452,0.191616766,0.251651589,22,129,28942,97671
0.769479014,0.476190476,0.172413793,0.253164557,0.40808084,0.149425287,0.193587965,33,144,45098,98419
0.736081976,0.538461538,0.167664671,0.255707763,0.40421895,0.149700599,0.229550682,24,139,39025,86229
0.76988676,0.546875,0.2,0.292887029,0.440574274,0.182857143,0.256686378,29,140,48322,95103
0.756689987,0.644444444,0.168604651,0.267281106,0.4071752,0.156976744,0.193914633,16,143,18856,61779
0.78761393,0.647058824,0.126436782,0.211538462,0.353295241,0.114942529,0.199322093,12,152,24193,74959
0.768568116,0.520833333,0.143678161,0.225225225,0.374317152,0.132183908,0.177510642,23,149,27156,78079
0.771525954,0.660714286,0.225609756,0.336363636,0.470333135,0.182926829,0.288560347,19,127,26817,105843
0.743828154,0.604166667,0.176829268,0.273584906,0.416435287,0.158536585,0.217230401,19,135,29050,84649
0.797703708,0.642857143,0.159763314,0.255924171,0.39663642,0.136094675,0.263869889,15,142,37360,94467
0.79880321,0.680851064,0.172972973,0.275862069,0.412614128,0.156756757,0.236103884,15,153,32189,99152
0.793282305,0.513157895,0.226744186,0.314516129,0.467211937,0.186046512,0.20292251,37,133,64972,141318
0.783403217,0.666666667,0.154761905,0.251207729,0.390755566,0.148809524,0.22894756,13,142,22164,65160
0.796974502,0.615384615,0.195121951,0.296296296,0.437143759,0.158536585,0.2326999,20,132,34132,111337
0.813949742,0.695652174,0.181818182,0.288288288,0.423313125,0.159090909,0.21466132,14,144,36438,97455
0.776096226,0.62962963,0.21656051,0.322274882,0.460528087,0.184713376,0.263891517,20,123,39375,98211
0.766494298,0.551020408,0.150837989,0.236842105,0.383939908,0.139664804,0.121763137,22,152,37231,77976
0.775688741,0.642857143,0.152542373,0.246575342,0.387535121,0.146892655,0.217214883,15,150,34574,78646
0.760834993,0.62745098,0.187134503,0.288288288,0.428167839,0.16374269,0.203369438,19,139,18791,80083
0.774440895,0.582089552,0.222857143,0.32231405,0.46498578,0.182857143,0.231909897,28,136,49745,113103
0.757487336,0.486486486,0.230769231,0.313043478,0.470998153,0.179487179,0.253292143,38,120,58632,122019
0.771564881,0.564516129,0.186170213,0.28,0.425239289,0.14893617,0.24441637,27,153,34455,113104
0.787393574,0.661016949,0.246835443,0.359447005,0.491584444,0.202531646,0.257096371,20,119,31717,105093
0.788248097,0.653061224,0.196319018,0.301886792,0.439154826,0.17791411,0.300541858,17,131,17570,79096
0.778683621,0.522727273,0.137724551,0.218009479,0.367077589,0.119760479,0.140164311,21,144,45893,109363
0.773421393,0.511111111,0.141975309,0.222222222,0.372603003,0.135802469,0.222209402,22,139,36488,67335
0.773194966,0.542168675,0.260115607,0.3515625,0.500050031,0.213872832,0.266313517,38,128,35320,105053
0.739959839,0.5,0.198795181,0.284482759,0.438347503,0.168674699,0.228736499,33,133,37736,94518
0.786515471,0.619047619,0.144444444,0.234234234,0.376837582,0.127777778,0.194064177,16,154,26975,89017
0.797244599,0.7,0.153846154,0.252252252,0.389731295,0.137362637,0.208756957,12,154,23902,88479
0.778879841,0.542372881,0.210526316,0.303317536,0.452492739,0.177631579,0.264493978,27,120,35633,97847
0.811861726,0.705882353,0.202247191,0.31441048,0.446213746,0.168539326,0.300635218,15,142,21143,88032
0.787865056,0.630434783,0.160220994,0.255506608,0.396682363,0.138121547,0.223125097,17,152,24045,79915
0.791346281,0.681818182,0.163934426,0.264317181,0.401903167,0.153005464,0.241437316,14,153,28857,85621
0.787514411,0.634615385,0.192982456,0.295964126,0.435013951,0.175438596,0.219606135,19,138,42780,99521
0.788413938,0.554054054,0.259493671,0.353448276,0.500816923,0.215189873,0.262524874,33,117,51501,119366
0.786310138,0.568181818,0.14619883,0.23255814,0.378524764,0.134502924,0.185587358,19,146,24460,65681
0.795983819,0.647058824,0.175531915,0.276150628,0.414985583,0.14893617,0.265419986,18,155,33582,106440
0.794841694,0.617021277,0.162011173,0.256637168,0.398662468,0.150837989,0.239653981,18,150,28745,77218
0.795401091,0.631578947,0.232258065,0.339622642,0.476750713,0.2,0.2806081,21,119,31506,101731
0.757922986,0.5,0.176829268,0.261261261,0.414056352,0.152439024,0.15491571,29,135,39830,100659
0.779506249,0.739130435,0.193181818,0.306306306,0.436800185,0.176136364,0.240461892,12,142,14582,67767
0.795328488,0.672413793,0.204188482,0.313253012,0.447296767,0.162303665,0.216465051,19,152,40713,133509
0.77120338,0.472727273,0.154761905,0.233183857,0.387288535,0.119047619,0.178402998,29,142,54244,115669
0.781298001,0.6,0.162162162,0.255319149,0.398302077,0.145945946,0.203336912,20,155,29812,87737
0.803478396,0.6875,0.1875,0.294642857,0.429584202,0.153409091,0.260959324,15,143,33139,110638
0.789939674,0.627906977,0.165644172,0.262135922,0.403584634,0.147239264,0.194806767,16,136,31480,87038
0.782906623,0.617021277,0.169590643,0.266055046,0.408029871,0.152046784,0.238460024,18,142,33940,95811
0.771873534,0.571428571,0.16374269,0.254545455,0.4000813,0.134502924,0.243662538,21,143,31567,91722
0.76418206,0.648148148,0.204678363,0.311111111,0.447842758,0.16374269,0.245984581,19,136,28213,96540
0.758230641,0.603174603,0.218390805,0.320675105,0.461086778,0.166666667,0.283755776,25,136,30275,110191
0.767084484,0.55,0.19760479,0.290748899,0.438264705,0.179640719,0.238081758,27,134,33517,90998
0.7804694,0.666666667,0.176470588,0.279069767,0.416889424,0.152941176,0.271571591,15,140,35165,100231
0.796272189,0.611111111,0.211538462,0.314285714,0.454953018,0.166666667,0.257963247,21,123,21706,89672
0.766411859,0.586206897,0.194285714,0.291845494,0.435364465,0.16,0.227048147,24,141,20694,91284
0.769078354,0.517241379,0.182926829,0.27027027,0.421507002,0.164634146,0.249992485,28,134,46537,98198
0.78631835,0.571428571,0.168674699,0.260465116,0.406066904,0.156626506,0.157538789,21,138,43168,88332
0.805710109,0.630434783,0.164772727,0.261261261,0.402326962,0.153409091,0.162250326,17,147,22354,69027
