auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.799815355,0.287804878,0.776315789,0.419928826,0.713442011,0.723684211,0.3153273,292,34,74369,103718
0.795285911,0.301369863,0.819875776,0.440734558,0.725092103,0.757763975,0.340230887,306,29,80884,114834
0.784722893,0.30044843,0.748603352,0.4288,0.69224978,0.715083799,0.296042598,312,45,118530,156096
0.802168468,0.293144208,0.789808917,0.427586207,0.724202056,0.76433121,0.330216208,299,33,99890,131553
0.805712234,0.285714286,0.782051282,0.418524871,0.711770691,0.743589744,0.313453496,305,34,71790,108059
0.789037648,0.280542986,0.789808917,0.414023372,0.706242534,0.751592357,0.30683107,318,33,87263,111550
0.80177151,0.264900662,0.816326531,0.4,0.710844933,0.782312925,0.307609258,333,27,104045,127818
0.799675278,0.308056872,0.792682927,0.443686007,0.720251155,0.774390244,0.334425876,292,34,89893,109006
0.788787103,0.273781903,0.781456954,0.405498282,0.705246977,0.721854305,0.301136169,313,33,100337,130864
0.813188188,0.262806236,0.819444444,0.397976391,0.716936799,0.743055556,0.312207277,331,26,88995,122872
0.826651835,0.306791569,0.84516129,0.450171821,0.746734331,0.825806452,0.366938541,296,24,108080,139383
0.809462202,0.260416667,0.740740741,0.385356455,0.707525205,0.718518519,0.291928226,284,35,83071,99344
0.828512519,0.3625,0.729559748,0.48434238,0.744346996,0.710691824,0.382953818,204,43,61278,89492
0.806264501,0.31127451,0.783950617,0.445614035,0.726906892,0.716049383,0.3413678,281,35,75914,114201
0.799716619,0.266497462,0.75,0.393258427,0.705041025,0.7,0.293334597,289,35,91523,133486
0.802711864,0.300771208,0.73125,0.426229508,0.711691111,0.71875,0.315772148,272,43,81628,101379
0.81190638,0.304109589,0.74,0.431067961,0.726040473,0.706666667,0.333396028,254,39,91165,125868
0.796784871,0.293598234,0.796407186,0.429032258,0.710033568,0.760479042,0.318064876,320,34,102553,144277
0.809840124,0.272727273,0.836734694,0.411371237,0.722245302,0.795918367,0.32560651,328,24,93533,119747
0.800053986,0.290993072,0.797468354,0.426395939,0.722976699,0.727848101,0.329038418,307,32,71818,107225
0.79255441,0.270334928,0.779310345,0.401420959,0.712069307,0.731034483,0.305446792,305,32,85635,109371
0.784697912,0.288416076,0.802631579,0.424347826,0.724966491,0.75,0.33030446,301,30,91379,117700
0.805550351,0.293868922,0.794285714,0.429012346,0.695442315,0.742857143,0.30393756,334,36,90561,129868
0.822759157,0.309045226,0.803921569,0.44646098,0.74227449,0.77124183,0.35759276,275,30,103420,140854
0.803238959,0.284424379,0.777777778,0.416528926,0.702190568,0.728395062,0.302932572,317,36,103024,133148
0.804010327,0.346260388,0.722543353,0.468164794,0.722936282,0.682080925,0.349578007,236,48,67456,107121
0.785351891,0.272727273,0.75,0.4,0.699378606,0.689189189,0.290771259,296,37,95578,130433
0.802157944,0.290249433,0.805031447,0.426666667,0.723093887,0.729559748,0.329947302,313,31,85160,119780
0.797593014,0.264775414,0.746666667,0.390924956,0.694396708,0.713333333,0.281534852,311,38,82217,110398
0.775887369,0.273607748,0.738562092,0.399293286,0.696247575,0.68627451,0.286850843,300,40,96830,133903
0.793676737,0.271689498,0.815068493,0.407534247,0.725598121,0.780821918,0.323750521,319,27,82982,113249
0.833678542,0.316129032,0.864705882,0.462992126,0.736181734,0.811764706,0.367522605,318,23,81139,122488
0.787965487,0.292792793,0.792682927,0.427631579,0.713352443,0.774390244,0.320167258,314,34,111842,138239
0.772408528,0.286532951,0.649350649,0.397614314,0.681744051,0.616883117,0.275069744,249,54,93668,129753
0.806119545,0.288793103,0.788235294,0.422712934,0.698971091,0.729411765,0.303727275,330,36,95291,127109
0.783051006,0.285012285,0.763157895,0.415026834,0.706686759,0.723684211,0.305613373,291,36,97777,135108
0.794312294,0.298795181,0.8,0.435087719,0.726003368,0.767741935,0.336326246,291,31,84637,120161
0.813483832,0.306451613,0.806060606,0.444073456,0.731210528,0.757575758,0.346132705,301,32,84169,117551
0.814856151,0.31443299,0.792207792,0.450184502,0.740479902,0.75974026,0.357337932,266,32,77908,108959
0.80690864,0.26635514,0.820143885,0.402116402,0.722552651,0.776978417,0.319048387,314,25,95947,121907
0.794457581,0.312910284,0.807909605,0.451104101,0.714498387,0.768361582,0.333947395,314,34,86596,120709
0.808988018,0.274944568,0.8,0.409240924,0.707833717,0.761290323,0.307215485,327,31,91079,121987
0.810810396,0.292978208,0.790849673,0.427561837,0.720976627,0.738562092,0.327212905,292,32,70163,100053
0.7765202,0.269320843,0.771812081,0.399305556,0.701520526,0.724832215,0.293927129,312,34,94099,120212
0.774922129,0.286026201,0.798780488,0.421221865,0.707775087,0.762195122,0.31259438,327,33,115958,156406
0.771724888,0.274193548,0.762820513,0.403389831,0.695514081,0.717948718,0.289227097,315,37,83395,112869
0.826976045,0.291284404,0.830065359,0.431239389,0.733440724,0.784313725,0.344061802,309,26,73280,111669
0.799318913,0.289351852,0.806451613,0.425894378,0.720579688,0.767741935,0.327419569,307,30,99163,133984
0.813391678,0.324519231,0.798816568,0.461538462,0.73797462,0.75147929,0.360925138,281,34,91524,134651
0.819893077,0.281481481,0.808510638,0.417582418,0.729854872,0.780141844,0.331857839,291,27,100306,129314
0.802363692,0.278372591,0.833333333,0.417335474,0.718585895,0.762820513,0.324981252,337,26,99660,136292
0.813371668,0.332568807,0.81920904,0.473083197,0.732408068,0.785310734,0.362861832,291,32,107273,149878
0.784900623,0.292682927,0.754716981,0.421792619,0.710138025,0.710691824,0.311935973,290,39,88021,118637
0.834097859,0.306521739,0.854545455,0.4512,0.736159477,0.787878788,0.359826626,319,24,74753,113364
0.783700118,0.279545455,0.754601227,0.407960199,0.69302197,0.736196319,0.288151407,317,40,114273,142251
0.794234155,0.3,0.825,0.44,0.725782725,0.7875,0.341116695,308,28,70526,99942
0.810873881,0.328320802,0.740112994,0.454861111,0.712063151,0.694915254,0.329398825,268,46,59536,93048
0.781070044,0.262773723,0.776978417,0.392727273,0.718314478,0.755395683,0.306913098,303,31,98245,123451
0.808344431,0.322033898,0.786982249,0.457044674,0.728937558,0.75739645,0.349153632,280,36,91326,125939
0.813920455,0.295121951,0.785714286,0.429078014,0.716094893,0.727272727,0.322885321,289,33,87498,126961
0.800348698,0.306818182,0.838509317,0.449251248,0.734433086,0.795031056,0.355067516,305,26,106955,135527
0.820869003,0.3,0.814569536,0.438502674,0.736916792,0.768211921,0.349267493,287,28,70933,105715
