auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.763704605,0.415384615,0.522580645,0.462857143,0.678331705,0.380645161,0.219751949,114,74,64609,141394
0.761825762,0.512,0.345945946,0.412903226,0.568767318,0.275675676,0.29984447,61,121,43952,117535
0.752082033,0.464788732,0.518324607,0.49009901,0.676086147,0.403141361,0.270778201,114,92,53852,169138
0.771973148,0.447916667,0.5,0.472527473,0.667353598,0.418604651,0.336915247,106,86,63611,142814
0.769413159,0.428571429,0.391304348,0.409090909,0.597668209,0.329192547,0.304230097,84,98,51484,122492
0.770019945,0.4625,0.44047619,0.451219512,0.633095784,0.30952381,0.349608129,86,94,42488,126278
0.717460317,0.381188119,0.458333333,0.416216216,0.631390936,0.357142857,0.224681026,125,91,66855,141040
0.779560558,0.47972973,0.43030303,0.453674121,0.628916234,0.309090909,0.285374238,77,94,42898,133118
0.795786719,0.460869565,0.363013699,0.406130268,0.582953392,0.273972603,0.330839208,62,93,55778,128735
0.794322897,0.490797546,0.454545455,0.471976401,0.644522521,0.352272727,0.370718545,83,96,51115,136580
0.756372704,0.449101796,0.405405405,0.426136364,0.604858379,0.308108108,0.364144032,92,110,49907,143735
0.793746502,0.473684211,0.458598726,0.466019417,0.648245527,0.356687898,0.282786275,80,85,49089,114432
0.70329108,0.4,0.38372093,0.391691395,0.586034416,0.313953488,0.343365708,99,106,70227,146384
0.728714545,0.367149758,0.444444444,0.402116402,0.619614706,0.32748538,0.220526345,131,95,61474,140823
0.743227311,0.356,0.552795031,0.433090024,0.677063802,0.428571429,0.246555553,161,72,72789,156357
0.747138398,0.486111111,0.37037037,0.42042042,0.584679994,0.28042328,0.349308987,74,119,56806,148964
0.799758846,0.491935484,0.354651163,0.412162162,0.575944193,0.255813953,0.371907349,63,111,60361,148715
0.800728187,0.534161491,0.447916667,0.487252125,0.642505626,0.307291667,0.389510749,75,106,57455,201123
0.743024449,0.457317073,0.443786982,0.45045045,0.634643523,0.331360947,0.293720086,89,94,57994,142369
0.796281569,0.489208633,0.404761905,0.442996743,0.61292313,0.30952381,0.376701391,71,100,44830,121105
0.778115587,0.471428571,0.397590361,0.431372549,0.605758014,0.295180723,0.38328449,74,100,39062,119053
0.754060824,0.424242424,0.426829268,0.425531915,0.620295267,0.347560976,0.340305732,95,94,47966,128768
0.761780939,0.496969697,0.443243243,0.468571429,0.636017123,0.335135135,0.349664952,83,103,46593,152390
