auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.853509806,0.639534884,0.361842105,0.462184874,0.59043576,0.802631579,0.41654517,31,97,7185,23110
0.838589414,0.6,0.298136646,0.398340249,0.535679151,0.770186335,0.353329649,32,113,14590,26248
0.829786137,0.693181818,0.340782123,0.456928839,0.574603803,0.720670391,0.420116162,27,118,29319,41497
0.856394475,0.697674419,0.382165605,0.49382716,0.609098692,0.777070064,0.458933444,26,97,27634,39989
0.85203855,0.61627907,0.33974359,0.438016529,0.571661824,0.820512821,0.390768203,33,103,12749,25724
0.840004133,0.602564103,0.299363057,0.4,0.537223953,0.802547771,0.357739786,31,110,9242,18364
0.865058609,0.619565217,0.387755102,0.476987448,0.610104214,0.836734694,0.426313381,35,90,15750,28004
0.862754366,0.656565657,0.396341463,0.494296578,0.616760891,0.841463415,0.441661746,34,99,10783,19563
0.840298129,0.604938272,0.324503311,0.422413793,0.558965825,0.741721854,0.377280703,32,102,17952,30223
0.864602884,0.706666667,0.368055556,0.484018265,0.599113564,0.826388889,0.458195287,22,91,5169,21512
0.853429737,0.638297872,0.387096774,0.481927711,0.609892494,0.838709677,0.432002551,34,95,14205,27130
0.848634365,0.586206897,0.377777778,0.459459459,0.601874292,0.82962963,0.40835989,36,84,14024,21555
0.859536312,0.696202532,0.34591195,0.462184874,0.579760286,0.817610063,0.430728103,24,104,11226,28301
0.833759417,0.677777778,0.37654321,0.484126984,0.603220758,0.75308642,0.441961653,29,101,16925,34392
0.855892649,0.619565217,0.407142857,0.49137931,0.624912062,0.757142857,0.439720148,35,83,21785,36611
0.831585452,0.684931507,0.3125,0.429184549,0.551705112,0.8875,0.404742508,23,110,9960,16869
0.836432616,0.515151515,0.34,0.409638554,0.567025179,0.74,0.34186431,48,99,30608,43291
0.864943279,0.742857143,0.311377246,0.438818565,0.55222254,0.796407186,0.42599348,18,115,14408,32783
0.84983247,0.602564103,0.319727891,0.417777778,0.555291246,0.836734694,0.375477331,31,100,17388,28516
0.829774539,0.641304348,0.373417722,0.472,0.599656098,0.727848101,0.425352082,33,99,14586,30812
0.835545286,0.597560976,0.337931034,0.431718062,0.570225402,0.793103448,0.385439468,33,96,13534,24727
0.858816695,0.61,0.401315789,0.484126984,0.619166402,0.782894737,0.427085131,39,91,13898,27189
0.859518234,0.722891566,0.342857143,0.465116279,0.57760132,0.811428571,0.435860407,23,115,6728,24079
0.859929555,0.649484536,0.411764706,0.504,0.629083778,0.614379085,0.453966182,34,90,29328,52049
0.842122145,0.63,0.388888889,0.480916031,0.610142232,0.75308642,0.425621942,37,99,23546,38366
0.837933441,0.688888889,0.358381503,0.47148289,0.588742316,0.803468208,0.430887934,28,111,10122,28059
0.817337314,0.603174603,0.256756757,0.360189573,0.499213342,0.790540541,0.332306509,25,110,17807,30819
0.838590857,0.640449438,0.358490566,0.459677419,0.587915232,0.761006289,0.415294609,32,102,8898,27418
0.840250569,0.612244898,0.4,0.483870968,0.618617755,0.713333333,0.428810699,38,90,18646,31531
0.844020693,0.614583333,0.385620915,0.473895582,0.607681909,0.385620915,0.419828118,37,94,35875,54585
0.861322275,0.627906977,0.369863014,0.465517241,0.597266209,0.787671233,0.42181812,32,92,18148,28810
