auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.793548387,0.651685393,0.374193548,0.475409836,0.601692795,0.316129032,0.396563787,31,97,34389,99709
0.802257044,0.604651163,0.281081081,0.383763838,0.520494302,0.259459459,0.28519782,34,133,27412,76357
0.808130103,0.717647059,0.319371728,0.442028986,0.558058065,0.293193717,0.347653288,24,130,18461,97638
0.799262767,0.564705882,0.279069767,0.373540856,0.518097325,0.255813953,0.350347452,37,124,38863,96459
0.789100152,0.576086957,0.329192547,0.418972332,0.562027215,0.310559006,0.351641713,39,108,35045,84722
0.805790327,0.666666667,0.380952381,0.484848485,0.606784545,0.303571429,0.425805869,32,104,18350,96842
0.775914559,0.593406593,0.321428571,0.416988417,0.555913823,0.279761905,0.28838503,37,114,43446,101054
0.804435753,0.644444444,0.351515152,0.454901961,0.582848106,0.278787879,0.369792202,32,107,25212,101879
0.822718423,0.584269663,0.356164384,0.442553191,0.585314209,0.308219178,0.352290477,37,94,36560,91953
0.820171044,0.67816092,0.335227273,0.448669202,0.570517643,0.289772727,0.355614604,28,117,21978,101625
0.810699034,0.651685393,0.313513514,0.423357664,0.550642471,0.281081081,0.350601397,31,127,25211,97634
0.80215801,0.632653061,0.394904459,0.48627451,0.616468636,0.356687898,0.410006907,36,95,24429,79313
0.796440726,0.638297872,0.348837209,0.45112782,0.579879154,0.302325581,0.391199582,34,112,34517,111108
0.750489356,0.61627907,0.30994152,0.412451362,0.547091794,0.251461988,0.291405706,33,118,38681,108261
0.794309821,0.566666667,0.316770186,0.406374502,0.55106207,0.273291925,0.34740694,39,110,32123,94212
0.806470883,0.715909091,0.333333333,0.454873646,0.569791024,0.296296296,0.402950718,25,126,30772,106121
0.823214627,0.634408602,0.343023256,0.445283019,0.575368697,0.308139535,0.414165097,34,113,34892,97808
0.808399186,0.647727273,0.296875,0.407142857,0.535964886,0.28125,0.376146528,31,135,17719,86598
0.775375276,0.58,0.343195266,0.431226766,0.572911205,0.272189349,0.336212488,42,111,46877,117955
0.813503109,0.706666667,0.31547619,0.436213992,0.555384027,0.297619048,0.400136001,22,115,12558,72642
0.795918047,0.701298701,0.325301205,0.444444444,0.563478065,0.307228916,0.340152343,23,112,14281,58215
0.796914533,0.653846154,0.31097561,0.421487603,0.54978697,0.280487805,0.347824879,27,113,25617,87310
0.800395448,0.626168224,0.362162162,0.45890411,0.588993403,0.291891892,0.347213913,40,118,39197,132074
0.775022822,0.626262626,0.340659341,0.441281139,0.572193592,0.296703297,0.339289631,37,120,23644,99604
0.787213831,0.601941748,0.352272727,0.444444444,0.580672527,0.301136364,0.311372055,41,114,33605,94098
0.79068549,0.568421053,0.333333333,0.420233463,0.565042456,0.277777778,0.381018047,41,108,46195,114528
0.811168045,0.641304348,0.327777778,0.433823529,0.562235994,0.288888889,0.314263676,33,121,34960,108514
0.802904001,0.697368421,0.299435028,0.418972332,0.540733853,0.276836158,0.319814143,23,124,19241,77793
0.8087749,0.504854369,0.333333333,0.401544402,0.56207929,0.288461538,0.282841565,51,104,38219,99143
0.783082944,0.64893617,0.348571429,0.453531599,0.580043446,0.314285714,0.342417512,33,114,28488,96482
0.801563108,0.719101124,0.361581921,0.481203008,0.593541517,0.316384181,0.381173382,25,113,10115,82054
0.788042324,0.623529412,0.297752809,0.403041825,0.536418038,0.264044944,0.368833186,32,125,35659,93732
0.791008996,0.583333333,0.32748538,0.419475655,0.560426254,0.298245614,0.36092344,40,115,30952,90751
0.795429736,0.622222222,0.312849162,0.416356877,0.549303517,0.268156425,0.398882717,34,123,30099,104934
0.774440612,0.583333333,0.304347826,0.4,0.541695222,0.267080745,0.377328955,35,112,27146,76612
0.772951837,0.633333333,0.337278107,0.44015444,0.570460237,0.313609467,0.288798666,33,112,40533,98691
0.826176938,0.626168224,0.385057471,0.476868327,0.607183701,0.310344828,0.357289599,40,107,39723,116186
0.780411866,0.539215686,0.314285714,0.397111913,0.547170139,0.274285714,0.29293833,47,120,35960,95922
0.82633009,0.6875,0.402439024,0.507692308,0.624442124,0.365853659,0.400374684,30,98,28860,105368
0.828127483,0.658536585,0.341772152,0.45,0.575987924,0.310126582,0.421116758,28,104,19667,77083
0.788022655,0.579439252,0.356321839,0.441281139,0.582857612,0.298850575,0.297180484,45,112,32412,102584
0.81781714,0.6375,0.294797688,0.403162055,0.534723567,0.271676301,0.34385822,29,122,21529,77640
0.802326534,0.64516129,0.355029586,0.458015267,0.585279854,0.301775148,0.342680822,33,109,43958,110407
0.803257705,0.707865169,0.368421053,0.484615385,0.598595588,0.339181287,0.350457112,26,108,29781,91645
0.801298285,0.622807018,0.39010989,0.47972973,0.61042444,0.335164835,0.374307143,43,111,26488,119741
0.824401914,0.698924731,0.369318182,0.483271375,0.598692755,0.3125,0.369450036,28,111,26013,96354
0.818185907,0.674157303,0.346820809,0.458015267,0.579989141,0.312138728,0.382722371,29,113,32104,99450
0.802665437,0.552083333,0.308139535,0.395522388,0.5425022,0.25,0.309548924,43,119,39083,114819
0.816869779,0.651685393,0.322222222,0.431226766,0.558511418,0.3,0.367891932,31,122,17282,88022
0.796814329,0.671052632,0.301775148,0.416326531,0.541866278,0.26035503,0.43345243,25,118,26994,84840
0.799087147,0.674418605,0.320441989,0.434456929,0.557863021,0.287292818,0.363534203,28,123,24439,86998
0.800643571,0.649484536,0.355932203,0.459854015,0.585895491,0.293785311,0.358305104,34,114,45280,124827
0.808967307,0.635416667,0.335164835,0.438848921,0.568293937,0.285714286,0.339901253,35,121,28660,106022
0.807929734,0.541176471,0.285714286,0.37398374,0.523756404,0.267080745,0.300126782,39,115,26782,76893
0.768683954,0.540229885,0.286585366,0.374501992,0.524228906,0.256097561,0.277967476,40,117,35864,85908
0.801595331,0.62195122,0.305389222,0.409638554,0.543500064,0.269461078,0.374198277,31,116,25456,84438
0.81956296,0.610526316,0.360248447,0.453125,0.588563612,0.304347826,0.326123527,37,103,29466,99877
0.829314256,0.653846154,0.404761905,0.5,0.624365408,0.339285714,0.410790319,36,100,31721,127499
0.835222369,0.653061224,0.351648352,0.457142857,0.582347777,0.324175824,0.331921798,34,118,23356,95265
0.809730885,0.591836735,0.34939759,0.439393939,0.578288905,0.307228916,0.361067801,40,108,37335,107626
0.812979195,0.603448276,0.429447853,0.501792115,0.639446289,0.36196319,0.418825729,46,93,42825,137956
0.823825865,0.59223301,0.365269461,0.451851852,0.590777509,0.323353293,0.327468242,42,106,36580,99051
0.78499685,0.604166667,0.333333333,0.42962963,0.565892571,0.304597701,0.3728095,38,116,28443,90115
0.761165567,0.540816327,0.317365269,0.4,0.549731305,0.263473054,0.402262951,45,114,39379,101442
0.808757259,0.640776699,0.377142857,0.474820144,0.602463005,0.354285714,0.374720498,37,109,45457,101562
0.78461697,0.580645161,0.313953488,0.40754717,0.548803998,0.26744186,0.340165334,39,118,19129,76470
0.796167151,0.689655172,0.344827586,0.459770115,0.578697894,0.293103448,0.341786292,27,114,21194,98999
0.799712334,0.595505618,0.304597701,0.403041825,0.541081014,0.281609195,0.336495636,36,121,32176,85869
0.797804878,0.670588235,0.347560976,0.457831325,0.581016125,0.304878049,0.35216029,28,107,16787,91060
0.766330321,0.61038961,0.286585366,0.390041494,0.527121312,0.256097561,0.337676542,30,117,21583,77503
0.819638215,0.693181818,0.360946746,0.474708171,0.592463021,0.313609467,0.354220478,27,108,17699,90455
0.809761493,0.716049383,0.313513514,0.436090226,0.553124833,0.291891892,0.353080661,23,127,20072,83540
0.810064821,0.567010309,0.319767442,0.408921933,0.553379527,0.284883721,0.330932671,42,117,48962,118676
0.803372199,0.626373626,0.339285714,0.44015444,0.572193563,0.31547619,0.407288941,34,111,25550,85889
0.822991392,0.603773585,0.390243902,0.474074074,0.611006797,0.329268293,0.351812424,42,100,39554,115389
0.818577202,0.697674419,0.340909091,0.458015267,0.575995939,0.301136364,0.435757353,26,116,17983,90754
0.81250987,0.641304348,0.375796178,0.473895582,0.602482319,0.337579618,0.334874927,33,98,27498,92599
0.770640958,0.552941176,0.262569832,0.356060606,0.502257244,0.240223464,0.295340143,38,132,40198,88069
0.788857825,0.631578947,0.271186441,0.37944664,0.513184546,0.259887006,0.301333615,28,129,28164,78314
0.803395444,0.656565657,0.380116959,0.481481481,0.60521048,0.304093567,0.358303851,34,106,20486,107480
0.790278412,0.6,0.36,0.45,0.58642797,0.297142857,0.368407897,42,112,36896,111233
0.783911693,0.59223301,0.391025641,0.471042471,0.611801872,0.326923077,0.385830974,42,95,34554,101868
0.789085287,0.702380952,0.313829787,0.433823529,0.552713416,0.292553191,0.397739365,25,129,18696,81146
0.807822068,0.611111111,0.348101266,0.443548387,0.579065501,0.278481013,0.371698493,35,103,36222,121429
0.809201818,0.722891566,0.36809816,0.487804878,0.599429508,0.337423313,0.404347611,23,103,14211,79673
0.779731988,0.586206897,0.305389222,0.401574803,0.54227932,0.28742515,0.365324895,36,116,36499,99890
0.782183844,0.554216867,0.283950617,0.375510204,0.522858515,0.25308642,0.276332575,37,116,37925,85039
0.791260021,0.583333333,0.36416185,0.448398577,0.589469413,0.306358382,0.404179894,45,110,28876,99137
0.781255722,0.561797753,0.301204819,0.392156863,0.537869045,0.259036145,0.338614647,39,116,36687,102205
0.802039381,0.642857143,0.3,0.409090909,0.53898639,0.277777778,0.341711688,30,126,25489,88357
0.808737079,0.695652174,0.351648352,0.467153285,0.584138771,0.291208791,0.31152649,28,118,26183,113797
0.785037575,0.585106383,0.361842105,0.447154472,0.589491987,0.322368421,0.401683549,39,97,24727,89803
0.821352967,0.612612613,0.382022472,0.470588235,0.604166642,0.314606742,0.36536093,43,110,34783,113630
0.833144524,0.681818182,0.331491713,0.446096654,0.567213985,0.270718232,0.360786479,28,121,25118,100833
0.826031113,0.688888889,0.338797814,0.454212454,0.573448889,0.289617486,0.452437654,28,121,26742,103660
0.774313209,0.666666667,0.32748538,0.439215686,0.564020476,0.304093567,0.344716885,28,115,32112,90957
0.797881959,0.586956522,0.341772152,0.432,0.57324842,0.310126582,0.295899571,38,104,35832,98353
0.803654356,0.654320988,0.30994152,0.420634921,0.5484757,0.292397661,0.396916999,28,118,17632,67298
0.823319886,0.663265306,0.345744681,0.454545455,0.577719511,0.308510638,0.370312251,33,123,29495,96525
0.834994956,0.617647059,0.351955307,0.448398577,0.580913801,0.324022346,0.401595862,39,116,22704,85803
0.806579725,0.626373626,0.367741935,0.463414634,0.595826759,0.316129032,0.408328384,34,98,29049,103806
0.798473048,0.651685393,0.353658537,0.458498024,0.58492935,0.317073171,0.363672773,31,106,27105,99104
0.807573027,0.671052632,0.289772727,0.404761905,0.531330452,0.255681818,0.398442856,25,125,10146,73936
0.819488321,0.691489362,0.340314136,0.456140351,0.574324372,0.303664921,0.384298184,29,126,40293,122330
0.799804539,0.614457831,0.303571429,0.406374502,0.541523835,0.267857143,0.290261509,32,117,30276,90674
0.796763792,0.648648649,0.389189189,0.486486486,0.610513505,0.318918919,0.382653707,39,113,37792,118960
0.812520911,0.612244898,0.340909091,0.437956204,0.572090086,0.284090909,0.318271511,38,116,25693,109517
0.809099458,0.639175258,0.380368098,0.476923077,0.605380914,0.325153374,0.398127076,35,101,29883,96007
0.786677483,0.628865979,0.356725146,0.455223881,0.586237346,0.32748538,0.391478682,36,110,32752,96922
0.782703193,0.670731707,0.321637427,0.434782609,0.558882368,0.298245614,0.379870134,27,116,14959,72657
