"first_column","X1","X2","X3"
"RF","ActiveMQ","0.63","(L)***"
"","Camel","0.67","(L)***"
"","Hadoop C.","0.50","(L)***"
"","Geronimo","0.02","(N)***"
"","HBase","0.16","(S)***"
"","Pig","0.67","(L)***"
"LR","ActiveMQ","0.63","(L)***"
"","Camel","0.55","(L)***"
"","Hadoop C.","0.94","(L)***"
"","Geronimo","0.01","(N)***"
"","HBase","0.85","(L)***"
"","Pig","0.92","(L)***"
"NB","ActiveMQ","0.65","(L)***"
"","Camel","0.88","(L)***"
"","Hadoop C.","1.00","(L)***"
"","Geronimo","0.72","(L)***"
"","HBase","0.16","(S)***"
"","Pig","-0.02","(N)***"
