"first_column","X1","X2","X3"
"RF","ActiveMQ","0.70","(L)***"
"","Camel","0.96","(L)***"
"","Hadoop C.","0.16","(S)***"
"","Geronimo","0.05","(N)***"
"","HBase","1.00","(L)***"
"","Pig","0.96","(L)***"
"LR","ActiveMQ","0.72","(L)***"
"","Camel","0.97","(L)***"
"","Hadoop C.","0.85","(L)***"
"","Geronimo","0.20","(S)***"
"","HBase","1.00","(L)***"
"","Pig","0.95","(L)***"
"NB","ActiveMQ","0.56","(L)***"
"","Camel","0.96","(L)***"
"","Hadoop C.","0.86","(L)***"
"","Geronimo","0.25","(S)***"
"","HBase","1.00","(L)***"
"","Pig","0.86","(L)***"
