"Classifier" "Project" "Old" "Old" "Old" "Old" "Old" "Old" "Old" "Old"
"RF" "ActiveMQ" "466" "466" "314" "314" "178526" "178526" "451261" "451261"
"" "Camel" "1923" "1923" "495" "495" "481802" "481802" "1169758" "1169758"
"" "Geronimo" "718" "718" "65" "65" "139546" "139546" "213387" "213387"
"" "Hadoop C." "1698" "1542" "154" "140" "582732" "710475" "809611" "957319"
"" "HBase" "872" "835" "315" "260" "293753" "308686" "694040" "746587"
"" "Pig" "214" "202" "60" "58" "82698" "88570" "182021" "191167"
"LR" "ActiveMQ" "502" "502" "295" "295" "192503" "192503" "480158" "480158"
"" "Camel" "2240" "2240" "452" "452" "672495" "672495" "1384923" "1384923"
"" "Geronimo" "1037" "1037" "50" "50" "206637" "206637" "285381" "285381"
"" "Hadoop C." "2637" "2516" "202" "181" "1039008" "1063571" "1287222" "1319678"
"" "HBase" "1061" "1027" "331" "331" "392712" "393962" "835959" "837431"
"" "Pig" "287" "278" "54" "52" "96053" "103229" "200675" "209897"
"NB" "ActiveMQ" "449" "449" "382" "382" "200869" "200869" "478497" "478497"
"" "Camel" "1885" "1885" "646" "646" "702868" "702868" "1396334" "1396334"
"" "Geronimo" "959" "959" "75" "75" "182632" "182632" "256046" "256046"
"" "Hadoop C." "5481" "4745" "90" "108" "1300210" "1242641" "1558051" "1495954"
"" "HBase" "1718" "1695" "238" "226" "331306" "332303" "749170" "750033"
"" "Pig" "552" "393" "26" "40" "107745" "106463" "208372" "208760"
