"first_column","X1","X2","X3"
"RF","ActiveMQ","0.70","(L)***"
"","Camel","0.97","(L)***"
"","Derby","0.01","(N)***"
"","Geronimo","0.61","(L)***"
"","HBase","0.50","(L)***"
"","Hadoop C.","-0.32","(S)***"
"","Openjpa","0.20","(S)***"
"","Pig","0.99","(L)***"
"LR","ActiveMQ","0.71","(L)***"
"","Camel","0.97","(L)***"
"","Derby","0.12","(N)***"
"","Geronimo","0.15","(N)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","0.99","(L)***"
"","Openjpa","0.46","(M)***"
"","Pig","0.98","(L)***"
"NB","ActiveMQ","0.55","(L)***"
"","Camel","0.96","(L)***"
"","Derby","0.21","(S)***"
"","Geronimo","0.23","(S)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","0.86","(L)***"
"","Openjpa","0.29","(S)***"
"","Pig","0.96","(L)***"
