"first_column","X1","X2","X3"
"RF","ActiveMQ","0.70","(L)***"
"","Camel","0.32","(S)***"
"","Derby","0.35","(M)***"
"","Geronimo","0.42","(M)***"
"","HBase","-0.64","(L)***"
"","Hadoop C.","-0.26","(S)***"
"","Openjpa","0.33","(S)***"
"","Pig","0.72","(L)***"
"LR","ActiveMQ","0.70","(L)***"
"","Camel","0.20","(S)***"
"","Derby","0.66","(L)***"
"","Geronimo","0.89","(L)***"
"","HBase","-0.54","(L)***"
"","Hadoop C.","0.88","(L)***"
"","Openjpa","0.41","(M)***"
"","Pig","0.80","(L)***"
"NB","ActiveMQ","0.64","(L)***"
"","Camel","0.43","(M)***"
"","Derby","0.63","(L)***"
"","Geronimo","1.00","(L)***"
"","HBase","-0.88","(L)***"
"","Hadoop C.","0.94","(L)***"
"","Openjpa","0.32","(S)***"
"","Pig","0.92","(L)***"
