"first_column","X1","X2","X3"
"RF","ActiveMQ","-0.97","(L)***"
"","Camel","-1.00","(L)***"
"","Derby","-0.30","(S)***"
"","Geronimo","-0.08","(N)***"
"","HBase","0.58","(L)***"
"","Hadoop C.","0.15","(S)***"
"","Openjpa","-0.16","(S)***"
"","Pig","-0.04","(N)***"
"LR","ActiveMQ","-0.97","(L)***"
"","Camel","-1.00","(L)***"
"","Derby","-0.30","(S)***"
"","Geronimo","-0.08","(N)***"
"","HBase","0.58","(L)***"
"","Hadoop C.","0.15","(S)***"
"","Openjpa","-0.16","(S)***"
"","Pig","-0.04","(N)***"
"NB","ActiveMQ","-0.97","(L)***"
"","Camel","-1.00","(L)***"
"","Derby","-0.30","(S)***"
"","Geronimo","-0.08","(N)***"
"","HBase","0.58","(L)***"
"","Hadoop C.","0.15","(S)***"
"","Openjpa","-0.16","(S)***"
"","Pig","-0.04","(N)***"
