"first_column","X1","X2","X3"
"RF","ActiveMQ","0.63","(L)***"
"","Camel","0.67","(L)***"
"","Derby","0.01","(N)***"
"","Geronimo","0.01","(N)***"
"","HBase","0.16","(S)***"
"","Hadoop C.","0.50","(L)***"
"","Openjpa","0.10","(N)***"
"","Pig","0.67","(L)***"
"LR","ActiveMQ","0.63","(L)***"
"","Camel","0.55","(L)***"
"","Derby","0.54","(L)***"
"","Geronimo","0.15","(N)***"
"","HBase","0.85","(L)***"
"","Hadoop C.","0.94","(L)***"
"","Openjpa","0.22","(S)***"
"","Pig","0.92","(L)***"
"NB","ActiveMQ","0.65","(L)***"
"","Camel","0.88","(L)***"
"","Derby","0.29","(S)***"
"","Geronimo","0.19","(S)***"
"","HBase","0.16","(S)***"
"","Hadoop C.","1.00","(L)***"
"","Openjpa","0.16","(S)***"
"","Pig","0.12","(N)***"
