"first_column","X1","X2","X3"
"RF","ActiveMQ","0.70","(L)***"
"","Camel","0.96","(L)***"
"","Derby","0.08","(N)***"
"","Geronimo","0.38","(M)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","0.16","(S)***"
"","Openjpa","0.13","(N)***"
"","Pig","0.96","(L)***"
"LR","ActiveMQ","0.72","(L)***"
"","Camel","0.97","(L)***"
"","Derby","0.11","(N)***"
"","Geronimo","0.11","(N)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","0.85","(L)***"
"","Openjpa","0.49","(L)***"
"","Pig","0.95","(L)***"
"NB","ActiveMQ","0.56","(L)***"
"","Camel","0.96","(L)***"
"","Derby","0.22","(S)***"
"","Geronimo","0.06","(N)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","0.86","(L)***"
"","Openjpa","0.31","(S)***"
"","Pig","0.86","(L)***"
