"first_column","X1","X2","X3"
"RF","ActiveMQ","1.00","(L)***"
"","Camel","1.00","(L)***"
"","Derby","-0.10","(N)***"
"","Geronimo","0.83","(L)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","0.89","(L)***"
"","Openjpa","0.17","(S)***"
"","Pig","1.00","(L)***"
"LR","ActiveMQ","1.00","(L)***"
"","Camel","1.00","(L)***"
"","Derby","-0.07","(N)***"
"","Geronimo","1.00","(L)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","1.00","(L)***"
"","Openjpa","0.37","(M)***"
"","Pig","1.00","(L)***"
"NB","ActiveMQ","1.00","(L)***"
"","Camel","1.00","(L)***"
"","Derby","-0.05","(N)***"
"","Geronimo","1.00","(L)***"
"","HBase","1.00","(L)***"
"","Hadoop C.","1.00","(L)***"
"","Openjpa","0.07","(N)***"
"","Pig","1.00","(L)***"
