"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.45","0.46","  2%"
"","Camel","0.42","0.43","  2%"
"","Derby","0.34","0.34","  0%"
"","Geronimo","0.41","0.42","  2%"
"","HBase","0.47","0.38","-19%"
"","Hadoop C.","0.26","0.31"," 19%"
"","Openjpa","0.31","0.32","  3%"
"","Pig","0.37","0.39","  5%"
"LR","ActiveMQ","0.44","0.47","  7%"
"","Camel","0.41","0.41","  0%"
"","Derby","0.27","0.29","  7%"
"","Geronimo","0.34","0.37","  9%"
"","HBase","0.35","0.35","  0%"
"","Hadoop C.","0.21","0.23"," 10%"
"","Openjpa","0.22","0.24","  9%"
"","Pig","0.33","0.29","-12%"
"NB","ActiveMQ","0.40","0.41","  2%"
"","Camel","0.38","0.38","  0%"
"","Derby","0.26","0.28","  8%"
"","Geronimo","0.32","0.35","  9%"
"","HBase","0.28","0.33"," 18%"
"","Hadoop C.","0.12","0.19"," 58%"
"","Openjpa","0.22","0.24","  9%"
"","Pig","0.24","0.28"," 17%"
