Classifier,Project,In-dup,Un-dup,ratio
RF,ActiveMQ,0.45,0.47,4%
,Camel,0.39,0.4,3%
,Derby,0.3,0.3,0%
,Geronimo,0.36,0.36,0%
,HBase,0.36,0.36,0%
,Hadoop C.,0.23,0.25,9%
,Openjpa,0.28,0.29,4%
,Pig,0.36,0.41,14%
,AVG,0.34,0.36,6%
LR,ActiveMQ,0.45,0.46,2%
,Camel,0.33,0.34,3%
,Derby,0.18,0.21,17%
,Geronimo,0.28,0.28,0%
,HBase,0.23,0.27,17%
,Hadoop C.,0.04,0.09,125%
,Openjpa,0.13,0.15,15%
,Pig,0.23,0.32,39%
,AVG,0.23,0.27,17%
NB,ActiveMQ,0.4,0.42,5%
,Camel,0.35,0.37,6%
,Derby,0.26,0.27,4%
,Geronimo,0.32,0.32,0%
,HBase,0.33,0.34,3%
,Hadoop C.,0.09,0.18,100%
,Openjpa,0.22,0.23,5%
,Pig,0.32,0.33,3%
,AVG,0.29,0.31,6.90%
