"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ",0.453893707356,0.471262724398,"  4%"
"","Camel",0.38594002196,0.399602448016,"  4%"
"","Derby",0.299459482584,0.300054681331,"  0%"
"","Geronimo",0.362635447900078,0.363031201244858,"  0%"
"","Hadoop C.",0.226387817699,0.249729501925," 10%"
"","HBase",0.355655676105,0.362085926516,"  2%"
"","OpenJPA",0.280897479880663,0.285818697296797,"  2%"
"","Pig",0.357038714715,0.406237664122," 14%"
"LR","ActiveMQ",0.446845053845,0.464562990834,"  4%"
"","Camel",0.332282202354,0.342666302701,"  3%"
"","Derby",0.18249808467042,0.205185252506194," 12%"
"","Geronimo",0.275018740571564,0.279005927267807,"  1%"
"","Hadoop C.",0.0425990711639071,0.092396322884,"117%"
"","HBase",0.233219405989507,0.271785559684," 17%"
"","OpenJPA",0.133852428731084,0.146211595764138,"  9%"
"","Pig",0.229723179735,0.320073248184," 39%"
"NB","ActiveMQ",0.403803563811,0.424304187653,"  5%"
"","Camel",0.346636039132,0.367856473924,"  6%"
"","Derby",0.260323309578903,0.270723157873063,"  4%"
"","Geronimo",0.316763978531123,0.322614358703853,"  2%"
"","Hadoop C.",0.0936227351625753,0.180004548573," 92%"
"","HBase",0.33404731445022,0.338495019037,"  1%"
"","OpenJPA",0.217216631078637,0.225606138258495,"  4%"
"","Pig",0.322375473931,0.323774830911,"  0%"
