"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ",0.813918497297,0.822897304205," 1%"
"","Camel",0.837981922868,0.848840294348," 1%"
"","Derby",0.796675654326,0.795919910989,"-0%"
"","Geronimo",0.771711228228738,0.763282341790297,"-1%"
"","Hadoop C.",0.858945860346,0.863389452263," 1%"
"","HBase",0.824177622833,0.86151630617," 5%"
"","OpenJPA",0.790816052314174,0.793916025124111," 0%"
"","Pig",0.803618609812,0.84631276951," 5%"
"LR","ActiveMQ",0.814762437748,0.82431664596," 1%"
"","Camel",0.829168303866,0.840108863442," 1%"
"","Derby",0.76112461579862,0.763106346685976," 0%"
"","Geronimo",0.73077628874388,0.732321871786039," 0%"
"","Hadoop C.",0.786281796581021,0.801568166327," 2%"
"","HBase",0.774743983160886,0.845421622619," 9%"
"","OpenJPA",0.734214138015567,0.746508548824269," 2%"
"","Pig",0.782619919095,0.825043225935," 5%"
"NB","ActiveMQ",0.77403447706,0.783241867731," 1%"
"","Camel",0.801547958167,0.814337350185," 2%"
"","Derby",0.749385555809156,0.75400745880366," 1%"
"","Geronimo",0.725859792496327,0.726694663703708," 0%"
"","Hadoop C.",0.739453282554671,0.758540092643," 3%"
"","HBase",0.749820217631109,0.825651282253,"10%"
"","OpenJPA",0.729816126901524,0.73896920235075," 1%"
"","Pig",0.76191913411,0.801389447786," 5%"
