"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.73","0.74"," 1%"
"","Camel","0.75","0.77"," 3%"
"","Hadoop C.","0.77","0.77"," 0%"
"","Geronimo","0.80","0.81"," 1%"
"","HBase","0.77","0.77"," 0%"
"","Pig","0.71","0.75"," 6%"
"LR","ActiveMQ","0.73","0.74"," 1%"
"","Camel","0.75","0.76"," 1%"
"","Hadoop C.","0.70","0.72"," 3%"
"","Geronimo","0.78","0.78"," 0%"
"","HBase","0.71","0.76"," 7%"
"","Pig","0.69","0.73"," 6%"
"NB","ActiveMQ","0.70","0.71"," 1%"
"","Camel","0.72","0.73"," 1%"
"","Hadoop C.","0.58","0.68","17%"
"","Geronimo","0.76","0.76"," 0%"
"","HBase","0.68","0.75","10%"
"","Pig","0.59","0.70","19%"
