"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.81","0.82"," 1%"
"","Camel","0.84","0.85"," 1%"
"","Derby","0.80","0.80"," 0%"
"","Geronimo","0.89","0.90"," 1%"
"","Openjpa","0.80","0.80"," 0%"
"","Pig","0.79","0.84"," 6%"
"","HBase","0.85","0.86"," 1%"
"","Hadoop C.","0.73","0.86","18%"
"LR","ActiveMQ","0.81","0.82"," 1%"
"","Camel","0.83","0.84"," 1%"
"","Derby","0.76","0.76"," 0%"
"","Geronimo","0.86","0.86"," 0%"
"","Openjpa","0.73","0.74"," 1%"
"","Pig","0.77","0.82"," 6%"
"","HBase","0.78","0.84"," 8%"
"","Hadoop C.","0.76","0.80"," 5%"
"NB","ActiveMQ","0.77","0.78"," 1%"
"","Camel","0.80","0.81"," 1%"
"","Derby","0.75","0.75"," 0%"
"","Geronimo","0.84","0.84"," 0%"
"","Openjpa","0.73","0.74"," 1%"
"","Pig","0.75","0.80"," 7%"
"","HBase","0.75","0.82"," 9%"
"","Hadoop C.","0.74","0.76"," 3%"
