"Classifier","Project","Old","New","ratio"
"RF","Camel","0.75","0.73","-3%"
"","Derby","0.73","0.72","-1%"
"","Geronimo","0.70","0.69","-1%"
"","Openjpa","0.68","0.68"," 0%"
"","Pig","0.71","0.70","-1%"
"","HBase","0.75","0.70","-7%"
"LR","Camel","0.70","0.69","-1%"
"","Derby","0.71","0.70","-1%"
"","Geronimo","0.67","0.67"," 0%"
"","Openjpa","0.66","0.65","-2%"
"","Pig","0.67","0.68"," 1%"
"","HBase","0.69","0.69"," 0%"
"NB","Camel","0.69","0.69"," 0%"
"","Derby","0.67","0.67"," 0%"
"","Geronimo","0.67","0.67"," 0%"
"","Openjpa","0.65","0.65"," 0%"
"","Pig","0.66","0.66"," 0%"
"","HBase","0.67","0.67"," 0%"
