"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.23","0.25","  9%"
"","Camel","0.22","0.22","  0%"
"","Hadoop C.","0.22","0.21"," -5%"
"","Geronimo","0.20","0.21","  5%"
"","HBase","0.27","0.23","-15%"
"","Pig","0.25","0.25","  0%"
"LR","ActiveMQ","0.18","0.22"," 22%"
"","Camel","0.19","0.20","  5%"
"","Hadoop C.","0.20","0.19"," -5%"
"","Geronimo","0.20","0.20","  0%"
"","HBase","0.22","0.20"," -9%"
"","Pig","0.21","0.22","  5%"
"NB","ActiveMQ","0.22","0.23","  5%"
"","Camel","0.18","0.17"," -6%"
"","Hadoop C.","0.20","0.20","  0%"
"","Geronimo","0.20","0.19"," -5%"
"","HBase","0.22","0.21"," -5%"
"","Pig","0.21","0.22","  5%"
