"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.73","0.75","3%"
"","Camel","0.78","0.80","3%"
"","Hadoop C.","0.74","0.75","1%"
"","Geronimo","0.81","0.82","1%"
"","HBase","0.77","0.78","1%"
"","Pig","0.74","0.74","0%"
"LR","ActiveMQ","0.73","0.75","3%"
"","Camel","0.80","0.81","1%"
"","Hadoop C.","0.70","0.72","3%"
"","Geronimo","0.77","0.77","0%"
"","HBase","0.76","0.77","1%"
"","Pig","0.74","0.74","0%"
"NB","ActiveMQ","0.71","0.72","1%"
"","Camel","0.79","0.81","3%"
"","Hadoop C.","0.69","0.72","4%"
"","Geronimo","0.75","0.77","3%"
"","HBase","0.73","0.73","0%"
"","Pig","0.68","0.69","1%"
