"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.69","0.70","1%"
"","Camel","0.73","0.75","3%"
"","Hadoop C.","0.76","0.77","1%"
"","Geronimo","0.77","0.78","1%"
"","HBase","0.72","0.77","7%"
"","Pig","0.70","0.71","1%"
"LR","ActiveMQ","0.67","0.67","0%"
"","Camel","0.74","0.75","1%"
"","Hadoop C.","0.70","0.71","1%"
"","Geronimo","0.72","0.73","1%"
"","HBase","0.69","0.71","3%"
"","Pig","0.67","0.67","0%"
"NB","ActiveMQ","0.66","0.67","2%"
"","Camel","0.76","0.77","1%"
"","Hadoop C.","0.72","0.74","3%"
"","Geronimo","0.75","0.76","1%"
"","HBase","0.69","0.73","6%"
"","Pig","0.66","0.69","5%"
