,time_auc,time_f1measure
0,0.833333333,0.81958042
1,0.494047619,0.583074534
2,0.557692308,0.663636364
3,0.652173913,0.489985061
4,0.761363636,0.845380117
5,0.625,0.766425909
6,0.653225806,0.694266278
7,0.863636364,0.773546274
8,0.3,0.793650794
9,0.5,0.500891266
10,0.673913043,0.525165988
11,0.658333333,0.43969418
12,0.484848485,0.520204604
13,0.43902439,0.47124183
14,0.59375,0.710195021
15,0.725490196,0.74
16,0.651785714,0.122077922
17,0.418650794,0.432829535
18,0.760869565,0.667768595
19,0.432692308,0.469375035
20,0.704761905,0.608011301
21,0.772808587,0.537229646
22,0.614361702,0.563527164
23,0.548941799,0.680427807
24,0.719684385,0.640100251
25,0.664930556,0.62987013
26,0.770673487,0.676030152
27,0.583964646,0.395850823
28,0.612740142,0.638666796
29,0.697,0.755591926
30,0.731858407,0.708624215
31,0.760190217,0.745736133
32,0.699107143,0.680999747
33,0.715238095,0.636565385
34,0.770833333,0.717005348
35,0.750276855,0.697914706
36,0.752439024,0.700474086
37,0.771221532,0.665446078
38,0.80556962,0.642427885
39,0.787775891,0.667565139
40,0.752094136,0.710639566
41,0.789482227,0.744431697
42,0.838672769,0.754709392
43,0.669783645,0.595976413
44,0.64475052,0.645311422
45,0.677803738,0.71068994
46,0.682977737,0.641502487
47,0.688,0.6745897
48,0.719298246,0.590158316
49,0.751065644,0.601722602
50,0.758,0.623475197
51,0.588068182,0.592194591
52,0.687095546,0.655763989
53,0.787176724,0.698469109
54,0.75,0.769202192
55,0.763403263,0.704492954
56,0.781865042,0.698481199
57,0.700798838,0.653597092
58,0.717668488,0.631471814
59,0.825819672,0.67594061
60,0.768588957,0.682927878
61,0.80300807,0.707874228
62,0.734693878,0.659156461
63,0.717391304,0.694997862
64,0.675189394,0.654977376
65,0.726454034,0.63183574
66,0.721936345,0.640178696
67,0.814253648,0.763172481
68,0.7624699,0.707239482
69,0.740814002,0.692843901
70,0.717457999,0.701342606
71,0.777810651,0.723201823
72,0.813919414,0.739639319
73,0.848721591,0.630780524
74,0.765141066,0.654519595
75,0.747164461,0.675867105
76,0.80102916,0.755909225
77,0.825231481,0.748165375
78,0.829279279,0.744821247
79,0.837274345,0.770001965
80,0.811814556,0.764072896
81,0.700784314,0.623319396
82,0.690909091,0.666099452
83,0.74702381,0.67716308
84,0.828469327,0.672268908
85,0.785555556,0.711111111
86,0.754025974,0.696511387
87,0.661515454,0.582884983
88,0.719812925,0.658269366
89,0.839341693,0.728846475
90,0.768695652,0.683200695
91,0.717011494,0.662811203
92,0.776160776,0.696948099
93,0.808805031,0.705673636
94,0.824900794,0.711396574
95,0.819327731,0.709925977
96,0.803623612,0.709359249
97,0.703306797,0.661928485
98,0.747165533,0.717433072
99,0.825892857,0.752831933
100,0.811029153,0.741653782
101,0.732717803,0.700017753
102,0.677511962,0.575526673
103,0.745461147,0.704278304
104,0.827027027,0.784535845
105,0.813655337,0.755334798
106,0.711507937,0.664358771
107,0.822259136,0.763328743
108,0.829861111,0.75579746
109,0.737647218,0.667080813
110,0.751408825,0.669575764
111,0.830205811,0.719452751
112,0.835866261,0.760442666
113,0.833905285,0.758953115
114,0.845786963,0.744457174
115,0.866471735,0.785550936
116,0.826102293,0.787355311
117,0.803926568,0.70006116
118,0.834697218,0.70504584
119,0.735294118,0.690470809
120,0.76122449,0.688311688
121,0.739567469,0.678196931
122,0.59959893,0.605964069
123,0.66571835,0.614213099
124,0.791860465,0.698357701
125,0.820572917,0.758064516
126,0.716007244,0.672677209
127,0.626947441,0.560451415
128,0.775095751,0.716728685
129,0.831416465,0.737378563
130,0.784640738,0.707534238
132,0.790660225,0.71043609
133,0.760493827,0.710637901
134,0.806698002,0.735247611
135,0.770923521,0.671696819
136,0.759912854,0.680109871
137,0.767521368,0.675981563
