,time_auc,time_f1measure
0,0.806277338,0.791483003
1,0.746019321,0.757514265
2,0.832225731,0.81055023
3,0.833032741,0.768341294
4,0.84584662,0.79533993
5,0.87798072,0.822543097
6,0.876024066,0.818064505
7,0.83938989,0.759560445
8,0.818913241,0.761778869
9,0.861139283,0.805161785
10,0.853735091,0.809678937
11,0.889079148,0.812671068
12,0.879980843,0.785799244
13,0.853823192,0.794944926
14,0.850540032,0.827616517
15,0.880767786,0.828886152
16,0.861218527,0.807121088
17,0.830908657,0.804202037
18,0.833153542,0.752524717
19,0.789353384,0.719290068
20,0.838257512,0.738146742
21,0.828292763,0.762467461
22,0.795396419,0.769512217
23,0.768269732,0.727655142
24,0.802061515,0.701218778
25,0.816791176,0.723677416
26,0.806734736,0.738547068
27,0.84431971,0.775789848
28,0.855148257,0.770552013
29,0.816839523,0.76509445
30,0.796448864,0.766174752
31,0.800027871,0.754278082
32,0.776220993,0.739744488
33,0.725128394,0.667881667
34,0.786023295,0.637251779
35,0.780111395,0.656481867
36,0.791402009,0.691225189
37,0.818960496,0.710829263
38,0.799979175,0.744271726
39,0.742256879,0.722051378
40,0.796301511,0.745715603
41,0.7941332,0.780050986
42,0.782971423,0.730452029
43,0.857648725,0.771189158
44,0.829464216,0.712171124
45,0.81512132,0.651756466
46,0.82125259,0.724116185
47,0.783473796,0.716984255
48,0.810817327,0.781166391
49,0.805257143,0.744866419
50,0.765453263,0.676242164
51,0.774833629,0.644948406
52,0.780243832,0.69692192
53,0.775579935,0.688425061
54,0.812607265,0.761918802
55,0.820461724,0.753482688
56,0.796619738,0.715072732
57,0.818916275,0.719163003
58,0.854115047,0.774719068
59,0.838205705,0.756770461
60,0.831699752,0.780345527
61,0.810472242,0.774710139
62,0.815740525,0.784220392
63,0.794971955,0.746313364
64,0.731536531,0.725011956
65,0.733449654,0.688758782
66,0.749637439,0.713430882
67,0.825047438,0.701691505
68,0.812237904,0.691875665
69,0.772510292,0.698058413
70,0.780680587,0.694962655
71,0.75978836,0.734560525
72,0.698532137,0.689006138
73,0.721131433,0.700501709
74,0.74146971,0.73671604
75,0.752520161,0.709767102
76,0.695918367,0.651219966
77,0.746656805,0.668003201
78,0.787647538,0.706250265
79,0.778872623,0.710329914
80,0.79474873,0.71341525
81,0.792343074,0.695671636
82,0.812397709,0.728318019
83,0.828923876,0.717538944
84,0.795784103,0.703857958
85,0.790371523,0.703007751
86,0.814347855,0.732046951
87,0.830729167,0.707313609
