,time_auc,time_f1measure
0,0.739935588,0.745561923
1,0.692073171,0.647580286
2,0.786046512,0.779531102
3,0.801337793,0.765296892
4,0.790935673,0.745852187
5,0.822809278,0.737414728
6,0.842964554,0.761740528
7,0.908221408,0.84900651
8,0.885856079,0.789490716
9,0.796598639,0.683873419
10,0.805980292,0.731992733
11,0.788826007,0.742227605
12,0.750442478,0.629318394
13,0.767763845,0.678915791
14,0.7403946,0.618326536
15,0.730536131,0.6433068
16,0.769747147,0.665482458
17,0.800766284,0.690629371
18,0.748146432,0.642956726
19,0.69984127,0.604222222
20,0.724137931,0.650340077
21,0.769704125,0.602966102
22,0.737359684,0.708189472
23,0.750692947,0.658309085
24,0.74933687,0.683186877
25,0.768361582,0.698879711
26,0.823743842,0.775176433
27,0.844523471,0.818546689
28,0.83804843,0.781700156
29,0.840603762,0.796923196
30,0.815054087,0.723517019
31,0.764484127,0.578529303
32,0.814788459,0.557276581
33,0.833923399,0.744992779
34,0.782638684,0.613426948
35,0.680851064,0.499914456
36,0.67581187,0.60330192
37,0.767387218,0.699843845
38,0.752083333,0.682476943
39,0.666666667,0.8
40,0.818181818,0.9
41,0.142857143,0.25
42,0.823218391,0.814067783
43,0.826008476,0.801461034
44,0.850098619,0.765311678
45,0.845323741,0.803829561
46,0.808694825,0.58844756
47,0.735657546,0.730883681
48,0.765862326,0.691695422
49,0.824454078,0.729400522
50,0.810096928,0.566149533
51,0.833104396,0.588912512
52,0.827845628,0.684633572
53,0.783060748,0.655213461
54,0.770534979,0.767577568
55,0.829564094,0.755297876
56,0.808175638,0.707290174
57,0.749213144,0.567133666
58,0.74266998,0.608669819
59,0.714450262,0.666584418
60,0.768403264,0.682150779
61,0.790903184,0.759407426
62,0.814511959,0.721683347
63,0.850205903,0.753291376
64,0.833402547,0.749268353
65,0.827870083,0.710483235
66,0.791148301,0.707507948
67,0.829371887,0.771357422
68,0.874043172,0.828216582
69,0.834455668,0.805504689
70,0.766685206,0.787380921
71,0.658918406,0.784187063
72,0.676646707,0.806557614
73,0.730496454,0.840803771
74,0.744680851,0.827988338
75,0.693206522,0.651458353
76,0.637927504,0.642386563
77,0.352941176,0.290277778
78,0.529411765,0.205366357
79,0.723633036,0.610233689
80,0.757542676,0.620134022
81,0.710901639,0.406105354
82,0.777399381,0.518546782
83,0.661111111,0.696629475
84,0.823579911,0.810236626
85,0.712280702,0.549336852
86,0.578978216,0.612613871
87,0.685131195,0.771006351
