,time_auc,time_f1measure
0,0.840659341,0.614393463
1,0.823725982,0.76489745
2,0.77004717,0.726113014
3,0.756313131,0.618719212
4,0.673553719,0.707779265
5,0.677514793,0.55804351
6,0.766741071,0.640338442
7,0.742035398,0.758986268
8,0.632053292,0.731802085
9,0.609056122,0.537061974
10,0.682575758,0.651015004
11,0.727549467,0.6543226
12,0.718545021,0.60591909
13,0.694261294,0.683543261
14,0.696183206,0.591408922
15,0.607054455,0.62772093
16,0.769607843,0.845601708
17,0.833333333,0.812087912
18,0.84914361,0.762931945
19,0.88646837,0.689099669
20,0.746515679,0.643835508
21,0.728263989,0.583972414
22,0.675638686,0.782035481
23,0.794471154,0.844155844
24,0.888970588,0.810193212
25,0.803846154,0.81151995
26,0.755565863,0.715384615
27,0.664556962,0.550733138
28,0.883478261,0.535277778
29,0.7,0.6279843
30,0.73663522,0.723480823
31,0.67635468,0.837605293
32,0.715062112,0.735284489
33,0.695921986,0.650095877
34,0.828877005,0.573067916
35,0.817558299,0.646213094
36,0.833007813,0.635549704
37,0.773993808,0.58590127
38,0.725031606,0.621991416
39,0.697616408,0.588190476
40,0.518604651,0.542130899
41,0.777777778,0.644179104
42,0.879120879,0.701565156
43,0.784848485,0.736271782
44,0.797752809,0.832020265
45,0.774509804,0.681835155
46,0.714285714,0.653461641
47,0.823529412,0.560185185
48,0.441860465,0.512592593
49,0.522222222,0.380619101
