,time_auc,time_f1measure
0,0.647058824,0.702033599
1,0.6,0.75
2,0.657894737,0.530612245
3,0.534090909,0.698224852
4,0.875,0.639215686
6,0.75,0.857142857
7,0.911111111,0.601731602
8,0.637681159,0.652390852
9,0.5,0.583074534
10,0.5,0.558528428
11,0.32010582,0.175542589
12,0.718487395,0.453517144
13,0.528985507,0.202131661
14,0.594155844,0.627576197
15,0.661931818,0.564491817
16,0.476923077,0.647035573
17,0.578125,0.709285714
18,0.67781155,0.73571102
19,0.765,0.759982151
20,0.415254237,0.21541405
21,0.706653226,0.135717265
22,0.530939649,0.503849802
23,0.719562244,0.720246631
24,0.741048593,0.774693748
25,0.784507042,0.809188034
26,0.743055556,0.479876161
27,0.838709677,0.786493506
28,0.795061728,0.770833333
29,0.807363014,0.701997211
30,0.543123543,0.580177653
31,0.706790123,0.663339383
32,0.78,0.604635464
33,0.688057653,0.555513458
34,0.761363636,0.634832041
35,0.841691421,0.77227388
36,0.819221509,0.754510216
37,0.639806438,0.585666524
38,0.619261926,0.610987081
39,0.68254717,0.683662466
40,0.719815432,0.664775306
41,0.731818182,0.744237063
42,0.846153846,0.678974783
43,0.833613445,0.513550917
44,0.853174603,0.710859729
45,0.814964158,0.673872309
46,0.685572897,0.655353535
47,0.80549569,0.796666667
48,0.848372093,0.821858289
49,0.78,0.694965187
50,0.735930736,0.662916194
51,0.8375,0.712406015
52,0.91954023,0.749458874
53,0.892857143,0.734806955
54,0.751409774,0.701066664
55,0.750926718,0.659288201
56,0.757703081,0.683574057
57,0.710997442,0.653508945
58,0.692471591,0.618626398
59,0.724077548,0.631961774
60,0.71202592,0.639898132
61,0.829405163,0.75152036
62,0.740110079,0.71227919
63,0.691302524,0.682564467
64,0.673630387,0.65507374
65,0.756213018,0.715955256
66,0.868351648,0.778492764
67,0.856534091,0.702122549
68,0.739811912,0.593408622
69,0.764650284,0.683207557
70,0.794168096,0.748208972
71,0.814814815,0.702292594
72,0.822522523,0.725223809
73,0.861683193,0.7780595
74,0.808325025,0.74831285
75,0.718431373,0.632944001
76,0.780813953,0.6721355
77,0.76969697,0.672242651
78,0.823704586,0.68004083
79,0.765555556,0.666044674
80,0.740779221,0.665167267
81,0.663509472,0.598625172
82,0.735969388,0.658269366
83,0.837774295,0.701731123
84,0.79826087,0.723574002
85,0.704799627,0.652722095
86,0.777992278,0.701462476
87,0.784486373,0.765673636
88,0.776289683,0.643741765
89,0.825980392,0.728971963
90,0.804500292,0.709359249
91,0.700857318,0.661928485
92,0.744217687,0.724489796
93,0.827678571,0.752196177
94,0.81032666,0.748189519
95,0.752367424,0.627067227
96,0.693779904,0.660064313
97,0.730936819,0.732653061
98,0.817845243,0.781747504
99,0.815330477,0.758570615
100,0.747619048,0.693975153
101,0.800907544,0.759166461
102,0.828774063,0.752996444
103,0.736308872,0.659605352
104,0.74264232,0.658583937
105,0.838680387,0.720260817
106,0.827181937,0.770833333
107,0.829787234,0.746133496
108,0.8290938,0.759229206
109,0.862573099,0.77056181
110,0.845855379,0.806320483
111,0.829168791,0.714707101
112,0.831969449,0.74120155
113,0.724509804,0.676282051
114,0.75070028,0.696890162
115,0.742733457,0.673987633
116,0.596925134,0.617810761
117,0.655049787,0.605257371
118,0.799418605,0.685927431
119,0.81640625,0.757560484
120,0.708394698,0.663256579
121,0.624139118,0.568741764
122,0.772958048,0.71652628
123,0.819309927,0.718968457
124,0.874093606,0.78215877
125,0.886409736,0.80952381
126,0.793478261,0.71043609
127,0.757407407,0.701754386
128,0.795795796,0.719136709
129,0.776453055,0.630357143
130,0.758846067,0.657857828
131,0.778365667,0.678340517
132,0.867647059,0.714285714
133,0.795673077,0.751859364
134,0.842739565,0.723806026
135,0.815229563,0.725845144
136,0.759213759,0.624120427
137,0.824712644,0.642971712
