,time_auc,time_f1measure
0,0.803245373,0.798206004
1,0.729026256,0.736121232
2,0.818448993,0.792936373
3,0.84696859,0.789899621
4,0.846106594,0.791499387
5,0.878620781,0.801206645
6,0.895974607,0.824368959
7,0.858429177,0.761051136
8,0.869359438,0.795741534
9,0.870828375,0.814176836
10,0.85796441,0.815949676
11,0.894559966,0.778510572
12,0.898500103,0.832441141
13,0.872327411,0.797297412
14,0.870691315,0.8289162
15,0.876636396,0.831347443
16,0.878473963,0.840467495
17,0.864263421,0.81488593
18,0.823329391,0.766323204
19,0.771948413,0.727009032
20,0.83567485,0.734273304
21,0.833387594,0.767611198
22,0.820905628,0.763438131
23,0.821876727,0.743214214
24,0.820192159,0.711341109
25,0.817545054,0.705969971
26,0.805754898,0.736899442
27,0.844682231,0.77173873
28,0.867085954,0.801501812
29,0.82879409,0.774053797
30,0.84025673,0.796942679
31,0.807343004,0.740152834
32,0.803663395,0.745935636
33,0.739431424,0.659108983
34,0.783783287,0.631501613
35,0.787588438,0.689679845
36,0.784381191,0.677488261
37,0.817087689,0.757182711
38,0.816516064,0.736393716
39,0.754461827,0.711232273
40,0.814552786,0.772605768
41,0.884159319,0.846356661
42,0.777557808,0.755386924
43,0.843191017,0.761124623
44,0.849841931,0.740459682
45,0.772403946,0.659223937
46,0.80463676,0.709319415
47,0.80270936,0.724592165
48,0.786121857,0.771825978
49,0.803712385,0.763520123
50,0.764854427,0.671427762
51,0.76584361,0.676767691
52,0.775032047,0.675766227
53,0.778745553,0.690734638
54,0.844155844,0.775119617
55,0.830272543,0.755979825
56,0.801886592,0.709650646
57,0.818489583,0.735687994
58,0.838157836,0.779588575
59,0.910155778,0.830299196
60,0.89424435,0.843099856
61,0.838190955,0.785549358
62,0.854828042,0.823052249
63,0.828358209,0.7759833
64,0.816061254,0.768354441
65,0.805938494,0.746349206
66,0.806937298,0.721041094
67,0.778354978,0.70296422
68,0.763173,0.686393133
69,0.780187416,0.694849652
70,0.797095817,0.716191822
71,0.791363566,0.774893827
72,0.689209726,0.720447972
73,0.715034965,0.682812155
74,0.739364084,0.708017088
75,0.732573522,0.691447291
76,0.704116707,0.657992294
77,0.732924483,0.695094205
78,0.725366047,0.653376187
79,0.788539749,0.74324189
80,0.796574604,0.750109053
81,0.806277056,0.742647578
82,0.807076376,0.713076531
83,0.82968733,0.736993566
84,0.803605121,0.715682274
85,0.800296782,0.741196377
86,0.816986989,0.730228626
87,0.820817786,0.724298867
