,time_auc,time_f1measure
0,0.804962193,0.758423484
1,0.80973008,0.714092575
2,0.86206652,0.733159545
3,0.749525826,0.641874036
4,0.643988715,0.556804739
5,0.799011902,0.605117793
6,0.838608345,0.719688805
7,0.884770621,0.780550285
8,0.925126904,0.866538626
9,0.883061594,0.88369921
10,0.751846836,0.719769389
11,0.760711931,0.613182181
12,0.826828724,0.68758438
13,0.882214082,0.774648288
14,0.824289406,0.786118603
15,0.904204204,0.843615368
16,0.925771325,0.835634836
17,0.839003945,0.777735778
18,0.875898286,0.79084787
19,0.857819074,0.821942113
20,0.861070111,0.836351144
21,0.848859316,0.795189168
22,0.789782245,0.711962067
23,0.834853728,0.704537871
24,0.82464455,0.790765485
25,0.841181165,0.75717109
26,0.907848325,0.789177489
27,0.917857143,0.737875259
28,0.644067797,0.641338652
29,0.822393822,0.739480874
30,0.862318841,0.763747407
31,0.739844961,0.830598658
32,0.745986239,0.701984576
33,0.850398529,0.801623492
34,0.88275567,0.741987137
35,0.882388912,0.756209668
36,0.829400829,0.817770923
37,0.795648912,0.744843991
38,0.816996872,0.782923579
39,0.841473033,0.782509977
40,0.832898573,0.775553327
41,0.790792541,0.800349975
42,0.880816506,0.848974543
43,0.678509317,0.551136175
44,0.785158347,0.616337127
45,0.827279466,0.635330722
46,0.733299595,0.657248548
47,0.803701256,0.739220934
48,0.847619048,0.772607086
49,0.820825516,0.750504984
50,0.732240437,0.708901464
51,0.684554974,0.522563659
52,0.696099545,0.506612948
53,0.798395722,0.666918572
54,0.796145125,0.779429748
55,0.438186813,0.680333693
56,0.697115385,0.666283026
57,0.686842105,0.7359375
58,0.733333333,0.824097152
59,0.734177215,0.774358753
60,0.691156463,0.792220697
61,0.657894737,0.616739817
62,0.708860759,0.600931341
63,0.645348837,0.613041699
64,0.792079208,0.680268955
65,0.557422969,0.833542127
66,0.573562,0.822614734
67,0.109090909,0.781490015
68,0.409090909,0.580645161
70,0.592592593,0.744186047
71,0.4,0.571428571
72,0.888888889,0.941176471
