,time_auc,time_f1measure
0,0.765911072,0.629644993
1,0.84,0.728274408
2,0.865172956,0.791049999
3,0.798946444,0.729366679
4,0.795868347,0.676729249
5,0.827272727,0.741131617
6,0.828311813,0.732618885
7,0.733551198,0.613200575
8,0.783278328,0.687152551
9,0.820546353,0.694085416
10,0.801443001,0.639976933
11,0.703319793,0.568271803
12,0.604622685,0.579693025
13,0.636076505,0.578532273
14,0.732421875,0.644888889
15,0.786432161,0.760828704
16,0.624475524,0.7344713
17,0.719806763,0.718024985
18,0.776706459,0.687190182
19,0.816025803,0.729144007
20,0.787393641,0.67820765
21,0.737534754,0.713098805
22,0.741628642,0.703847597
23,0.772593945,0.750763478
24,0.795801821,0.727155856
25,0.744679684,0.674233963
26,0.859209656,0.756895656
27,0.867300688,0.793922137
28,0.84127701,0.772169139
29,0.787848368,0.726234317
30,0.756860099,0.69004203
31,0.831058726,0.78295712
32,0.806042885,0.731379692
33,0.747661029,0.692479864
34,0.74898334,0.731544124
35,0.789802632,0.772325318
36,0.785651408,0.749211585
37,0.666935484,0.686848696
38,0.488072903,0.73310935
39,0.763647036,0.745235143
40,0.704291045,0.712280931
41,0.84697733,0.856448658
42,0.811839323,0.658351833
43,0.727349398,0.73925268
44,0.729059199,0.766526851
45,0.760146374,0.776943867
46,0.834920635,0.76012096
47,0.770646531,0.629665668
48,0.823492063,0.711375801
49,0.711111111,0.74604379
50,0.726219025,0.762822911
51,0.699652778,0.762642827
52,0.678747361,0.764514769
53,0.675301205,0.854105877
54,0.764912281,0.789251413
55,0.604802605,0.649525388
56,0.739197531,0.628113098
57,0.621817048,0.526423463
58,0.552194813,0.830889116
59,0.633811231,0.845147005
60,0.610172246,0.707876995
61,0.561614035,0.738123286
62,0.678922754,0.745092718
63,0.720972803,0.699687447
64,0.761196911,0.785021395
65,0.53753062,0.823177843
66,0.783974268,0.721628863
67,0.776529707,0.720551311
68,0.745335728,0.642503748
69,0.670728546,0.662480984
70,0.620855379,0.685479557
71,0.714737508,0.778061085
72,0.777265036,0.760779947
73,0.588467375,0.660651058
74,0.737133878,0.764538757
75,0.687123056,0.654251262
76,0.486884236,0.619726598
77,0.640880858,0.771094442
78,0.687090861,0.684054072
79,0.718152866,0.795018277
80,0.583370888,0.792775492
81,0.586341118,0.634418691
82,0.617004049,0.674033603
83,0.709588597,0.66615594
84,0.760218861,0.641120606
85,0.249874529,0.672048733
86,0.714352252,0.558075882
87,0.739586645,0.634451465
