,time_auc,time_f1measure
0,0.769230769,0.614393463
1,0.746867168,0.76105664
2,0.767216981,0.701174809
3,0.737514029,0.612248714
4,0.70979021,0.65893562
5,0.630473373,0.374351222
6,0.648995536,0.409922497
7,0.701769912,0.663628062
8,0.636755486,0.667222704
9,0.742346939,0.688888889
10,0.720454545,0.729875876
11,0.738203957,0.687881399
12,0.750447227,0.697530997
13,0.661172161,0.617361509
14,0.663034705,0.454614438
15,0.607762557,0.567990269
16,0.858741259,0.851744746
17,0.8595259,0.799319728
18,0.826839827,0.72262931
19,0.882616487,0.757940361
20,0.788999526,0.491608455
21,0.657671958,0.563703476
22,0.663888889,0.730595634
23,0.840909091,0.832638325
24,0.873333333,0.8371092
25,0.885738832,0.839445274
26,0.812727273,0.783467143
27,0.731922399,0.79
28,0.863095238,0.653806261
29,0.683698297,0.785437192
30,0.638671875,0.832896721
31,0.626811594,0.622359103
32,0.836090226,0.837297465
33,0.723809524,0.630681818
34,0.731818182,0.596938105
35,0.813888889,0.661577684
36,0.785714286,0.536073167
37,0.667016807,0.517025069
38,0.738626964,0.647424881
39,0.828877005,0.584904417
40,0.817558299,0.674049587
41,0.833007813,0.758407519
42,0.773993808,0.763734986
43,0.725031606,0.810784734
44,0.825,0.664019278
45,0.666666667,0.720766539
46,0.418181818,0.430520746
47,0.803030303,0.571640016
48,0.76744186,0.572
49,0.666666667,0.561826826
