time_auc,time_f1measure
0.470238095,0.298461538
0.601190476,0.637383872
0.639423077,0.213718947
0.568322981,0.635844999
0.799242424,0.834823529
0.8375,0.817908818
0.830645161,0.809471767
0.931818182,0.866666667
0.35,0.904761905
0.6,0.752567694
0.804347826,0.749425287
0.6,0.730595634
0.560606061,0.211754449
0.56097561,0.014512472
0.78125,0.658892128
0.588235294,0.6375
0.708333333,0.721904762
0.778769841,0.649226883
0.6352657,0.768393235
0.21875,0.299575047
0.80952381,0.761150634
0.731663685,0.726364692
0.635638298,0.656445993
0.619708995,0.684705882
0.519518272,0.615531663
0.639467593,0.636528595
0.710144928,0.563168969
0.582070707,0.244004034
0.594539939,0.450037528
0.708,0.736281736
0.662389381,0.783489336
0.770380435,0.826258946
0.720535714,0.690283806
0.808571429,0.698961938
0.667572464,0.730764674
0.649778516,0.622504542
0.718699187,0.772916573
0.72179089,0.729676556
0.773164557,0.632101946
0.653989813,0.643096263
0.763661747,0.719390011
0.830060055,0.728269741
0.776887872,0.682565644
0.702420242,0.667118186
0.68970894,0.715074079
0.662149533,0.716422326
0.67648423,0.656609895
0.6776,0.634751773
0.79337232,0.568744589
0.803069054,0.739172402
0.762666667,0.773618538
0.587436869,0.674623311
0.492577084,0.595837985
0.747306034,0.742621987
0.786057692,0.788419487
0.78982129,0.769376143
0.806701031,0.749828415
0.709755507,0.712121212
0.704462659,0.741995949
0.735655738,0.783091787
0.731042945,0.755056391
0.735509905,0.739216834
0.681472589,0.656892392
0.645524297,0.649452541
0.676846591,0.525088959
0.668167605,0.610866932
0.739089003,0.694700629
0.832210999,0.81364027
0.719470244,0.673398601
0.695798118,0.690460419
0.688531775,0.695626657
0.775838264,0.732803877
0.752600733,0.706999184
0.733522727,0.701259947
0.686833856,0.659659158
0.726134216,0.669151139
0.736486486,0.714689439
0.801932367,0.733777658
0.805084746,0.729984888
0.760784314,0.730291384
0.7125,0.63980464
0.740079365,0.676455632
0.747766528,0.693068381
0.685555556,0.675044092
0.679350649,0.537364341
0.632352941,0.583039492
0.738520408,0.686326221
0.78369906,0.741533137
0.707826087,0.65500952
0.697931034,0.636195384
0.701316701,0.613042914
0.760377358,0.599550534
0.76140873,0.711111111
0.826330532,0.738317757
0.781122151,0.693199804
0.609001837,0.592344853
0.784126984,0.741591581
0.799107143,0.713858663
0.809448542,0.708147561
0.728929924,0.618893387
0.645295056,0.432747708
0.75308642,0.742763713
0.761531532,0.722556344
0.807394156,0.723878716
0.782539683,0.711934385
0.750276855,0.707966387
0.80109127,0.752091768
0.66346284,0.617067292
0.683891547,0.638372984
0.754237288,0.668833896
0.810681719,0.770634058
0.743308167,0.550200187
0.817170111,0.744457174
0.795321637,0.708938822
0.732627866,0.705128205
0.797552269,0.741254066
0.708128751,0.594897491
0.748039216,0.670189014
0.678231293,0.620574082
0.713981115,0.6701915
0.653743316,0.675139147
0.642958748,0.595982783
0.819767442,0.585629969
0.818229167,0.742002636
0.763583171,0.663040454
0.640258517,0.57771593
0.793444375,0.694109232
0.75,0.692694805
0.750617284,0.696741855
0.811398355,0.744341778
0.733225108,0.365670064
0.759259259,0.287762654
0.637606838,0.248337975
0.691176471,0.80952381
0.75,0.756938772
