,time_auc,time_f1measure
0,0.756094117,0.800346473
1,0.769575573,0.807048096
2,0.7916557,0.801967351
3,0.792135722,0.801270055
4,0.82152865,0.81928729
5,0.877949011,0.83673854
6,0.884696621,0.849815104
7,0.844539321,0.810411357
8,0.881869837,0.844883274
9,0.852138269,0.827206794
10,0.818569221,0.850276019
11,0.845034247,0.828774186
12,0.869252874,0.83300238
13,0.881056257,0.845870414
14,0.858301631,0.839659648
15,0.867174425,0.834695417
16,0.847254447,0.851797447
17,0.839299265,0.820018048
18,0.82138799,0.777158314
19,0.78509726,0.723748633
20,0.817210844,0.749496249
21,0.814789771,0.792065134
22,0.797243535,0.778498916
23,0.807700156,0.805531533
24,0.8170421,0.793668545
25,0.804155895,0.755504604
26,0.781363449,0.740084748
27,0.83201476,0.784190269
28,0.817310199,0.7883883
29,0.772789116,0.759277593
30,0.802249053,0.780513198
31,0.783278919,0.791088847
32,0.780335942,0.785220436
33,0.756428058,0.723920933
34,0.759545685,0.69268548
35,0.748698074,0.674539956
36,0.767225653,0.716414771
37,0.812873311,0.780643561
38,0.803276413,0.771851852
39,0.749551227,0.737832038
40,0.763947558,0.746560656
41,0.762544878,0.81113403
42,0.755875165,0.741571704
43,0.787889518,0.728140503
44,0.801947124,0.702886992
45,0.740314136,0.670219805
46,0.806055722,0.719211448
47,0.786515548,0.734631568
48,0.77078143,0.771153076
49,0.759809524,0.736410461
50,0.757781344,0.685361854
51,0.739385537,0.677301098
52,0.744849323,0.685868047
53,0.793550532,0.74736925
54,0.78604119,0.73880434
55,0.763686269,0.724840279
56,0.760294273,0.727980329
57,0.779225352,0.732523741
58,0.813734682,0.75996212
59,0.841578885,0.793507916
60,0.831141439,0.837794566
61,0.763878875,0.788418623
62,0.754010695,0.775041367
63,0.763020833,0.776860302
64,0.756682961,0.751908397
65,0.748065544,0.7074163
66,0.751171352,0.709303728
67,0.782895094,0.719303387
68,0.797019435,0.729713157
69,0.746116738,0.687291527
70,0.793164582,0.745683692
71,0.78085901,0.753236168
72,0.671287716,0.694641141
73,0.705307513,0.700829008
74,0.750544487,0.746858658
75,0.758971774,0.717327113
76,0.645211931,0.450667534
77,0.685769231,0.688351907
78,0.713451363,0.728160795
79,0.764045295,0.736362104
80,0.787012987,0.748451377
81,0.82616342,0.745730374
82,0.798281506,0.739149998
83,0.776118595,0.711600713
84,0.782626208,0.6987957
85,0.756914997,0.713272943
86,0.786352041,0.740227523
87,0.801508885,0.741566088
