,time_auc,time_f1measure
0,0.806623593,0.783475861
1,0.798543009,0.760896918
2,0.783385492,0.747657199
3,0.768643064,0.722899354
4,0.797408276,0.661650519
5,0.842756775,0.679775612
6,0.828251469,0.677653095
7,0.793238994,0.735049426
8,0.854923599,0.832850313
9,0.772114058,0.813778893
10,0.796093519,0.783270518
11,0.809896853,0.714350067
12,0.831766917,0.802337182
13,0.859958654,0.765534
14,0.800253719,0.749032111
15,0.78911881,0.838711784
16,0.903117667,0.897684958
17,0.800098522,0.783310051
18,0.814157973,0.798088302
19,0.844552582,0.834335575
20,0.873939987,0.83010985
21,0.824817518,0.766159102
22,0.690938511,0.742688816
23,0.795432459,0.724884677
24,0.820909091,0.825022065
25,0.804385965,0.723180656
26,0.75625,0.769656024
27,0.793719807,0.777915099
28,0.904761905,0.823927143
29,0.882802548,0.823548972
30,0.845542982,0.828031984
31,0.725663717,0.816095263
32,0.624246339,0.769449887
33,0.852314971,0.818177981
34,0.845263158,0.780704215
35,0.823023715,0.745317595
36,0.755043603,0.743267049
37,0.739449287,0.781481481
38,0.862269879,0.767854444
39,0.81997114,0.780126428
40,0.822157434,0.805442006
41,0.867945824,0.87111087
42,0.897004558,0.803151883
43,0.767133382,0.721532538
44,0.819604293,0.61652525
45,0.802434125,0.56291166
46,0.714332676,0.691729323
47,0.817422051,0.815722892
48,0.751953125,0.795400986
49,0.815563725,0.827378258
50,0.663157895,0.634224457
51,0.640195122,0.597788424
52,0.643928571,0.550508742
53,0.777082779,0.712438424
54,0.677055104,0.802094302
55,0.593846154,0.602361941
56,0.553174603,0.713541667
57,0.658974359,0.724205168
58,0.457446809,0.85245098
59,0.726907631,0.817868393
60,0.724232456,0.802801788
61,0.622222222,0.382799851
62,0.686813187,0.533711264
63,0.734375,0.789902604
64,0.708705357,0.589806901
65,0.5625,0.870168424
66,0.379545455,0.64346247
67,0.654545455,0.926549865
68,0.727272727,0.842105263
70,0.37037037,0.540540541
71,0.4,0.571428571
