,time_auc,time_f1measure
0,0.617149758,0.510228553
1,0.663617886,0.626732133
2,0.705232558,0.703770178
3,0.773244147,0.763150205
4,0.724597953,0.682686446
5,0.699312715,0.665963608
6,0.794629431,0.618193472
7,0.668091168,0.756718193
8,0.775744417,0.703971749
9,0.892687075,0.775562094
10,0.815324499,0.731992733
11,0.760989734,0.716819124
12,0.694579646,0.65000915
13,0.742946708,0.707018907
14,0.730010384,0.673904128
15,0.706526807,0.507921108
16,0.765271873,0.716284132
17,0.754363559,0.717772449
18,0.74536608,0.683630149
19,0.693968254,0.70738676
20,0.708716475,0.594962409
21,0.770992093,0.662087639
22,0.792110672,0.711929129
23,0.715706806,0.709500857
24,0.74403183,0.516056349
25,0.745127119,0.684863709
26,0.779310345,0.76459863
27,0.863584637,0.80571116
28,0.777151762,0.714927798
29,0.76458037,0.706873117
30,0.834985978,0.726847281
31,0.761507937,0.658606213
32,0.711023418,0.696698002
33,0.820663019,0.786004195
34,0.753768844,0.71808547
35,0.704609929,0.567574577
36,0.734742441,0.496327206
37,0.833176692,0.745653163
38,0.833333333,0.771291866
41,0.636363636,0.777777778
42,0.428571429,0.6
43,0.777011494,0.742724375
44,0.804504787,0.730534495
45,0.837913653,0.632731816
46,0.874100719,0.670535103
47,0.841086377,0.670812612
48,0.737555163,0.780871798
49,0.73130051,0.7122901
50,0.751156069,0.728673291
51,0.80119103,0.727737865
52,0.806667371,0.634855766
53,0.790490148,0.720130833
54,0.723218458,0.678456883
55,0.743769547,0.701546778
56,0.807502255,0.691535744
57,0.76255025,0.681340339
58,0.666696642,0.657853513
59,0.708380393,0.750944986
60,0.74947644,0.524722348
61,0.739328742,0.774319543
62,0.775382902,0.75777599
63,0.786780866,0.766407164
64,0.859407172,0.627711928
65,0.830357143,0.60052978
66,0.812068362,0.679712844
67,0.795705212,0.703300846
68,0.780893747,0.728277307
69,0.820613901,0.718823455
70,0.800785634,0.616087259
71,0.752224694,0.729907003
72,0.702087287,0.740478067
73,0.665098375,0.748071819
74,0.677304965,0.784232662
75,0.670212766,0.931085478
76,0.69379529,0.74258556
77,0.519250461,0.591865418
78,0.235294118,0.367195767
79,0.352941176,0.755555556
80,0.592541752,0.732095666
81,0.721218738,0.725364067
82,0.466502732,0.428892643
83,0.287151703,0.298893564
84,0.322222222,0.624032972
85,0.887966805,0.736114917
86,0.768969126,0.791175841
87,0.715789474,0.638424282
88,0.77688776,0.832814297
96,0.78961039,0.762388469
