,time_auc,time_f1measure
0,0.538461538,0.326639621
1,0.66374269,0.673884963
2,0.684316038,0.695138949
3,0.63510101,0.672606247
4,0.686268277,0.718032624
5,0.576035503,0.691416629
6,0.781808036,0.489549207
7,0.519247788,0.433485028
8,0.649294671,0.629688051
9,0.665178571,0.553623188
10,0.723484848,0.568353961
11,0.538812785,0.689934224
12,0.731067382,0.634200891
13,0.65,0.627588437
14,0.643596268,0.520909135
15,0.663160066,0.46622291
16,0.68907563,0.50407337
17,0.678843227,0.569442992
18,0.800724638,0.637362637
19,0.750314202,0.746032603
20,0.82325784,0.774340086
21,0.771449067,0.795516626
22,0.693202555,0.844503415
23,0.707331731,0.72541744
24,0.852941176,0.810371759
25,0.776153846,0.781049741
26,0.763450835,0.799237507
27,0.761301989,0.667990074
28,0.886956522,0.746652789
29,0.833333333,0.764084872
30,0.701257862,0.705336922
31,0.737931034,0.771557594
32,0.758229814,0.791323532
33,0.675531915,0.744952722
34,0.742245989,0.606942762
35,0.668038409,0.773399015
36,0.721679688,0.748275862
37,0.68369453,0.551486612
38,0.66182048,0.598936824
39,0.608924612,0.616300615
40,0.552713178,0.617342377
41,0.688888889,0.709700321
42,0.846153846,0.692885375
43,0.7,0.714092363
44,0.463483146,0.758047871
45,0.5,0.937075692
46,0.517857143,0.068965517
47,0.676470588,0.64021164
48,0.459302326,0.384761905
49,0.344444444,0.817332641
