time_auc,time_f1measure
0.639705882,0.659863946
0.733333333,0.846153846
0.605263158,0.659405111
0.545454545,0.184981685
0.75,0.857142857
0.933333333,0.805128205
0.934782609,0.899821109
0.761904762,0.652562112
0.555555556,0.61025641
0.740740741,0.597644016
0.794117647,0.699638663
0.286231884,0.405538543
0.538961039,0.56021978
0.647727273,0.698130415
0.620512821,0.628314394
0.223214286,0.503409091
0.43768997,0.634858388
0.72,0.74559549
0.776271186,0.638081006
0.357862903,0.364383785
0.466004584,0.357258763
0.632010944,0.755755602
0.666879795,0.806545416
0.692957746,0.778743507
0.604166667,0.644333409
0.806451613,0.766178266
0.632098765,0.73727422
0.73630137,0.779279083
0.618881119,0.669865518
0.775789474,0.667297251
0.590253946,0.618763636
0.733919383,0.668740741
0.827538005,0.753539377
0.800361156,0.718693285
0.713654534,0.692370624
0.667866787,0.698310761
0.656603774,0.702907823
0.696744425,0.676028442
0.722727273,0.680296328
0.885654886,0.847941176
0.788235294,0.43247607
0.766534392,0.744300823
0.53046595,0.634234411
0.49676437,0.588628218
0.794181034,0.769073221
0.791627907,0.783270755
0.86,0.80938605
0.845887446,0.801113694
0.916666667,0.878104352
0.951149425,0.891836735
0.964285714,0.902740937
0.617011278,0.744875993
0.728828058,0.766551912
0.62234894,0.646677606
0.644117647,0.682500407
0.657907197,0.543802842
0.667542214,0.615890346
0.729940919,0.676482797
0.838383838,0.70108341
0.738390093,0.685088472
0.664988311,0.636723752
0.692330168,0.707518041
0.758629191,0.728506787
0.801098901,0.720688389
0.785369318,0.733019915
0.678495298,0.658698761
0.738657845,0.631322751
0.801274198,0.593929189
0.809027778,0.737006313
0.705855856,0.718202981
0.799644038,0.71020196
0.796111665,0.721584667
0.768235294,0.658958039
0.688372093,0.616538802
0.740909091,0.671732172
0.752233472,0.709715465
0.685111111,0.682360153
0.681688312,0.537364341
0.640827517,0.583039492
0.746598639,0.705654483
0.786050157,0.701826484
0.749565217,0.681472324
0.69944082,0.630718458
0.698139698,0.610690465
0.735849057,0.638809567
0.78968254,0.732802389
0.821778711,0.747131617
0.754237288,0.667796913
0.62033068,0.600298385
0.799092971,0.754843295
0.789732143,0.708560943
0.809624166,0.71417602
0.738399621,0.640031058
0.633173844,0.432747708
0.77124183,0.675657143
0.759996298,0.719061405
0.806915545,0.720972318
0.778968254,0.725336867
0.745887691,0.720544512
0.799392097,0.749492701
0.638691128,0.601367015
0.687218045,0.608639791
0.752723971,0.668833896
0.75293096,0.739158325
0.743308167,0.534463537
0.816375199,0.744457174
0.790448343,0.708938822
0.734744268,0.705128205
0.794237634,0.749567125
0.721767594,0.594897491
0.851960784,0.714593596
0.660364146,0.617826384
0.7139765,0.673987633
0.617981283,0.633305686
0.679943101,0.641769306
0.820930233,0.763905918
0.81953125,0.72886491
0.763587909,0.585642227
0.645876377,0.574797578
0.78756569,0.654395379
0.820217918,0.667705422
0.842452208,0.510795087
0.856997972,0.347982011
0.746779388,0.714909091
0.750617284,0.696741855
0.807207207,0.751270797
0.728017884,0.359844797
0.753098941,0.269736893
0.633156966,0.466666667
0.735294118,0.771524772
0.770776099,0.764285714
0.782848325,0.765489957
0.801791713,0.809334643
0.742014742,0.670317097
0.762452107,0.722868805
