,time_auc,time_f1measure
0,0.754557045,0.80156967
1,0.775437301,0.797965605
2,0.824199057,0.80593948
3,0.813799057,0.810095987
4,0.82630533,0.81428679
5,0.886327398,0.83626932
6,0.88879671,0.85324641
7,0.857861683,0.797819464
8,0.875503425,0.820134628
9,0.85015781,0.846011079
10,0.804782444,0.853504413
11,0.881607505,0.843990861
12,0.90397918,0.841569096
13,0.877026163,0.829837204
14,0.866827941,0.804707741
15,0.880292487,0.834673128
16,0.843163464,0.860783707
17,0.865293383,0.837256394
18,0.843823921,0.803834111
19,0.799587154,0.753260381
20,0.802782707,0.760654648
21,0.816082743,0.798007307
22,0.829813796,0.783053442
23,0.832697623,0.799091421
24,0.818562928,0.785863388
25,0.809226582,0.752462396
26,0.813127351,0.765273229
27,0.839665827,0.805257738
28,0.847441115,0.812342327
29,0.819296181,0.811355854
30,0.842681405,0.807096635
31,0.8032825,0.793014428
32,0.795565705,0.802064004
33,0.771397569,0.717256644
34,0.78251607,0.777621204
35,0.771286261,0.671822419
36,0.793389636,0.749329136
37,0.840897213,0.804315053
38,0.84272925,0.807078106
39,0.789362874,0.768603543
40,0.810667155,0.786559154
41,0.876152833,0.864385822
42,0.792762116,0.746428571
43,0.820994908,0.756762353
44,0.832415761,0.728963571
45,0.768380062,0.667619919
46,0.816475295,0.743719336
47,0.801614669,0.748513732
48,0.810203095,0.816168556
49,0.800575644,0.767641161
50,0.749970291,0.694943631
51,0.736285461,0.68279565
52,0.746617291,0.677339341
53,0.784473739,0.739419478
54,0.82434737,0.788638796
55,0.786436708,0.7623298
56,0.791221398,0.760055073
57,0.799739583,0.751112934
58,0.828388781,0.776036296
59,0.893611883,0.84310356
60,0.898128531,0.865273231
61,0.831155779,0.830367632
62,0.794146825,0.789032532
63,0.822904707,0.79754902
64,0.817663818,0.78249353
65,0.794406151,0.751538584
66,0.82161235,0.75104739
67,0.767965368,0.742894217
68,0.751377569,0.704927263
69,0.780990629,0.71036775
70,0.790276993,0.72419874
71,0.751083424,0.749562549
72,0.664513678,0.705694235
73,0.693595878,0.706693992
74,0.737939177,0.741322996
75,0.728028222,0.691672326
76,0.724820144,0.673962755
77,0.668079606,0.678751342
78,0.704350905,0.723746759
79,0.755854275,0.727474836
80,0.757273294,0.721451003
81,0.807765152,0.754119247
82,0.802970162,0.753221774
83,0.790006514,0.714427631
84,0.761118598,0.715440469
85,0.784871915,0.74229767
86,0.796413711,0.739645334
87,0.795708955,0.74508189
