,time_auc,time_f1measure
0,0.837665406,0.797474427
1,0.811733852,0.761936239
2,0.838717112,0.807843918
3,0.833972917,0.652858095
4,0.768988715,0.672104755
5,0.849090501,0.772856136
6,0.822042437,0.743111329
7,0.794781422,0.760230867
8,0.889831853,0.856162608
9,0.805389493,0.827833324
10,0.760896331,0.793523392
11,0.769611074,0.732485757
12,0.867975022,0.800712423
13,0.873911274,0.751935117
14,0.810400517,0.767803362
15,0.876576577,0.825508733
16,0.912341198,0.891938428
17,0.867357002,0.853537663
18,0.790699281,0.813940212
19,0.876227209,0.832908649
20,0.872509225,0.847337123
21,0.838521863,0.802859736
22,0.877303183,0.802236025
23,0.80308273,0.744843255
24,0.825009114,0.793272852
25,0.838254855,0.850971429
26,0.905202822,0.882241494
27,0.910119048,0.888178576
28,0.889830508,0.737903045
29,0.907335907,0.880516837
30,0.865502855,0.805898846
31,0.765271318,0.79082855
32,0.627866972,0.898287433
33,0.886266094,0.85979671
34,0.850984168,0.782565548
35,0.865063188,0.743246978
36,0.614900615,0.718456743
37,0.736384096,0.817884471
38,0.867674661,0.826163448
39,0.763058909,0.743884571
40,0.826658483,0.770635342
41,0.804086538,0.792430249
42,0.870939421,0.869597689
43,0.78173913,0.648359784
44,0.835748792,0.616337127
45,0.859031381,0.595053231
46,0.824477058,0.79368226
47,0.826834104,0.726677277
48,0.76952381,0.712065372
49,0.781894934,0.800239869
50,0.736680328,0.784450633
51,0.628599476,0.646482436
52,0.706149797,0.545495443
53,0.763368984,0.689274109
54,0.734807256,0.589370701
55,0.639423077,0.84955096
56,0.862980769,0.835226852
57,0.492105263,0.790737564
58,0.444444444,0.831521739
59,0.732067511,0.784201681
60,0.740136054,0.734848485
61,0.555921053,0.6997151
62,0.702531646,0.564276695
63,0.739825581,0.819972983
64,0.775990099,0.639593667
65,0.62605042,0.822568113
66,0.29245283,0.255743023
67,0.790909091,0.694600062
68,0.454545455,0.625
70,0.37037037,0.540540541
71,0.5,0.666666667
