,time_auc,time_f1measure
0,0.838235294,0.773146479
1,0.8,0.888888889
2,0.747540984,0.909349909
3,0.730188679,0.883793103
4,0.922619048,0.923133777
5,0.475,0.644067797
6,0.907407407,0.773948149
7,0.62037037,0.381849737
8,0.459821429,0.822123592
9,0.348901099,0.342003445
10,0.804668305,0.734970872
11,0.492307692,0.75869144
12,0.573170732,0.259751773
13,0.778703704,0.77529985
14,0.843101343,0.79689107
15,0.865177196,0.86269684
16,0.861111111,0.862126932
17,0.863046045,0.864814815
18,0.811111111,0.808741259
19,0.899521531,0.847932589
20,0.805520034,0.776038852
21,0.733603239,0.800175932
22,0.846666667,0.768430879
23,0.884615385,0.862016245
24,0.573033708,0.728571429
25,0.589041096,0.74137931
26,0.875,0.733333333
27,0.777777778,0.875
28,0.816993464,0.746402402
29,0.842998028,0.809323331
30,0.831528662,0.855456871
31,0.80316092,0.782703227
32,0.78255675,0.802098354
33,0.831904762,0.775407564
34,0.787037037,0.813297206
35,0.618533453,0.846009822
36,0.743243243,0.701878066
37,0.798831169,0.707969862
38,0.727941176,0.653404175
39,0.811846983,0.790669521
40,0.837941628,0.776608446
41,0.82007326,0.747820027
42,0.700949607,0.643281269
43,0.709372534,0.479250506
44,0.778540965,0.754826811
45,0.777639109,0.74323677
46,0.802074619,0.816009303
47,0.784816754,0.803954901
48,0.837574479,0.731577033
49,0.844883259,0.734183353
50,0.818757304,0.622506215
51,0.831133459,0.732140453
52,0.819619947,0.770562161
53,0.866143048,0.765899722
54,0.823417722,0.708601163
55,0.768063145,0.777779063
56,0.710294118,0.752216349
57,0.614891519,0.804481233
58,0.650549451,0.768644421
59,0.7,0.753338484
60,0.735975212,0.766109928
61,0.566267248,0.584428582
62,0.235294118,0.367195767
63,0.352941176,0.755555556
64,0.681023974,0.745692308
65,0.783301984,0.784790871
66,0.467705167,0.269683981
67,0.365942029,0.118259478
68,0.608843537,0.675
69,0.856597774,0.830768992
70,0.772506083,0.809688102
71,0.72303207,0.541408568
72,0.749318515,0.700821176
73,0.807017544,0.79713645
74,0.901709402,0.70015361
75,0.717948718,0.617816092
76,0.604761905,0.849848024
77,0.626190476,0.849848024
78,0.791798942,0.70093305
79,0.794708995,0.660376562
80,0.675,0.492770846
81,0.9125,0.836634782
82,0.829945799,0.813362965
83,0.778181818,0.856097561
84,0.333333333,0.781637717
85,0.855067568,0.830730628
86,0.774662162,0.752070336
87,0.52173913,0.685714286
