,time_auc,time_f1measure
0,0.634615385,0.621593291
1,0.77443609,0.75350056
2,0.745636792,0.663057186
3,0.627525253,0.586920432
4,0.6913541,0.775657895
5,0.681360947,0.616296405
6,0.793526786,0.571610279
7,0.692035398,0.523638288
8,0.652821317,0.672961499
9,0.672193878,0.537061974
10,0.818181818,0.675514653
11,0.544901065,0.769413919
12,0.816935003,0.668200985
13,0.727533578,0.7035618
14,0.722154964,0.585839161
15,0.571232877,0.578908782
16,0.742657343,0.663550797
17,0.738366989,0.666064771
18,0.881313131,0.843205148
19,0.643369176,0.378305993
20,0.780938834,0.771600185
21,0.792592593,0.654900725
22,0.65,0.781874472
23,0.673701299,0.791044776
24,0.8225,0.822588409
25,0.804982818,0.855418803
26,0.777575758,0.833518943
27,0.710758377,0.722222222
28,0.958333333,0.814865002
29,0.795620438,0.843341826
30,0.785644531,0.715109573
31,0.55942029,0.856158605
32,0.847869674,0.833373552
33,0.738095238,0.608834641
34,0.763636364,0.649618687
35,0.614583333,0.746832763
36,0.683035714,0.656951388
37,0.637605042,0.522655427
38,0.811414392,0.652561968
39,0.74015748,0.669652655
40,0.582554517,0.726162791
41,0.682926829,0.758407519
42,0.772727273,0.855779504
43,0.669902913,0.784805214
44,0.7125,0.725467515
45,0.416666667,0.272686734
46,0.395454545,0.430520746
47,0.621212121,0.634586466
48,0.5,0.808547009
49,0.266666667,0.830556268
