,time_auc,time_f1measure
0,0.619047619,0.618666667
1,0.714285714,0.547241017
2,0.701923077,0.791341991
3,0.527950311,0.724795121
4,0.765151515,0.834823529
5,0.625,0.697471665
6,0.814516129,0.668939394
7,0.840909091,0.828687573
8,0.925,0.926065163
9,0.7,0.708144796
10,0.59057971,0.656521941
11,0.633333333,0.550802139
12,0.303030303,0.762605042
13,0.582317073,0.214229249
14,0.625,0.770935961
15,0.490196078,0.6375
16,0.586309524,0.635960729
17,0.586309524,0.721895006
18,0.776570048,0.73999334
19,0.756009615,0.165639589
20,0.754761905,0.667696812
21,0.734347048,0.715176174
22,0.780585106,0.790095861
23,0.546626984,0.675011577
24,0.514534884,0.676771603
25,0.715277778,0.666666667
26,0.771526002,0.55670113
27,0.622790404,0.543753
28,0.593528817,0.608402924
29,0.671,0.725040917
30,0.701548673,0.696694616
31,0.760190217,0.778798942
32,0.719196429,0.672147002
33,0.749047619,0.548235294
34,0.726449275,0.754426144
35,0.65337763,0.668046791
36,0.710162602,0.734809694
37,0.734989648,0.680570975
38,0.709367089,0.650991543
39,0.708149406,0.659913596
40,0.749900279,0.727935966
41,0.755153384,0.676449749
42,0.836289092,0.773144251
43,0.730289696,0.684356573
44,0.697115385,0.673253791
45,0.671028037,0.699219401
46,0.650742115,0.645336413
47,0.6428,0.694968553
48,0.738791423,0.690909091
49,0.745950554,0.687006883
50,0.803333333,0.729883463
51,0.680871212,0.691252763
52,0.63589646,0.677837593
53,0.7421875,0.656707544
54,0.72275641,0.760208752
55,0.845571096,0.80809111
56,0.808809747,0.771122164
57,0.715807311,0.638536096
58,0.671220401,0.651300269
59,0.726434426,0.747951921
60,0.724171779,0.743867184
61,0.792675471,0.748435331
62,0.716486595,0.670347592
63,0.65741688,0.646500198
64,0.695430871,0.614991147
65,0.669043152,0.621799611
66,0.733847913,0.691449584
67,0.731200898,0.66071957
68,0.708376333,0.66596544
69,0.692651202,0.63540448
70,0.696822498,0.698524396
71,0.747534517,0.718448505
72,0.842197802,0.755578223
73,0.801242898,0.71657995
74,0.746896552,0.704367201
75,0.754371456,0.632815272
76,0.783386425,0.73267051
77,0.811631944,0.771059432
78,0.715315315,0.673792729
79,0.828375286,0.754512331
80,0.815054835,0.771767255
81,0.787058824,0.722717919
82,0.760511364,0.665151515
83,0.739583333,0.752742616
84,0.796902918,0.725679163
85,0.788444444,0.711968772
86,0.744805195,0.720254067
87,0.726445663,0.676913451
88,0.700892857,0.665414635
89,0.739420063,0.634070952
90,0.728695652,0.611923535
91,0.706551724,0.654729471
92,0.748613999,0.669677242
93,0.787631027,0.722620273
94,0.71031746,0.721286944
95,0.760329132,0.756710936
96,0.786528346,0.64553672
97,0.701928965,0.635547367
98,0.776190476,0.757686758
99,0.815178571,0.736040264
100,0.800930804,0.754058436
101,0.709161932,0.621665058
102,0.660287081,0.619897959
103,0.767610748,0.694740118
104,0.716936937,0.673429155
105,0.759689922,0.700003324
106,0.769444444,0.709990114
107,0.782115172,0.707966387
108,0.847222222,0.755068857
109,0.676932449,0.651498195
110,0.729239766,0.667875015
111,0.813256659,0.711124766
112,0.783326096,0.727746212
113,0.803019904,0.77168413
114,0.794515103,0.718421641
115,0.826998051,0.785550936
116,0.828747795,0.788241264
117,0.813615502,0.726300706
118,0.758865248,0.75551677
119,0.758823529,0.73404876
120,0.734353741,0.662909584
121,0.75022845,0.689655172
122,0.692346257,0.66345383
123,0.740398293,0.662350896
124,0.805813953,0.75868509
125,0.81796875,0.741396164
126,0.682711062,0.66686418
127,0.658491697,0.560799236
128,0.777322526,0.678959176
129,0.812197337,0.693139402
130,0.853658537,0.708831909
131,0.918864097,0.841269841
132,0.819645733,0.790315789
133,0.789351852,0.674763833
134,0.805522914,0.771750468
135,0.669191919,0.674613821
136,0.642265795,0.610389382
137,0.715954416,0.749581296
