,time_auc,time_f1measure
0,0.797174184,0.775784929
1,0.810683606,0.79220164
2,0.746523665,0.776378884
3,0.809096044,0.812696574
4,0.833429961,0.807729864
5,0.856576611,0.794615536
6,0.874519969,0.81267595
7,0.815109344,0.739834313
8,0.831136895,0.797073124
9,0.860832911,0.813646655
10,0.829856584,0.810944868
11,0.841908567,0.768953146
12,0.87496408,0.817726495
13,0.863823192,0.802157927
14,0.873748306,0.773803822
15,0.883619659,0.809085782
16,0.858167913,0.815895954
17,0.82382976,0.790255208
18,0.812880259,0.76128933
19,0.795170087,0.662856482
20,0.812762296,0.683037587
21,0.815537661,0.749767006
22,0.772149601,0.785019204
23,0.775791896,0.758098551
24,0.825325518,0.749465879
25,0.801521491,0.698475174
26,0.786793523,0.693463563
27,0.845101473,0.777799241
28,0.828136201,0.777646442
29,0.779424557,0.736639665
30,0.772869318,0.748578536
31,0.806856187,0.764836945
32,0.778123314,0.746359164
33,0.771115981,0.692319959
34,0.780366057,0.641735034
35,0.803123695,0.647769642
36,0.778178275,0.703882302
37,0.81134866,0.708543374
38,0.826628951,0.719563424
39,0.763698272,0.708111777
40,0.787618511,0.746112898
41,0.779855835,0.770614517
42,0.785885505,0.742245353
43,0.817198736,0.718301765
44,0.769731198,0.70798583
45,0.769999437,0.650576002
46,0.792597283,0.704192003
47,0.755972101,0.714848994
48,0.748868172,0.771153076
49,0.786873469,0.756186102
50,0.728339899,0.648665143
51,0.734610692,0.680611676
52,0.761291694,0.683037989
53,0.760749113,0.695688761
54,0.782858982,0.73425913
55,0.798259137,0.75943847
56,0.781332698,0.698515339
57,0.774442488,0.712348055
58,0.814839617,0.750359515
59,0.800834418,0.742215434
60,0.812065757,0.797535246
61,0.795241528,0.790652386
62,0.751395024,0.770147357
63,0.777644231,0.778828352
64,0.745232748,0.696161165
65,0.713359126,0.689841142
66,0.743195002,0.712284519
67,0.777256709,0.69939725
68,0.748139965,0.664601671
69,0.735332003,0.654922256
70,0.771865458,0.692707379
71,0.75725179,0.714969841
72,0.65384758,0.674224431
73,0.686211225,0.657545745
74,0.720880052,0.715208153
75,0.72547043,0.717897716
76,0.651864207,0.608821168
77,0.717692308,0.688098913
78,0.69039479,0.597854629
79,0.745808308,0.697419323
80,0.781705251,0.714895462
81,0.723180465,0.681597714
82,0.764712902,0.703722963
83,0.777782286,0.681760491
84,0.788835929,0.701366584
85,0.790352072,0.702656
86,0.790440215,0.720811915
87,0.779411765,0.724504776
