,time_auc,time_f1measure
0,0.55958132,0.605565727
1,0.69054878,0.661538462
2,0.658139535,0.725092874
3,0.796655518,0.762977374
4,0.79130117,0.714403207
5,0.797573024,0.74955665
6,0.858539205,0.822796
7,0.813288563,0.796275862
8,0.863756203,0.701527197
9,0.791071429,0.71945259
10,0.805300714,0.702241286
11,0.800473809,0.70494967
12,0.791039823,0.668218748
13,0.775862069,0.687818221
14,0.681810315,0.607360046
15,0.672377622,0.611958878
16,0.790557172,0.703674538
17,0.828863346,0.717772449
18,0.677479147,0.616078783
19,0.75047619,0.750887981
20,0.746312261,0.671871024
21,0.769954563,0.66017162
22,0.793438735,0.740135953
23,0.73341546,0.6984972
24,0.764091512,0.663754571
25,0.811087571,0.718351553
26,0.859408867,0.768235047
27,0.87254623,0.839499393
28,0.861424119,0.816362421
29,0.857120278,0.781891566
30,0.822516026,0.727365759
31,0.767625661,0.682006175
32,0.761935567,0.636966288
33,0.816704216,0.714991929
34,0.841807075,0.692349675
35,0.720921986,0.584115792
36,0.757278835,0.693303666
37,0.865288221,0.8033853
38,0.929166667,0.839138604
41,0.727272727,0.842105263
42,0.714285714,0.833333333
43,0.829310345,0.792642458
44,0.841076754,0.766388921
45,0.846219592,0.782203779
46,0.836009764,0.764705201
47,0.840135084,0.701742204
48,0.757855252,0.706985724
49,0.754714278,0.643887049
50,0.831840077,0.73192424
51,0.836756501,0.739213548
52,0.824063116,0.711585097
53,0.811928025,0.731298411
54,0.782739486,0.72328755
55,0.799012346,0.766144469
56,0.82597597,0.83351151
57,0.76188842,0.750534255
58,0.684798835,0.683028265
59,0.732821324,0.708634255
60,0.752578534,0.71786259
61,0.743035743,0.717554643
62,0.774779541,0.725636536
63,0.811603103,0.773066214
64,0.803341627,0.733153865
65,0.851155869,0.751467095
66,0.795465919,0.682481777
67,0.816463353,0.675818049
68,0.817169341,0.770729461
69,0.859078383,0.792915388
70,0.95342312,0.796141929
71,0.892658509,0.821338712
72,0.822817837,0.811945114
73,0.767322498,0.83073398
74,0.85106383,0.79065259
75,0.659574468,0.741915228
76,0.747554348,0.661236434
77,0.756297358,0.739886191
78,0.470588235,0.501300632
79,0.588235294,0.560185185
80,0.680851064,0.660417221
81,0.730113636,0.712811792
82,0.387322404,0.580507745
83,0.342414861,0.359495716
84,0.628703704,0.718614719
85,0.780154529,0.80562381
86,0.832679226,0.840236032
87,0.741403509,0.887285746
88,0.810247143,0.817688257
